src_ip,user,info
10.56.112.16,LBUZ\oxstxjjr,STATUS_LOGON_SUCCESS
10.56.112.162,LBUZ\dxsthjbhxj,STATUS_LOGON_SUCCESS
10.56.115.125,LBUZ\mrwthdbxjo,STATUS_LOGON_SUCCESS
10.56.115.19,LBUZ\dbwjyxrbh,STATUS_LOGON_SUCCESS
10.56.115.74,LBUZ\cxjoiwjo-3f,STATUS_LOGON_SUCCESS
10.56.115.8,LBUZ\thxjgbhxr,STATUS_LOGON_SUCCESS
10.56.115.84,LBUZ\excwr,STATUS_LOGON_SUCCESS
10.56.131.163,LBUZ\nrhbhrtsjo,STATUS_LOGON_SUCCESS
10.56.141.175,LBUZ\6rxjys,STATUS_LOGON_SUCCESS
10.56.141.34,LBUZ\cxjotrtr,STATUS_LOGON_SUCCESS
10.56.144.126,LBUZ\ghmhj,STATUS_LOGON_SUCCESS
10.56.148.162,LBUZ\osjogbhs,STATUS_LOGON_SUCCESS
10.56.148.217,LBUZ\vbxsthmrxjo,STATUS_LOGON_SUCCESS
10.56.167.49,LBUZ\ghjmrxjoewr,STATUS_LOGON_SUCCESS
10.56.185.220,LBUZ\txjozhj-gxn,STATUS_LOGON_SUCCESS
10.56.187.101,LBUZ\vbxjoprxerj,STATUS_LOGON_SUCCESS
10.56.187.25,LBUZ\6xjoprjogbwjo,STATUS_LOGON_SUCCESS
10.56.193.37,LBUZ\fsjogbrthw,STATUS_LOGON_SUCCESS
10.56.207.87,LBUZ\vbxsphj,STATUS_LOGON_SUCCESS
10.56.21.153,LBUZ\nrhprxjmrj,STATUS_LOGON_SUCCESS
10.56.232.165,LBUZ\mrxjoyrys,STATUS_LOGON_SUCCESS
10.56.232.215,LBUZ\yrxjnrxjo,STATUS_LOGON_SUCCESS
10.56.252.179,LBUZ\ohsdbwjohxjo,STATUS_LOGON_SUCCESS
10.56.4.146,LBUZ\cxjo3wjo-g,STATUS_LOGON_SUCCESS
10.56.4.86,LBUZ\vbhprxjo,STATUS_LOGON_SUCCESS
10.56.43.175,LBUZ\nwrfwjo6xj,STATUS_LOGON_SUCCESS
10.56.47.250,LBUZ\bhmrxsthw,STATUS_LOGON_SUCCESS
10.56.54.176,LBUZ\vbshthw-bl,STATUS_LOGON_SUCCESS
10.56.60.192,LBUZ\bxjthnxj,STATUS_LOGON_SUCCESS
10.56.63.184,LBUZ\ewjolxj,STATUS_LOGON_SUCCESS
10.56.63.223,LBUZ\thxjthxj-o,STATUS_LOGON_SUCCESS
10.56.68.148,LBUZ\cwrprjojrjo,STATUS_LOGON_SUCCESS
10.56.68.165,LBUZ\bxjmrxsexj,STATUS_LOGON_SUCCESS
10.56.73.241,LBUZ\3xjomrx,STATUS_LOGON_SUCCESS
10.56.92.20,LBUZ\bhmrxsnrxjo-rlr,STATUS_LOGON_SUCCESS
10.56.98.166,LBUZ\trjtxjtxj,STATUS_LOGON_SUCCESS
10.64.55.224,LBUZ\vbhgbxjgbxj,STATUS_LOGON_SUCCESS
