ip,uplink_length,downlink_length,sum_length
10.21.12.148,485156,-344627612,-344142456
10.49.120.182,2072,2677,4749
10.49.126.115,14511,7786,22297
10.49.126.118,32581,9803,42384
10.49.126.12,244109851,232425493,476535344
10.49.126.123,47836,17497,65333
10.49.126.127,24729,11283,36012
10.49.126.129,129455,39089,168544
10.49.126.130,19994,13035,33029
10.49.126.134,18838,6438,25276
10.49.126.147,9603,8764,18367
10.49.126.148,10696,7492,18188
10.49.126.154,6934,3696,10630
10.49.126.157,11256,5164,16420
10.49.126.176,49715,24316,74031
10.49.126.179,24279,11176,35455
10.49.126.189,7289,5257,12546
10.49.126.192,16578,12053,28631
10.49.126.199,44219,13564,57783
10.49.126.204,1913527,90897012,92810539
10.49.126.210,40016,22115,62131
10.49.126.223,133924,60636,194560
10.49.126.225,23211985,19235774,42447759
10.49.126.252,20449,7403,27852
10.49.126.35,99440,47099,146539
10.49.126.50,33760,7965,41725
10.49.126.87,88483,33925,122408
10.49.126.9,49725,143702,193427
10.49.126.95,175847,188065,363912
10.49.137.115,57584,56772,114356
10.49.137.12,34568861,24190132,58758993
10.49.137.123,17376,267765,285141
10.49.137.135,11932,15879,27811
10.49.137.136,5387614233,582704705,5970318938
10.49.137.156,1387165,653813,2040978
10.49.137.165,23728644,21117255,44845899
10.49.137.166,497862367,1311768907,1809631274
10.49.137.193,12139,5486,17625
10.49.137.199,277770969,256022923,533793892
10.49.137.207,54528,48768,103296
10.49.137.38,15650465,9171565,24822030
10.49.137.39,342687,720123,1062810
10.49.137.7,1251427138,437797992,1689225130
10.49.137.87,4969572638,51480343362,56449916000
10.49.137.91,246403697,26560357,272964054
10.49.137.97,4037557,3363623,7401180
10.49.141.206,1336608,57294,1393902
10.49.148.121,12940959,20277971,33218930
10.49.148.130,482211180,530311993,1012523173
10.49.148.73,30424587,1887184267,1917608854
10.49.174.199,6991798,4021882,11013680
10.49.178.162,10717423,12026069,22743492
10.49.180.112,6215,15075,21290
10.49.180.12,14268179,1329137138,1343405317
10.49.180.30,636752740,317289988,954042728
10.49.181.112,983179,2902805,3885984
10.49.181.146,6080,4390,10470
10.49.181.16,4793,4336,9129
10.49.181.207,6742,5700,12442
10.49.181.209,285,123504,123789
10.49.181.21,2160,1978,4138
10.49.181.231,8027,7206,15233
10.49.181.236,552,439,991
10.49.181.35,364,0,364
10.49.181.36,374,1075,1449
10.49.181.67,10848,7592,18440
10.49.181.95,4200,3073,7273
10.49.207.175,18666869,34935781,53602650
10.49.207.18,314465,1828789,2143254
10.49.207.199,2560796,130743,2691539
10.49.207.223,899315162,18717700,918032862
10.49.21.15,5788474138,17876946658,23665420796
10.49.21.204,4213,5516,9729
10.49.21.251,13185303991,156967702,13342271693
10.49.212.126,13686933,570061231,583748164
10.49.212.147,351496309,197459623,548955932
10.49.212.162,146648865,657523377,804172242
10.49.212.186,6036513,11967304,18003817
10.49.212.206,87682591,1457027033,1544709624
10.49.212.21,875014,2083411,2958425
10.49.212.7,199725641,1761423603,1961149244
10.49.216.135,103134326,13558081,116692407
10.49.216.229,38789479,23186204,61975683
10.49.216.34,50266307,12777918,63044225
10.49.216.62,73586050,26332458,99918508
10.49.216.88,1372197,1368897,2741094
10.49.22.154,113,772,885
10.49.223.121,234837675,186126922,420964597
10.49.223.123,19913,25307,45220
10.49.223.152,8022833,4147648,12170481
10.49.223.163,5530926628,600536383,6131463011
10.49.223.173,9269047,456405,9725452
10.49.223.194,1554068825,452046568,2006115393
10.49.223.199,2409043,6715298,9124341
10.49.223.215,1508609,45812,1554421
10.49.223.216,894337,166147,1060484
10.49.223.233,1172,1804,2976
10.49.223.50,45406212,5426204,50832416
10.49.223.77,329488,592765,922253
10.49.223.80,2182917,3015438,5198355
10.49.223.90,7360448,113336904,120697352
10.49.223.91,12580,89021,101601
10.49.231.206,46927755,122800087,169727842
10.49.231.21,20164526,44850910,65015436
10.49.253.15,68717326,28834572,97551898
10.49.253.159,515052188,187286129,702338317
10.49.253.162,252424092,472458697,724882789
10.49.253.219,726810981,319835228,1046646209
10.49.253.233,611591565,247258100,858849665
10.49.253.30,1255643,31902,1287545
10.49.253.35,342204826,413065815,755270641
10.49.253.63,431200,336746,767946
10.49.27.21,8365566,10086117,18451683
10.49.34.157,197197,110094,307291
10.49.36.102,1772,106829,108601
10.49.36.147,925848504,450720944,1376569448
10.49.36.161,37371851,25668807,63040658
10.49.36.175,1686,34618,36304
10.49.36.185,10588,34327,44915
10.49.36.233,28092724,40534208,68626932
10.49.36.7,45076,86973,132049
10.49.36.87,40668,71147,111815
10.49.45.121,20767,7444,28211
10.49.45.144,59843618,402879671,462723289
10.49.45.146,7660713,19623600,27284313
10.49.45.55,410427922,513309136,923737058
10.49.45.64,1234886917,8718543128,9953430045
10.49.56.62,392,485,877
10.49.81.136,163064290,13184959651,13348023941
10.49.81.18,-344281724,497746,-343783978
10.49.81.218,1076295240,163997801,1240293041
10.54.1.100,3537,9725,13262
10.54.1.118,3028,9162,12190
10.54.1.119,9960,42736,52696
10.54.1.126,3074,9130,12204
10.54.1.137,13351,39395,52746
10.54.1.145,1004,2947,3951
10.54.1.159,3538,9167,12705
10.54.1.164,5008,15986,20994
10.54.1.179,4820,16895,21715
10.54.1.186,1046,5073,6119
10.54.1.199,1891,6750,8641
10.54.1.211,581228,1277659,1858887
10.54.1.223,3849,13706,17555
10.54.1.231,1107,2417,3524
10.54.1.236,8758,25419,34177
10.54.1.239,2894,9199,12093
10.54.1.49,11485,38654,50139
10.54.1.5,6128,12067,18195
10.54.1.58,4764,13095,17859
10.54.1.81,1903,7812,9715
10.54.1.90,30919,94335,125254
10.54.103.116,7766,23926,31692
10.54.103.17,4774,10453,15227
10.54.103.67,3195,10490,13685
10.54.11.145,3985,11489,15474
10.54.11.188,1068,2926,3994
10.54.11.203,1673,6743,8416
10.54.110.105,4046,12530,16576
10.54.110.144,906,2910,3816
10.54.110.229,2284,8458,10742
10.54.110.26,830,4370,5200
10.54.110.96,1417,4965,6382
10.54.112.152,9196,27892,37088
10.54.112.88,4134,13943,18077
10.54.113.137,7754,25332,33086
10.54.113.176,3837,2058,5895
10.54.113.190,377225,755641,1132866
10.54.113.197,173318,367073,540391
10.54.113.229,8561,32466,41027
10.54.113.231,6726,25975,32701
10.54.113.250,12166,48173,60339
10.54.113.65,8936,16847,25783
10.54.113.87,5699,15585,21284
10.54.113.99,1343,4370,5713
10.54.115.119,8158,21629,29787
10.54.115.12,1900,6620,8520
10.54.115.123,4935,10490,15425
10.54.115.14,15339,50024,65363
10.54.115.163,21153,66805,87958
10.54.115.172,4034,10490,14524
10.54.115.200,6859,26034,32893
10.54.115.204,12195,27337,39532
10.54.115.211,441,2185,2626
10.54.115.215,8889,28043,36932
10.54.115.220,5253,17603,22856
10.54.115.236,4992,18700,23692
10.54.115.241,4667,15948,20615
10.54.115.250,636621,2834344,3470965
10.54.115.30,7575,27351,34926
10.54.115.45,8657,28647,37304
10.54.115.52,12498,13355,25853
10.54.115.75,420,2185,2605
10.54.115.82,6559,26493,33052
10.54.118.95,482,1707,2189
10.54.12.101,1417,4965,6382
10.54.12.114,1592,3539,5131
10.54.12.197,1556,3635,5191
10.54.12.210,7009,24673,31682
10.54.12.224,985,0,985
