,ip,s_up_length,f_up_length,up_increment
0,10.21.12.148,485156.0,0.0,485156.0
1,10.49.120.182,2072.0,0.0,2072.0
2,10.49.126.115,14511.0,0.0,14511.0
3,10.49.126.118,32581.0,0.0,32581.0
4,10.49.126.12,244109851.0,0.0,244109851.0
5,10.49.126.123,47836.0,0.0,47836.0
6,10.49.126.127,24729.0,0.0,24729.0
7,10.49.126.129,129455.0,0.0,129455.0
8,10.49.126.130,19994.0,0.0,19994.0
9,10.49.126.134,18838.0,0.0,18838.0
10,10.49.126.147,9603.0,0.0,9603.0
11,10.49.126.148,10696.0,0.0,10696.0
12,10.49.126.154,6934.0,0.0,6934.0
13,10.49.126.157,11256.0,0.0,11256.0
14,10.49.126.176,49715.0,0.0,49715.0
15,10.49.126.179,24279.0,0.0,24279.0
16,10.49.126.189,7289.0,0.0,7289.0
17,10.49.126.192,16578.0,0.0,16578.0
18,10.49.126.199,44219.0,0.0,44219.0
19,10.49.126.204,1913527.0,0.0,1913527.0
20,10.49.126.210,40016.0,0.0,40016.0
21,10.49.126.223,133924.0,0.0,133924.0
22,10.49.126.225,23211985.0,0.0,23211985.0
23,10.49.126.252,20449.0,0.0,20449.0
24,10.49.126.35,99440.0,0.0,99440.0
25,10.49.126.50,33760.0,0.0,33760.0
26,10.49.126.87,88483.0,0.0,88483.0
27,10.49.126.9,49725.0,0.0,49725.0
28,10.49.126.95,175847.0,0.0,175847.0
29,10.49.137.115,57584.0,0.0,57584.0
30,10.49.137.12,34568861.0,0.0,34568861.0
31,10.49.137.123,17376.0,0.0,17376.0
32,10.49.137.135,11932.0,0.0,11932.0
33,10.49.137.136,5387614233.0,0.0,5387614233.0
34,10.49.137.156,1387165.0,0.0,1387165.0
35,10.49.137.165,23728644.0,0.0,23728644.0
36,10.49.137.166,497862367.0,0.0,497862367.0
37,10.49.137.193,12139.0,0.0,12139.0
38,10.49.137.199,277770969.0,0.0,277770969.0
39,10.49.137.207,54528.0,0.0,54528.0
40,10.49.137.38,15650465.0,0.0,15650465.0
41,10.49.137.39,342687.0,0.0,342687.0
42,10.49.137.7,1251427138.0,0.0,1251427138.0
43,10.49.137.87,4969572638.0,0.0,4969572638.0
44,10.49.137.91,246403697.0,0.0,246403697.0
45,10.49.137.97,4037557.0,0.0,4037557.0
46,10.49.141.206,1336608.0,0.0,1336608.0
47,10.49.148.121,12940959.0,0.0,12940959.0
48,10.49.148.130,482211180.0,0.0,482211180.0
49,10.49.148.73,30424587.0,0.0,30424587.0
50,10.49.174.199,6991798.0,0.0,6991798.0
51,10.49.178.162,10717423.0,0.0,10717423.0
52,10.49.180.112,6215.0,0.0,6215.0
53,10.49.180.12,14268179.0,0.0,14268179.0
54,10.49.180.30,636752740.0,0.0,636752740.0
55,10.49.181.112,983179.0,0.0,983179.0
56,10.49.181.146,6080.0,0.0,6080.0
57,10.49.181.16,4793.0,0.0,4793.0
58,10.49.181.207,6742.0,0.0,6742.0
59,10.49.181.209,285.0,0.0,285.0
60,10.49.181.21,2160.0,0.0,2160.0
61,10.49.181.231,8027.0,0.0,8027.0
62,10.49.181.236,552.0,0.0,552.0
63,10.49.181.35,364.0,0.0,364.0
64,10.49.181.36,374.0,0.0,374.0
65,10.49.181.67,10848.0,0.0,10848.0
66,10.49.181.95,4200.0,0.0,4200.0
67,10.49.207.175,18666869.0,0.0,18666869.0
68,10.49.207.18,314465.0,0.0,314465.0
69,10.49.207.199,2560796.0,0.0,2560796.0
70,10.49.207.223,899315162.0,0.0,899315162.0
71,10.49.21.15,5788474138.0,0.0,5788474138.0
72,10.49.21.204,4213.0,0.0,4213.0
73,10.49.21.251,13185303991.0,0.0,13185303991.0
74,10.49.212.126,13686933.0,0.0,13686933.0
75,10.49.212.147,351496309.0,0.0,351496309.0
76,10.49.212.162,146648865.0,0.0,146648865.0
77,10.49.212.186,6036513.0,0.0,6036513.0
78,10.49.212.206,87682591.0,0.0,87682591.0
79,10.49.212.21,875014.0,0.0,875014.0
80,10.49.212.7,199725641.0,0.0,199725641.0
81,10.49.216.135,103134326.0,0.0,103134326.0
82,10.49.216.229,38789479.0,0.0,38789479.0
83,10.49.216.34,50266307.0,0.0,50266307.0
84,10.49.216.62,73586050.0,0.0,73586050.0
85,10.49.216.88,1372197.0,0.0,1372197.0
86,10.49.22.154,113.0,0.0,113.0
87,10.49.223.121,234837675.0,0.0,234837675.0
88,10.49.223.123,19913.0,0.0,19913.0
89,10.49.223.152,8022833.0,0.0,8022833.0
90,10.49.223.163,5530926628.0,0.0,5530926628.0
91,10.49.223.173,9269047.0,0.0,9269047.0
92,10.49.223.194,1554068825.0,0.0,1554068825.0
93,10.49.223.199,2409043.0,0.0,2409043.0
94,10.49.223.215,1508609.0,0.0,1508609.0
95,10.49.223.216,894337.0,0.0,894337.0
96,10.49.223.233,1172.0,0.0,1172.0
97,10.49.223.50,45406212.0,0.0,45406212.0
98,10.49.223.77,329488.0,0.0,329488.0
99,10.49.223.80,2182917.0,0.0,2182917.0
100,10.49.223.90,7360448.0,0.0,7360448.0
101,10.49.223.91,12580.0,0.0,12580.0
102,10.49.231.206,46927755.0,0.0,46927755.0
103,10.49.231.21,20164526.0,0.0,20164526.0
104,10.49.253.15,68717326.0,0.0,68717326.0
105,10.49.253.159,515052188.0,0.0,515052188.0
106,10.49.253.162,252424092.0,0.0,252424092.0
107,10.49.253.219,726810981.0,0.0,726810981.0
108,10.49.253.233,611591565.0,0.0,611591565.0
109,10.49.253.30,1255643.0,0.0,1255643.0
110,10.49.253.35,342204826.0,0.0,342204826.0
111,10.49.253.63,431200.0,0.0,431200.0
112,10.49.27.21,8365566.0,0.0,8365566.0
113,10.49.34.157,197197.0,0.0,197197.0
114,10.49.36.102,1772.0,0.0,1772.0
115,10.49.36.147,925848504.0,0.0,925848504.0
116,10.49.36.161,37371851.0,0.0,37371851.0
117,10.49.36.175,1686.0,0.0,1686.0
118,10.49.36.185,10588.0,0.0,10588.0
119,10.49.36.233,28092724.0,0.0,28092724.0
120,10.49.36.7,45076.0,0.0,45076.0
121,10.49.36.87,40668.0,0.0,40668.0
122,10.49.45.121,20767.0,0.0,20767.0
123,10.49.45.144,59843618.0,0.0,59843618.0
124,10.49.45.146,7660713.0,0.0,7660713.0
125,10.49.45.55,410427922.0,0.0,410427922.0
126,10.49.45.64,1234886917.0,0.0,1234886917.0
127,10.49.56.62,392.0,0.0,392.0
128,10.49.81.136,163064290.0,0.0,163064290.0
130,10.49.81.218,1076295240.0,0.0,1076295240.0
131,10.54.1.100,3537.0,0.0,3537.0
132,10.54.1.118,3028.0,0.0,3028.0
133,10.54.1.119,9960.0,0.0,9960.0
134,10.54.1.126,3074.0,0.0,3074.0
135,10.54.1.137,13351.0,0.0,13351.0
136,10.54.1.145,1004.0,0.0,1004.0
137,10.54.1.159,3538.0,0.0,3538.0
138,10.54.1.164,5008.0,0.0,5008.0
139,10.54.1.179,4820.0,0.0,4820.0
140,10.54.1.186,1046.0,0.0,1046.0
141,10.54.1.199,1891.0,0.0,1891.0
142,10.54.1.211,581228.0,0.0,581228.0
143,10.54.1.223,3849.0,0.0,3849.0
144,10.54.1.231,1107.0,0.0,1107.0
145,10.54.1.236,8758.0,0.0,8758.0
146,10.54.1.239,2894.0,0.0,2894.0
147,10.54.1.49,11485.0,0.0,11485.0
148,10.54.1.5,6128.0,0.0,6128.0
149,10.54.1.58,4764.0,0.0,4764.0
150,10.54.1.81,1903.0,0.0,1903.0
151,10.54.1.90,30919.0,0.0,30919.0
152,10.54.103.116,7766.0,0.0,7766.0
153,10.54.103.17,4774.0,0.0,4774.0
154,10.54.103.67,3195.0,0.0,3195.0
155,10.54.11.145,3985.0,0.0,3985.0
156,10.54.11.188,1068.0,0.0,1068.0
157,10.54.11.203,1673.0,0.0,1673.0
158,10.54.110.105,4046.0,0.0,4046.0
159,10.54.110.144,906.0,0.0,906.0
160,10.54.110.229,2284.0,0.0,2284.0
161,10.54.110.26,830.0,0.0,830.0
162,10.54.110.96,1417.0,0.0,1417.0
163,10.54.112.152,9196.0,0.0,9196.0
164,10.54.112.88,4134.0,0.0,4134.0
165,10.54.113.137,7754.0,0.0,7754.0
166,10.54.113.176,3837.0,0.0,3837.0
167,10.54.113.190,377225.0,0.0,377225.0
168,10.54.113.197,173318.0,0.0,173318.0
169,10.54.113.229,8561.0,0.0,8561.0
170,10.54.113.231,6726.0,0.0,6726.0
171,10.54.113.250,12166.0,0.0,12166.0
172,10.54.113.65,8936.0,0.0,8936.0
173,10.54.113.87,5699.0,0.0,5699.0
174,10.54.113.99,1343.0,0.0,1343.0
175,10.54.115.119,8158.0,0.0,8158.0
176,10.54.115.12,1900.0,0.0,1900.0
177,10.54.115.123,4935.0,0.0,4935.0
178,10.54.115.14,15339.0,0.0,15339.0
179,10.54.115.163,21153.0,0.0,21153.0
180,10.54.115.172,4034.0,0.0,4034.0
181,10.54.115.200,6859.0,0.0,6859.0
182,10.54.115.204,12195.0,0.0,12195.0
183,10.54.115.211,441.0,0.0,441.0
184,10.54.115.215,8889.0,0.0,8889.0
185,10.54.115.220,5253.0,0.0,5253.0
186,10.54.115.236,4992.0,0.0,4992.0
187,10.54.115.241,4667.0,0.0,4667.0
188,10.54.115.250,636621.0,0.0,636621.0
189,10.54.115.30,7575.0,0.0,7575.0
190,10.54.115.45,8657.0,0.0,8657.0
191,10.54.115.52,12498.0,0.0,12498.0
192,10.54.115.75,420.0,0.0,420.0
193,10.54.115.82,6559.0,0.0,6559.0
194,10.54.118.95,482.0,0.0,482.0
195,10.54.12.101,1417.0,0.0,1417.0
196,10.54.12.114,1592.0,0.0,1592.0
197,10.54.12.197,1556.0,0.0,1556.0
198,10.54.12.210,7009.0,0.0,7009.0
199,10.54.12.224,985.0,0.0,985.0
200,10.54.12.228,6932.0,0.0,6932.0
201,10.54.12.237,2254.0,0.0,2254.0
202,10.54.12.244,2396.0,0.0,2396.0
203,10.54.12.41,2270.0,0.0,2270.0
204,10.54.12.57,3813.0,0.0,3813.0
205,10.54.12.91,8100.0,0.0,8100.0
206,10.54.12.94,1900.0,0.0,1900.0
207,10.54.125.166,440.0,0.0,440.0
208,10.54.125.240,300951.0,0.0,300951.0
209,10.54.126.100,1128.0,0.0,1128.0
210,10.54.126.157,1880.0,0.0,1880.0
211,10.54.126.18,23015.0,0.0,23015.0
212,10.54.126.188,690.0,0.0,690.0
213,10.54.126.196,1504.0,0.0,1504.0
214,10.54.126.208,96188.0,0.0,96188.0
215,10.54.126.213,1867792.0,0.0,1867792.0
216,10.54.126.230,6562.0,0.0,6562.0
217,10.54.126.244,4900.0,0.0,4900.0
218,10.54.126.249,5206.0,0.0,5206.0
219,10.54.126.26,2257.0,0.0,2257.0
220,10.54.126.3,9227.0,0.0,9227.0
221,10.54.126.33,665.0,0.0,665.0
222,10.54.126.38,3384.0,0.0,3384.0
223,10.54.127.1,924.0,0.0,924.0
224,10.54.130.20,1900.0,0.0,1900.0
225,10.54.139.101,279034.0,0.0,279034.0
226,10.54.139.126,11479.0,0.0,11479.0
227,10.54.139.148,1683.0,0.0,1683.0
228,10.54.139.191,5217.0,0.0,5217.0
229,10.54.139.197,3973.0,0.0,3973.0
230,10.54.139.206,4902.0,0.0,4902.0
