,ip,s_down_length,f_down_length,down_increment
1,10.49.120.182,2677.0,0.0,2677.0
2,10.49.126.115,7786.0,0.0,7786.0
3,10.49.126.118,9803.0,0.0,9803.0
4,10.49.126.12,232425493.0,0.0,232425493.0
5,10.49.126.123,17497.0,0.0,17497.0
6,10.49.126.127,11283.0,0.0,11283.0
7,10.49.126.129,39089.0,0.0,39089.0
8,10.49.126.130,13035.0,0.0,13035.0
9,10.49.126.134,6438.0,0.0,6438.0
10,10.49.126.147,8764.0,0.0,8764.0
11,10.49.126.148,7492.0,0.0,7492.0
12,10.49.126.154,3696.0,0.0,3696.0
13,10.49.126.157,5164.0,0.0,5164.0
14,10.49.126.176,24316.0,0.0,24316.0
15,10.49.126.179,11176.0,0.0,11176.0
16,10.49.126.189,5257.0,0.0,5257.0
17,10.49.126.192,12053.0,0.0,12053.0
18,10.49.126.199,13564.0,0.0,13564.0
19,10.49.126.204,90897012.0,0.0,90897012.0
20,10.49.126.210,22115.0,0.0,22115.0
21,10.49.126.223,60636.0,0.0,60636.0
22,10.49.126.225,19235774.0,0.0,19235774.0
23,10.49.126.252,7403.0,0.0,7403.0
24,10.49.126.35,47099.0,0.0,47099.0
25,10.49.126.50,7965.0,0.0,7965.0
26,10.49.126.87,33925.0,0.0,33925.0
27,10.49.126.9,143702.0,0.0,143702.0
28,10.49.126.95,188065.0,0.0,188065.0
29,10.49.137.115,56772.0,0.0,56772.0
30,10.49.137.12,24190132.0,0.0,24190132.0
31,10.49.137.123,267765.0,0.0,267765.0
32,10.49.137.135,15879.0,0.0,15879.0
33,10.49.137.136,582704705.0,0.0,582704705.0
34,10.49.137.156,653813.0,0.0,653813.0
35,10.49.137.165,21117255.0,0.0,21117255.0
36,10.49.137.166,1311768907.0,0.0,1311768907.0
37,10.49.137.193,5486.0,0.0,5486.0
38,10.49.137.199,256022923.0,0.0,256022923.0
39,10.49.137.207,48768.0,0.0,48768.0
40,10.49.137.38,9171565.0,0.0,9171565.0
41,10.49.137.39,720123.0,0.0,720123.0
42,10.49.137.7,437797992.0,0.0,437797992.0
43,10.49.137.87,51480343362.0,0.0,51480343362.0
44,10.49.137.91,26560357.0,0.0,26560357.0
45,10.49.137.97,3363623.0,0.0,3363623.0
46,10.49.141.206,57294.0,0.0,57294.0
47,10.49.148.121,20277971.0,0.0,20277971.0
48,10.49.148.130,530311993.0,0.0,530311993.0
49,10.49.148.73,1887184267.0,0.0,1887184267.0
50,10.49.174.199,4021882.0,0.0,4021882.0
51,10.49.178.162,12026069.0,0.0,12026069.0
52,10.49.180.112,15075.0,0.0,15075.0
53,10.49.180.12,1329137138.0,0.0,1329137138.0
54,10.49.180.30,317289988.0,0.0,317289988.0
55,10.49.181.112,2902805.0,0.0,2902805.0
56,10.49.181.146,4390.0,0.0,4390.0
57,10.49.181.16,4336.0,0.0,4336.0
58,10.49.181.207,5700.0,0.0,5700.0
59,10.49.181.209,123504.0,0.0,123504.0
60,10.49.181.21,1978.0,0.0,1978.0
61,10.49.181.231,7206.0,0.0,7206.0
62,10.49.181.236,439.0,0.0,439.0
64,10.49.181.36,1075.0,0.0,1075.0
65,10.49.181.67,7592.0,0.0,7592.0
66,10.49.181.95,3073.0,0.0,3073.0
67,10.49.207.175,34935781.0,0.0,34935781.0
68,10.49.207.18,1828789.0,0.0,1828789.0
69,10.49.207.199,130743.0,0.0,130743.0
70,10.49.207.223,18717700.0,0.0,18717700.0
71,10.49.21.15,17876946658.0,0.0,17876946658.0
72,10.49.21.204,5516.0,0.0,5516.0
73,10.49.21.251,156967702.0,0.0,156967702.0
74,10.49.212.126,570061231.0,0.0,570061231.0
75,10.49.212.147,197459623.0,0.0,197459623.0
76,10.49.212.162,657523377.0,0.0,657523377.0
77,10.49.212.186,11967304.0,0.0,11967304.0
78,10.49.212.206,1457027033.0,0.0,1457027033.0
79,10.49.212.21,2083411.0,0.0,2083411.0
80,10.49.212.7,1761423603.0,0.0,1761423603.0
81,10.49.216.135,13558081.0,0.0,13558081.0
82,10.49.216.229,23186204.0,0.0,23186204.0
83,10.49.216.34,12777918.0,0.0,12777918.0
84,10.49.216.62,26332458.0,0.0,26332458.0
85,10.49.216.88,1368897.0,0.0,1368897.0
86,10.49.22.154,772.0,0.0,772.0
87,10.49.223.121,186126922.0,0.0,186126922.0
88,10.49.223.123,25307.0,0.0,25307.0
89,10.49.223.152,4147648.0,0.0,4147648.0
90,10.49.223.163,600536383.0,0.0,600536383.0
91,10.49.223.173,456405.0,0.0,456405.0
92,10.49.223.194,452046568.0,0.0,452046568.0
93,10.49.223.199,6715298.0,0.0,6715298.0
94,10.49.223.215,45812.0,0.0,45812.0
95,10.49.223.216,166147.0,0.0,166147.0
96,10.49.223.233,1804.0,0.0,1804.0
97,10.49.223.50,5426204.0,0.0,5426204.0
98,10.49.223.77,592765.0,0.0,592765.0
99,10.49.223.80,3015438.0,0.0,3015438.0
