,ip,s_sum_length,f_sum_length,sum_increment
1,10.49.120.182,4749.0,0.0,4749.0
2,10.49.126.115,22297.0,0.0,22297.0
3,10.49.126.118,42384.0,0.0,42384.0
4,10.49.126.12,476535344.0,0.0,476535344.0
5,10.49.126.123,65333.0,0.0,65333.0
6,10.49.126.127,36012.0,0.0,36012.0
7,10.49.126.129,168544.0,0.0,168544.0
8,10.49.126.130,33029.0,0.0,33029.0
9,10.49.126.134,25276.0,0.0,25276.0
10,10.49.126.147,18367.0,0.0,18367.0
11,10.49.126.148,18188.0,0.0,18188.0
12,10.49.126.154,10630.0,0.0,10630.0
13,10.49.126.157,16420.0,0.0,16420.0
14,10.49.126.176,74031.0,0.0,74031.0
15,10.49.126.179,35455.0,0.0,35455.0
16,10.49.126.189,12546.0,0.0,12546.0
17,10.49.126.192,28631.0,0.0,28631.0
18,10.49.126.199,57783.0,0.0,57783.0
19,10.49.126.204,92810539.0,0.0,92810539.0
20,10.49.126.210,62131.0,0.0,62131.0
21,10.49.126.223,194560.0,0.0,194560.0
22,10.49.126.225,42447759.0,0.0,42447759.0
23,10.49.126.252,27852.0,0.0,27852.0
24,10.49.126.35,146539.0,0.0,146539.0
25,10.49.126.50,41725.0,0.0,41725.0
26,10.49.126.87,122408.0,0.0,122408.0
27,10.49.126.9,193427.0,0.0,193427.0
28,10.49.126.95,363912.0,0.0,363912.0
29,10.49.137.115,114356.0,0.0,114356.0
30,10.49.137.12,58758993.0,0.0,58758993.0
31,10.49.137.123,285141.0,0.0,285141.0
32,10.49.137.135,27811.0,0.0,27811.0
33,10.49.137.136,5970318938.0,0.0,5970318938.0
34,10.49.137.156,2040978.0,0.0,2040978.0
35,10.49.137.165,44845899.0,0.0,44845899.0
36,10.49.137.166,1809631274.0,0.0,1809631274.0
37,10.49.137.193,17625.0,0.0,17625.0
38,10.49.137.199,533793892.0,0.0,533793892.0
39,10.49.137.207,103296.0,0.0,103296.0
40,10.49.137.38,24822030.0,0.0,24822030.0
41,10.49.137.39,1062810.0,0.0,1062810.0
42,10.49.137.7,1689225130.0,0.0,1689225130.0
43,10.49.137.87,56449916000.0,0.0,56449916000.0
44,10.49.137.91,272964054.0,0.0,272964054.0
45,10.49.137.97,7401180.0,0.0,7401180.0
46,10.49.141.206,1393902.0,0.0,1393902.0
47,10.49.148.121,33218930.0,0.0,33218930.0
48,10.49.148.130,1012523173.0,0.0,1012523173.0
49,10.49.148.73,1917608854.0,0.0,1917608854.0
50,10.49.174.199,11013680.0,0.0,11013680.0
51,10.49.178.162,22743492.0,0.0,22743492.0
52,10.49.180.112,21290.0,0.0,21290.0
53,10.49.180.12,1343405317.0,0.0,1343405317.0
54,10.49.180.30,954042728.0,0.0,954042728.0
55,10.49.181.112,3885984.0,0.0,3885984.0
56,10.49.181.146,10470.0,0.0,10470.0
57,10.49.181.16,9129.0,0.0,9129.0
58,10.49.181.207,12442.0,0.0,12442.0
59,10.49.181.209,123789.0,0.0,123789.0
60,10.49.181.21,4138.0,0.0,4138.0
61,10.49.181.231,15233.0,0.0,15233.0
62,10.49.181.236,991.0,0.0,991.0
63,10.49.181.35,364.0,0.0,364.0
64,10.49.181.36,1449.0,0.0,1449.0
65,10.49.181.67,18440.0,0.0,18440.0
66,10.49.181.95,7273.0,0.0,7273.0
67,10.49.207.175,53602650.0,0.0,53602650.0
68,10.49.207.18,2143254.0,0.0,2143254.0
69,10.49.207.199,2691539.0,0.0,2691539.0
70,10.49.207.223,918032862.0,0.0,918032862.0
71,10.49.21.15,23665420796.0,0.0,23665420796.0
72,10.49.21.204,9729.0,0.0,9729.0
73,10.49.21.251,13342271693.0,0.0,13342271693.0
74,10.49.212.126,583748164.0,0.0,583748164.0
75,10.49.212.147,548955932.0,0.0,548955932.0
76,10.49.212.162,804172242.0,0.0,804172242.0
77,10.49.212.186,18003817.0,0.0,18003817.0
78,10.49.212.206,1544709624.0,0.0,1544709624.0
79,10.49.212.21,2958425.0,0.0,2958425.0
80,10.49.212.7,1961149244.0,0.0,1961149244.0
81,10.49.216.135,116692407.0,0.0,116692407.0
82,10.49.216.229,61975683.0,0.0,61975683.0
83,10.49.216.34,63044225.0,0.0,63044225.0
84,10.49.216.62,99918508.0,0.0,99918508.0
85,10.49.216.88,2741094.0,0.0,2741094.0
86,10.49.22.154,885.0,0.0,885.0
87,10.49.223.121,420964597.0,0.0,420964597.0
88,10.49.223.123,45220.0,0.0,45220.0
89,10.49.223.152,12170481.0,0.0,12170481.0
90,10.49.223.163,6131463011.0,0.0,6131463011.0
91,10.49.223.173,9725452.0,0.0,9725452.0
92,10.49.223.194,2006115393.0,0.0,2006115393.0
93,10.49.223.199,9124341.0,0.0,9124341.0
94,10.49.223.215,1554421.0,0.0,1554421.0
95,10.49.223.216,1060484.0,0.0,1060484.0
96,10.49.223.233,2976.0,0.0,2976.0
97,10.49.223.50,50832416.0,0.0,50832416.0
98,10.49.223.77,922253.0,0.0,922253.0
99,10.49.223.80,5198355.0,0.0,5198355.0
100,10.49.223.90,120697352.0,0.0,120697352.0
101,10.49.223.91,101601.0,0.0,101601.0
102,10.49.231.206,169727842.0,0.0,169727842.0
103,10.49.231.21,65015436.0,0.0,65015436.0
104,10.49.253.15,97551898.0,0.0,97551898.0
105,10.49.253.159,702338317.0,0.0,702338317.0
106,10.49.253.162,724882789.0,0.0,724882789.0
107,10.49.253.219,1046646209.0,0.0,1046646209.0
108,10.49.253.233,858849665.0,0.0,858849665.0
109,10.49.253.30,1287545.0,0.0,1287545.0
110,10.49.253.35,755270641.0,0.0,755270641.0
111,10.49.253.63,767946.0,0.0,767946.0
112,10.49.27.21,18451683.0,0.0,18451683.0
113,10.49.34.157,307291.0,0.0,307291.0
114,10.49.36.102,108601.0,0.0,108601.0
115,10.49.36.147,1376569448.0,0.0,1376569448.0
116,10.49.36.161,63040658.0,0.0,63040658.0
117,10.49.36.175,36304.0,0.0,36304.0
118,10.49.36.185,44915.0,0.0,44915.0
119,10.49.36.233,68626932.0,0.0,68626932.0
120,10.49.36.7,132049.0,0.0,132049.0
121,10.49.36.87,111815.0,0.0,111815.0
122,10.49.45.121,28211.0,0.0,28211.0
123,10.49.45.144,462723289.0,0.0,462723289.0
124,10.49.45.146,27284313.0,0.0,27284313.0
125,10.49.45.55,923737058.0,0.0,923737058.0
126,10.49.45.64,9953430045.0,0.0,9953430045.0
127,10.49.56.62,877.0,0.0,877.0
128,10.49.81.136,13348023941.0,0.0,13348023941.0
130,10.49.81.218,1240293041.0,0.0,1240293041.0
131,10.54.1.100,13262.0,0.0,13262.0
132,10.54.1.118,12190.0,0.0,12190.0
133,10.54.1.119,52696.0,0.0,52696.0
134,10.54.1.126,12204.0,0.0,12204.0
135,10.54.1.137,52746.0,0.0,52746.0
136,10.54.1.145,3951.0,0.0,3951.0
137,10.54.1.159,12705.0,0.0,12705.0
138,10.54.1.164,20994.0,0.0,20994.0
139,10.54.1.179,21715.0,0.0,21715.0
140,10.54.1.186,6119.0,0.0,6119.0
141,10.54.1.199,8641.0,0.0,8641.0
142,10.54.1.211,1858887.0,0.0,1858887.0
143,10.54.1.223,17555.0,0.0,17555.0
144,10.54.1.231,3524.0,0.0,3524.0
145,10.54.1.236,34177.0,0.0,34177.0
146,10.54.1.239,12093.0,0.0,12093.0
147,10.54.1.49,50139.0,0.0,50139.0
148,10.54.1.5,18195.0,0.0,18195.0
149,10.54.1.58,17859.0,0.0,17859.0
150,10.54.1.81,9715.0,0.0,9715.0
151,10.54.1.90,125254.0,0.0,125254.0
152,10.54.103.116,31692.0,0.0,31692.0
153,10.54.103.17,15227.0,0.0,15227.0
154,10.54.103.67,13685.0,0.0,13685.0
155,10.54.11.145,15474.0,0.0,15474.0
156,10.54.11.188,3994.0,0.0,3994.0
157,10.54.11.203,8416.0,0.0,8416.0
158,10.54.110.105,16576.0,0.0,16576.0
159,10.54.110.144,3816.0,0.0,3816.0
160,10.54.110.229,10742.0,0.0,10742.0
161,10.54.110.26,5200.0,0.0,5200.0
162,10.54.110.96,6382.0,0.0,6382.0
163,10.54.112.152,37088.0,0.0,37088.0
164,10.54.112.88,18077.0,0.0,18077.0
165,10.54.113.137,33086.0,0.0,33086.0
166,10.54.113.176,5895.0,0.0,5895.0
167,10.54.113.190,1132866.0,0.0,1132866.0
168,10.54.113.197,540391.0,0.0,540391.0
169,10.54.113.229,41027.0,0.0,41027.0
170,10.54.113.231,32701.0,0.0,32701.0
171,10.54.113.250,60339.0,0.0,60339.0
172,10.54.113.65,25783.0,0.0,25783.0
173,10.54.113.87,21284.0,0.0,21284.0
174,10.54.113.99,5713.0,0.0,5713.0
175,10.54.115.119,29787.0,0.0,29787.0
176,10.54.115.12,8520.0,0.0,8520.0
177,10.54.115.123,15425.0,0.0,15425.0
178,10.54.115.14,65363.0,0.0,65363.0
179,10.54.115.163,87958.0,0.0,87958.0
