,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,71
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,917
25,12_1,17
26,12_10,29
27,12_11,116
28,12_12,1043
29,12_13,33
30,12_14,24
31,12_15,30
32,12_16,33
33,12_17,108
34,12_18,1021
35,12_19,32
36,12_2,14
37,12_20,27
38,12_21,40
39,12_22,22
40,12_23,94
41,12_3,28
42,12_4,40
43,12_5,105
44,12_6,1012
45,12_7,30
46,12_8,27
47,12_9,28
48,13_0,971
49,13_1,20
50,13_10,26
51,13_11,95
52,13_12,987
53,13_13,123
54,13_14,238
55,13_15,26
56,13_16,29
57,13_17,128
58,13_18,1047
59,13_19,34
60,13_2,28
61,13_20,36
62,13_21,39
63,13_22,31
64,13_23,101
65,13_3,26
66,13_4,20
67,13_5,94
68,13_6,933
69,13_7,29
70,13_8,29
71,13_9,29
72,14_0,956
73,14_1,21
74,14_10,35
75,14_11,117
76,14_12,978
77,14_13,28
78,14_14,27
79,14_15,29
80,14_16,33
81,14_17,108
82,14_18,989
83,14_19,22
84,14_2,35
85,14_20,23
86,14_21,25
87,14_22,35
88,14_23,106
89,14_3,20
90,14_4,40
91,14_5,99
92,14_6,985
93,14_7,30
94,14_8,31
95,14_9,36
96,15_0,958
97,15_1,13
98,15_10,300
99,15_11,112
100,15_12,938
101,15_13,587
102,15_14,20
103,15_15,35
104,15_16,306
105,15_17,107
106,15_18,1206
107,15_19,259
108,15_2,20
109,15_20,37
110,15_21,240
111,15_22,32
112,15_23,109
113,15_3,21
114,15_4,25
115,15_5,104
116,15_6,1007
117,15_7,27
118,15_8,25
119,15_9,27
120,16_0,1018
121,16_1,19
122,16_10,0
123,16_11,117
124,16_12,1008
125,16_13,56
126,16_14,40
127,16_15,42
128,16_16,45
129,16_17,127
130,16_18,1021
131,16_19,36
132,16_2,18
133,16_20,36
134,16_21,33
135,16_22,49
136,16_23,130
137,16_3,1
138,16_4,0
139,16_5,0
140,16_6,0
141,16_7,0
142,16_8,0
143,16_9,0
144,17_0,963
145,17_1,28
146,17_10,30
147,17_11,140
148,17_12,1010
149,17_13,21
150,17_14,27
151,17_15,489
152,17_16,22
153,17_17,91
154,17_18,1012
155,17_19,23
156,17_2,25
157,17_20,28
158,17_21,21
159,17_22,38
160,17_23,124
161,17_3,17
162,17_4,21
163,17_5,123
164,17_6,985
165,17_7,25
166,17_8,29
167,17_9,28
168,18_0,1019
169,18_1,13
170,18_10,23
171,18_11,116
172,18_12,941
173,18_13,23
174,18_14,24
175,18_15,31
176,18_16,24
177,18_17,426
178,18_18,953
179,18_19,20
180,18_2,20
181,18_20,30
182,18_21,29
183,18_22,33
184,18_23,27
185,18_3,25
186,18_4,30
187,18_5,115
188,18_6,976
189,18_7,23
190,18_8,10
191,18_9,13
