,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,2
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,1102
25,12_1,1284
26,12_10,26
27,12_11,152
28,12_12,154
29,12_13,27
30,12_14,18
31,12_15,38
32,12_16,90
33,12_17,44
34,12_18,23
35,12_19,38
36,12_2,1029
37,12_20,9
38,12_21,8
39,12_22,89
40,12_23,45
41,12_3,163
42,12_4,59
43,12_5,4
44,12_6,5
45,12_7,9
46,12_8,8
47,12_9,10
48,13_0,680
49,13_1,1066
50,13_10,164
51,13_11,182
52,13_12,11
53,13_13,151
54,13_14,157
55,13_15,9
56,13_16,10
57,13_17,12
58,13_18,13
59,13_19,6
60,13_2,120
61,13_20,8
62,13_21,11
63,13_22,16
64,13_23,108
65,13_3,50
66,13_4,9
67,13_5,12
68,13_6,2
69,13_7,11
70,13_8,798
71,13_9,145
72,14_0,786
73,14_1,1266
74,14_10,5
75,14_11,5
76,14_12,13
77,14_13,16
78,14_14,5
79,14_15,18
80,14_16,7
81,14_17,7
82,14_18,9
83,14_19,8
84,14_2,1184
85,14_20,501
86,14_21,10
87,14_22,7
88,14_23,99
89,14_3,160
90,14_4,147
91,14_5,10
92,14_6,14
93,14_7,9
94,14_8,7
95,14_9,13
96,15_0,6
97,15_1,11
98,15_10,679
99,15_11,28
100,15_12,32
101,15_13,656
102,15_14,219
103,15_15,164
104,15_16,440
105,15_17,36
106,15_18,232
107,15_19,212
108,15_2,868
109,15_20,6
110,15_21,206
111,15_22,8
112,15_23,197
113,15_3,809
114,15_4,193
115,15_5,109
116,15_6,122
117,15_7,9
118,15_8,12
119,15_9,14
120,16_0,96
121,16_1,1588
122,16_10,8
123,16_11,56
124,16_12,17
125,16_13,19
126,16_14,21
127,16_15,24
128,16_16,12
129,16_17,12
130,16_18,18
131,16_19,17
132,16_2,1330
133,16_20,3
134,16_21,7
135,16_22,5
136,16_23,117
137,16_3,789
138,16_4,6
139,16_5,9
140,16_6,7
141,16_7,11
142,16_8,5
143,16_9,6
144,17_0,602
145,17_1,1022
146,17_10,9
147,17_11,9
148,17_12,11
149,17_13,2
150,17_14,14
151,17_15,561
152,17_16,32
153,17_17,20
154,17_18,17
155,17_19,283
156,17_2,313
157,17_20,10
158,17_21,423
159,17_22,341
160,17_23,107
161,17_3,107
162,17_4,103
163,17_5,9
164,17_6,7
165,17_7,8
166,17_8,9
167,17_9,12
168,18_0,11
169,18_1,11
170,18_10,16
171,18_11,544
172,18_12,95
173,18_13,3
174,18_14,164
175,18_15,63
176,18_16,162
177,18_17,294
178,18_18,11
179,18_19,30
180,18_2,8
181,18_20,94
182,18_21,11
183,18_22,72
184,18_23,39
185,18_3,7
186,18_4,11
187,18_5,7
188,18_6,10
189,18_7,11
190,18_8,9
191,18_9,10
