,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,0
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,3
25,12_1,3
26,12_10,2
27,12_11,2
28,12_12,1
29,12_13,0
30,12_14,0
31,12_15,1
32,12_16,0
33,12_17,1
34,12_18,1
35,12_19,1
36,12_2,1
37,12_20,2
38,12_21,3
39,12_22,0
40,12_23,2
41,12_3,0
42,12_4,1
43,12_5,1
44,12_6,0
45,12_7,3
46,12_8,1
47,12_9,3
48,13_0,1
49,13_1,0
50,13_10,2
51,13_11,1
52,13_12,1
53,13_13,2
54,13_14,1
55,13_15,1
56,13_16,0
57,13_17,1
58,13_18,1
59,13_19,1
60,13_2,0
61,13_20,0
62,13_21,1
63,13_22,1
64,13_23,1
65,13_3,0
66,13_4,1
67,13_5,1
68,13_6,0
69,13_7,1
70,13_8,1
71,13_9,0
72,14_0,1
73,14_1,1
74,14_10,1
75,14_11,3
76,14_12,2
77,14_13,0
78,14_14,1
79,14_15,0
80,14_16,2
81,14_17,2
82,14_18,0
83,14_19,1
84,14_2,0
85,14_20,2
86,14_21,1
87,14_22,1
88,14_23,1
89,14_3,0
90,14_4,0
91,14_5,0
92,14_6,0
93,14_7,1
94,14_8,4
95,14_9,1
96,15_0,1
97,15_1,0
98,15_10,3
99,15_11,1
100,15_12,1
101,15_13,1
102,15_14,3
103,15_15,1
104,15_16,0
105,15_17,3
106,15_18,1
107,15_19,0
108,15_2,2
109,15_20,1
110,15_21,0
111,15_22,0
112,15_23,2
113,15_3,0
114,15_4,2
115,15_5,1
116,15_6,2
117,15_7,0
118,15_8,2
119,15_9,1
120,16_0,1
121,16_1,1
122,16_10,1
123,16_11,2
124,16_12,2
125,16_13,0
126,16_14,0
127,16_15,0
128,16_16,2
129,16_17,0
130,16_18,1
131,16_19,2
132,16_2,1
133,16_20,1
134,16_21,2
135,16_22,1
136,16_23,2
137,16_3,0
138,16_4,1
139,16_5,0
140,16_6,1
141,16_7,1
142,16_8,3
143,16_9,0
144,17_0,3
145,17_1,2
146,17_10,2
147,17_11,1
148,17_12,0
149,17_13,0
150,17_14,4
151,17_15,2
152,17_16,1
153,17_17,0
154,17_18,0
155,17_19,2
156,17_2,0
157,17_20,1
158,17_21,2
159,17_22,1
160,17_23,1
161,17_3,3
162,17_4,2
163,17_5,1
164,17_6,1
165,17_7,0
166,17_8,2
167,17_9,1
168,18_0,0
169,18_1,1
170,18_10,0
171,18_11,4
172,18_12,1
173,18_13,2
174,18_14,0
175,18_15,0
176,18_16,1
177,18_17,1
178,18_18,1
179,18_19,3
180,18_2,1
181,18_20,1
182,18_21,0
183,18_22,0
184,18_23,1
185,18_3,1
186,18_4,0
187,18_5,2
188,18_6,2
189,18_7,0
190,18_8,3
191,18_9,0
