,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,5
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,24
25,12_1,35
26,12_10,331
27,12_11,331
28,12_12,221
29,12_13,356
30,12_14,304
31,12_15,302
32,12_16,312
33,12_17,332
34,12_18,307
35,12_19,164
36,12_2,29
37,12_20,108
38,12_21,62
39,12_22,48
40,12_23,41
41,12_3,23
42,12_4,29
43,12_5,24
44,12_6,30
45,12_7,20
46,12_8,32
47,12_9,339
48,13_0,58
49,13_1,28
50,13_10,78
51,13_11,64
52,13_12,68
53,13_13,72
54,13_14,70
55,13_15,64
56,13_16,56
57,13_17,76
58,13_18,59
59,13_19,66
60,13_2,29
61,13_20,54
62,13_21,32
63,13_22,46
64,13_23,47
65,13_3,23
66,13_4,33
67,13_5,30
68,13_6,34
69,13_7,34
70,13_8,26
71,13_9,65
72,14_0,35
73,14_1,30
74,14_10,58
75,14_11,49
76,14_12,52
77,14_13,51
78,14_14,43
79,14_15,43
80,14_16,50
81,14_17,33
82,14_18,40
83,14_19,33
84,14_2,34
85,14_20,34
86,14_21,30
87,14_22,33
88,14_23,29
89,14_3,24
90,14_4,23
91,14_5,26
92,14_6,29
93,14_7,44
94,14_8,31
95,14_9,49
96,15_0,20
97,15_1,34
98,15_10,259
99,15_11,300
100,15_12,233
101,15_13,321
102,15_14,287
103,15_15,251
104,15_16,245
105,15_17,301
106,15_18,236
107,15_19,197
108,15_2,25
109,15_20,132
110,15_21,69
111,15_22,48
112,15_23,41
113,15_3,17
114,15_4,28
115,15_5,20
116,15_6,24
117,15_7,25
118,15_8,47
119,15_9,382
120,16_0,49
121,16_1,40
122,16_10,261
123,16_11,319
124,16_12,235
125,16_13,262
126,16_14,312
127,16_15,246
128,16_16,285
129,16_17,309
130,16_18,271
131,16_19,223
132,16_2,37
133,16_20,121
134,16_21,108
135,16_22,48
136,16_23,38
137,16_3,36
138,16_4,26
139,16_5,41
140,16_6,25
141,16_7,33
142,16_8,49
143,16_9,339
144,17_0,43
145,17_1,33
146,17_10,306
147,17_11,304
148,17_12,242
149,17_13,286
150,17_14,280
151,17_15,282
152,17_16,317
153,17_17,321
154,17_18,260
155,17_19,200
156,17_2,44
157,17_20,126
158,17_21,87
159,17_22,55
160,17_23,43
161,17_3,44
162,17_4,42
163,17_5,40
164,17_6,42
165,17_7,35
166,17_8,70
167,17_9,348
168,18_0,37
169,18_1,47
170,18_10,244
171,18_11,307
172,18_12,260
173,18_13,233
174,18_14,281
175,18_15,246
176,18_16,307
177,18_17,298
178,18_18,257
179,18_19,176
180,18_2,38
181,18_20,85
182,18_21,56
183,18_22,44
184,18_23,28
185,18_3,44
186,18_4,28
187,18_5,40
188,18_6,33
189,18_7,33
190,18_8,46
191,18_9,352
