,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,128
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,1378
25,12_1,1266
26,12_10,1016
27,12_11,1171
28,12_12,1641
29,12_13,1335
30,12_14,1028
31,12_15,1082
32,12_16,964
33,12_17,914
34,12_18,943
35,12_19,940
36,12_2,1344
37,12_20,1046
38,12_21,981
39,12_22,1018
40,12_23,943
41,12_3,1291
42,12_4,1226
43,12_5,1190
44,12_6,1277
45,12_7,1292
46,12_8,1246
47,12_9,1351
48,13_0,1016
49,13_1,1007
50,13_10,1396
51,13_11,1451
52,13_12,1765
53,13_13,1379
54,13_14,1151
55,13_15,1125
56,13_16,1196
57,13_17,1172
58,13_18,1204
59,13_19,1182
60,13_2,1037
61,13_20,1195
62,13_21,1142
63,13_22,1179
64,13_23,1141
65,13_3,983
66,13_4,1049
67,13_5,1026
68,13_6,1050
69,13_7,1032
70,13_8,967
71,13_9,1190
72,14_0,1139
73,14_1,1153
74,14_10,1503
75,14_11,1364
76,14_12,1469
77,14_13,1353
78,14_14,1407
79,14_15,1366
80,14_16,1424
81,14_17,1435
82,14_18,1365
83,14_19,1403
84,14_2,1154
85,14_20,1396
86,14_21,1374
87,14_22,1390
88,14_23,1416
89,14_3,1180
90,14_4,1106
91,14_5,1163
92,14_6,1112
93,14_7,1215
94,14_8,1211
95,14_9,1193
96,15_0,1416
97,15_1,1385
98,15_10,1051
99,15_11,895
100,15_12,1021
101,15_13,863
102,15_14,748
103,15_15,707
104,15_16,759
105,15_17,756
106,15_18,781
107,15_19,838
108,15_2,1399
109,15_20,933
110,15_21,922
111,15_22,893
112,15_23,893
113,15_3,1305
114,15_4,870
115,15_5,906
116,15_6,901
117,15_7,910
118,15_8,876
119,15_9,830
120,16_0,954
121,16_1,1027
122,16_10,733
123,16_11,861
124,16_12,760
125,16_13,767
126,16_14,603
127,16_15,883
128,16_16,896
129,16_17,625
130,16_18,618
131,16_19,589
132,16_2,1081
133,16_20,566
134,16_21,562
135,16_22,568
136,16_23,595
137,16_3,1020
138,16_4,576
139,16_5,511
140,16_6,579
141,16_7,492
142,16_8,506
143,16_9,462
144,17_0,595
145,17_1,598
146,17_10,785
147,17_11,657
148,17_12,679
149,17_13,737
150,17_14,580
151,17_15,614
152,17_16,584
153,17_17,571
154,17_18,540
155,17_19,587
156,17_2,569
157,17_20,570
158,17_21,567
159,17_22,586
160,17_23,582
161,17_3,558
162,17_4,571
163,17_5,570
164,17_6,535
165,17_7,626
166,17_8,578
167,17_9,582
168,18_0,558
169,18_1,589
170,18_10,803
171,18_11,799
172,18_12,826
173,18_13,794
174,18_14,764
175,18_15,777
176,18_16,807
177,18_17,822
178,18_18,643
179,18_19,632
180,18_2,569
181,18_20,661
182,18_21,680
183,18_22,670
184,18_23,632
185,18_3,569
186,18_4,558
187,18_5,589
188,18_6,547
189,18_7,582
190,18_8,580
191,18_9,582
