,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,15
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,145
25,12_1,182
26,12_10,161
27,12_11,161
28,12_12,185
29,12_13,182
30,12_14,161
31,12_15,169
32,12_16,157
33,12_17,165
34,12_18,157
35,12_19,181
36,12_2,158
37,12_20,179
38,12_21,181
39,12_22,171
40,12_23,185
41,12_3,158
42,12_4,172
43,12_5,179
44,12_6,192
45,12_7,174
46,12_8,191
47,12_9,190
48,13_0,172
49,13_1,163
50,13_10,177
51,13_11,170
52,13_12,178
53,13_13,195
54,13_14,176
55,13_15,178
56,13_16,180
57,13_17,190
58,13_18,181
59,13_19,164
60,13_2,154
61,13_20,169
62,13_21,190
63,13_22,165
64,13_23,171
65,13_3,184
66,13_4,167
67,13_5,164
68,13_6,165
69,13_7,176
70,13_8,170
71,13_9,150
72,14_0,183
73,14_1,183
74,14_10,179
75,14_11,165
76,14_12,188
77,14_13,187
78,14_14,172
79,14_15,184
80,14_16,203
81,14_17,204
82,14_18,184
83,14_19,180
84,14_2,166
85,14_20,166
86,14_21,183
87,14_22,176
88,14_23,186
89,14_3,175
90,14_4,179
91,14_5,179
92,14_6,176
93,14_7,166
94,14_8,183
95,14_9,157
96,15_0,188
97,15_1,172
98,15_10,169
99,15_11,165
100,15_12,178
101,15_13,174
102,15_14,181
103,15_15,179
104,15_16,167
105,15_17,164
106,15_18,164
107,15_19,165
108,15_2,162
109,15_20,168
110,15_21,180
111,15_22,159
112,15_23,169
113,15_3,188
114,15_4,152
115,15_5,171
116,15_6,210
117,15_7,156
118,15_8,179
119,15_9,164
120,16_0,137
121,16_1,176
122,16_10,175
123,16_11,181
124,16_12,168
125,16_13,162
126,16_14,148
127,16_15,184
128,16_16,179
129,16_17,166
130,16_18,145
131,16_19,160
132,16_2,192
133,16_20,163
134,16_21,181
135,16_22,152
136,16_23,167
137,16_3,183
138,16_4,161
139,16_5,174
140,16_6,175
141,16_7,178
142,16_8,192
143,16_9,168
144,17_0,184
145,17_1,178
146,17_10,167
147,17_11,174
148,17_12,154
149,17_13,166
150,17_14,172
151,17_15,165
152,17_16,180
153,17_17,171
154,17_18,174
155,17_19,188
156,17_2,193
157,17_20,123
158,17_21,0
159,17_22,0
160,17_23,0
161,17_3,164
162,17_4,150
163,17_5,172
164,17_6,149
165,17_7,176
166,17_8,167
167,17_9,172
168,18_0,0
169,18_1,0
170,18_10,0
171,18_11,0
172,18_12,0
173,18_13,0
174,18_14,0
175,18_15,0
176,18_16,0
177,18_17,0
178,18_18,0
179,18_19,0
180,18_2,0
181,18_20,0
182,18_21,0
183,18_22,0
184,18_23,0
185,18_3,0
186,18_4,0
187,18_5,0
188,18_6,0
189,18_7,0
190,18_8,0
191,18_9,0
