,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,3
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,11
25,12_1,12
26,12_10,79
27,12_11,106
28,12_12,81
29,12_13,128
30,12_14,144
31,12_15,138
32,12_16,158
33,12_17,153
34,12_18,135
35,12_19,64
36,12_2,20
37,12_20,58
38,12_21,34
39,12_22,32
40,12_23,24
41,12_3,10
42,12_4,9
43,12_5,14
44,12_6,17
45,12_7,16
46,12_8,20
47,12_9,117
48,13_0,28
49,13_1,25
50,13_10,25
51,13_11,20
52,13_12,26
53,13_13,26
54,13_14,15
55,13_15,18
56,13_16,18
57,13_17,28
58,13_18,25
59,13_19,27
60,13_2,26
61,13_20,24
62,13_21,29
63,13_22,26
64,13_23,18
65,13_3,20
66,13_4,16
67,13_5,20
68,13_6,25
69,13_7,19
70,13_8,24
71,13_9,18
72,14_0,28
73,14_1,18
74,14_10,29
75,14_11,31
76,14_12,30
77,14_13,21
78,14_14,23
79,14_15,26
80,14_16,37
81,14_17,33
82,14_18,29
83,14_19,26
84,14_2,20
85,14_20,27
86,14_21,24
87,14_22,26
88,14_23,22
89,14_3,22
90,14_4,22
91,14_5,23
92,14_6,28
93,14_7,20
94,14_8,23
95,14_9,31
96,15_0,15
97,15_1,16
98,15_10,133
99,15_11,106
100,15_12,81
101,15_13,157
102,15_14,138
103,15_15,98
104,15_16,140
105,15_17,129
106,15_18,138
107,15_19,99
108,15_2,23
109,15_20,90
110,15_21,40
111,15_22,18
112,15_23,26
113,15_3,17
114,15_4,16
115,15_5,20
116,15_6,27
117,15_7,17
118,15_8,33
119,15_9,141
120,16_0,27
121,16_1,28
122,16_10,89
123,16_11,124
124,16_12,83
125,16_13,107
126,16_14,110
127,16_15,121
128,16_16,95
129,16_17,138
130,16_18,113
131,16_19,81
132,16_2,21
133,16_20,67
134,16_21,43
135,16_22,39
136,16_23,40
137,16_3,23
138,16_4,29
139,16_5,18
140,16_6,24
141,16_7,19
142,16_8,24
143,16_9,134
144,17_0,30
145,17_1,18
146,17_10,71
147,17_11,95
148,17_12,94
149,17_13,107
150,17_14,101
151,17_15,111
152,17_16,127
153,17_17,159
154,17_18,147
155,17_19,99
156,17_2,32
157,17_20,60
158,17_21,49
159,17_22,36
160,17_23,34
161,17_3,18
162,17_4,21
163,17_5,18
164,17_6,19
165,17_7,22
166,17_8,34
167,17_9,139
168,18_0,35
169,18_1,26
170,18_10,115
171,18_11,118
172,18_12,77
173,18_13,112
174,18_14,63
175,18_15,102
176,18_16,88
177,18_17,98
178,18_18,93
179,18_19,70
180,18_2,27
181,18_20,63
182,18_21,24
183,18_22,16
184,18_23,19
185,18_3,27
186,18_4,19
187,18_5,33
188,18_6,24
189,18_7,35
190,18_8,19
191,18_9,126
