,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,0
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,0
25,12_1,0
26,12_10,88
27,12_11,53
28,12_12,40
29,12_13,32
30,12_14,37
31,12_15,43
32,12_16,39
33,12_17,102
34,12_18,39
35,12_19,30
36,12_2,0
37,12_20,34
38,12_21,33
39,12_22,34
40,12_23,40
41,12_3,0
42,12_4,0
43,12_5,0
44,12_6,0
45,12_7,0
46,12_8,0
47,12_9,0
48,13_0,21
49,13_1,35
50,13_10,30
51,13_11,28
52,13_12,28
53,13_13,32
54,13_14,31
55,13_15,34
56,13_16,34
57,13_17,25
58,13_18,28
59,13_19,24
60,13_2,53
61,13_20,28
62,13_21,26
63,13_22,31
64,13_23,34
65,13_3,25
66,13_4,25
67,13_5,38
68,13_6,33
69,13_7,28
70,13_8,27
71,13_9,35
72,14_0,31
73,14_1,37
74,14_10,44
75,14_11,26
76,14_12,35
77,14_13,39
78,14_14,19
79,14_15,25
80,14_16,26
81,14_17,26
82,14_18,29
83,14_19,25
84,14_2,52
85,14_20,34
86,14_21,30
87,14_22,36
88,14_23,33
89,14_3,38
90,14_4,37
91,14_5,26
92,14_6,33
93,14_7,28
94,14_8,41
95,14_9,30
96,15_0,26
97,15_1,19
98,15_10,45
99,15_11,23
100,15_12,29
101,15_13,41
102,15_14,36
103,15_15,107
104,15_16,105
105,15_17,98
106,15_18,34
107,15_19,35
108,15_2,56
109,15_20,36
110,15_21,46
111,15_22,28
112,15_23,37
113,15_3,21
114,15_4,30
115,15_5,26
116,15_6,39
117,15_7,43
118,15_8,39
119,15_9,31
120,16_0,27
121,16_1,30
122,16_10,73
123,16_11,74
124,16_12,40
125,16_13,57
126,16_14,54
127,16_15,136
128,16_16,274
129,16_17,374
130,16_18,82
131,16_19,31
132,16_2,58
133,16_20,44
134,16_21,800
135,16_22,38
136,16_23,27
137,16_3,14
138,16_4,30
139,16_5,33
140,16_6,26
141,16_7,29
142,16_8,30
143,16_9,59
144,17_0,37
145,17_1,32
146,17_10,305
147,17_11,406
148,17_12,141
149,17_13,50
150,17_14,35
151,17_15,611
152,17_16,486
153,17_17,160
154,17_18,68
155,17_19,120
156,17_2,32
157,17_20,61
158,17_21,111
159,17_22,39
160,17_23,37
161,17_3,34
162,17_4,47
163,17_5,28
164,17_6,36
165,17_7,26
166,17_8,28
167,17_9,71
168,18_0,35
169,18_1,34
170,18_10,358
171,18_11,396
172,18_12,220
173,18_13,124
174,18_14,262
175,18_15,192
176,18_16,182
177,18_17,137
178,18_18,157
179,18_19,31
180,18_2,60
181,18_20,208
182,18_21,97
183,18_22,79
184,18_23,50
185,18_3,32
186,18_4,34
187,18_5,34
188,18_6,24
189,18_7,28
190,18_8,21
191,18_9,24
