,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,0
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,1
25,12_1,2
26,12_10,5
27,12_11,2
28,12_12,0
29,12_13,3
30,12_14,1
31,12_15,2
32,12_16,1
33,12_17,2
34,12_18,3
35,12_19,1
36,12_2,0
37,12_20,1
38,12_21,0
39,12_22,0
40,12_23,0
41,12_3,0
42,12_4,0
43,12_5,1
44,12_6,1
45,12_7,2
46,12_8,0
47,12_9,6
48,13_0,2
49,13_1,0
50,13_10,0
51,13_11,2
52,13_12,1
53,13_13,2
54,13_14,0
55,13_15,0
56,13_16,2
57,13_17,1
58,13_18,2
59,13_19,1
60,13_2,2
61,13_20,2
62,13_21,0
63,13_22,0
64,13_23,1
65,13_3,0
66,13_4,0
67,13_5,0
68,13_6,0
69,13_7,0
70,13_8,1
71,13_9,1
72,14_0,0
73,14_1,0
74,14_10,3
75,14_11,0
76,14_12,1
77,14_13,1
78,14_14,0
79,14_15,1
80,14_16,1
81,14_17,0
82,14_18,1
83,14_19,3
84,14_2,0
85,14_20,1
86,14_21,1
87,14_22,1
88,14_23,0
89,14_3,0
90,14_4,1
91,14_5,1
92,14_6,0
93,14_7,0
94,14_8,2
95,14_9,8
96,15_0,0
97,15_1,0
98,15_10,1
99,15_11,1
100,15_12,0
101,15_13,2
102,15_14,3
103,15_15,3
104,15_16,1
105,15_17,0
106,15_18,0
107,15_19,2
108,15_2,2
109,15_20,0
110,15_21,0
111,15_22,0
112,15_23,0
113,15_3,1
114,15_4,0
115,15_5,0
116,15_6,0
117,15_7,0
118,15_8,0
119,15_9,1
120,16_0,0
121,16_1,2
122,16_10,2
123,16_11,2
124,16_12,0
125,16_13,5
126,16_14,2
127,16_15,4
128,16_16,2
129,16_17,0
130,16_18,0
131,16_19,1
132,16_2,0
133,16_20,1
134,16_21,0
135,16_22,2
136,16_23,1
137,16_3,1
138,16_4,0
139,16_5,2
140,16_6,2
141,16_7,3
142,16_8,2
143,16_9,4
144,17_0,0
145,17_1,3
146,17_10,2
147,17_11,3
148,17_12,0
149,17_13,3
150,17_14,3
151,17_15,1
152,17_16,1
153,17_17,1
154,17_18,0
155,17_19,1
156,17_2,0
157,17_20,2
158,17_21,1
159,17_22,1
160,17_23,1
161,17_3,0
162,17_4,2
163,17_5,1
164,17_6,1
165,17_7,2
166,17_8,0
167,17_9,4
168,18_0,0
169,18_1,0
170,18_10,2
171,18_11,1
172,18_12,1
173,18_13,2
174,18_14,2
175,18_15,2
176,18_16,3
177,18_17,0
178,18_18,3
179,18_19,2
180,18_2,0
181,18_20,1
182,18_21,1
183,18_22,1
184,18_23,2
185,18_3,0
186,18_4,1
187,18_5,0
188,18_6,1
189,18_7,1
190,18_8,0
191,18_9,4
