,day_time,in_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,7
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,30
25,12_1,40
26,12_10,34
27,12_11,37
28,12_12,32
29,12_13,30
30,12_14,32
31,12_15,34
32,12_16,28
33,12_17,28
34,12_18,35
35,12_19,30
36,12_2,28
37,12_20,29
38,12_21,32
39,12_22,33
40,12_23,40
41,12_3,45
42,12_4,36
43,12_5,46
44,12_6,33
45,12_7,25
46,12_8,31
47,12_9,31
48,13_0,27
49,13_1,35
50,13_10,30
51,13_11,28
52,13_12,27
53,13_13,43
54,13_14,27
55,13_15,35
56,13_16,30
57,13_17,37
58,13_18,37
59,13_19,38
60,13_2,31
61,13_20,33
62,13_21,36
63,13_22,28
64,13_23,34
65,13_3,27
66,13_4,27
67,13_5,23
68,13_6,27
69,13_7,40
70,13_8,36
71,13_9,31
72,14_0,35
73,14_1,32
74,14_10,35
75,14_11,35
76,14_12,25
77,14_13,40
78,14_14,37
79,14_15,36
80,14_16,32
81,14_17,42
82,14_18,32
83,14_19,37
84,14_2,39
85,14_20,28
86,14_21,40
87,14_22,23
88,14_23,32
89,14_3,38
90,14_4,28
91,14_5,34
92,14_6,40
93,14_7,32
94,14_8,21
95,14_9,39
96,15_0,47
97,15_1,34
98,15_10,40
99,15_11,27
100,15_12,33
101,15_13,34
102,15_14,42
103,15_15,31
104,15_16,25
105,15_17,42
106,15_18,37
107,15_19,27
108,15_2,37
109,15_20,45
110,15_21,43
111,15_22,28
112,15_23,33
113,15_3,37
114,15_4,33
115,15_5,32
116,15_6,36
117,15_7,42
118,15_8,34
119,15_9,38
120,16_0,26
121,16_1,26
122,16_10,38
123,16_11,43
124,16_12,42
125,16_13,36
126,16_14,33
127,16_15,26
128,16_16,31
129,16_17,31
130,16_18,31
131,16_19,40
132,16_2,32
133,16_20,27
134,16_21,33
135,16_22,36
136,16_23,33
137,16_3,25
138,16_4,37
139,16_5,35
140,16_6,24
141,16_7,32
142,16_8,39
143,16_9,40
144,17_0,39
145,17_1,18
146,17_10,31
147,17_11,36
148,17_12,32
149,17_13,36
150,17_14,27
151,17_15,39
152,17_16,26
153,17_17,31
154,17_18,34
155,17_19,33
156,17_2,25
157,17_20,26
158,17_21,30
159,17_22,35
160,17_23,35
161,17_3,25
162,17_4,35
163,17_5,33
164,17_6,34
165,17_7,28
166,17_8,39
167,17_9,30
168,18_0,33
169,18_1,42
170,18_10,32
171,18_11,37
172,18_12,34
173,18_13,36
174,18_14,26
175,18_15,33
176,18_16,33
177,18_17,28
178,18_18,35
179,18_19,36
180,18_2,40
181,18_20,35
182,18_21,32
183,18_22,43
184,18_23,16
185,18_3,39
186,18_4,46
187,18_5,24
188,18_6,28
189,18_7,28
190,18_8,25
191,18_9,32
