,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,7
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,89
25,12_1,75
26,12_10,358
27,12_11,299
28,12_12,204
29,12_13,268
30,12_14,413
31,12_15,349
32,12_16,346
33,12_17,309
34,12_18,310
35,12_19,167
36,12_2,72
37,12_20,54
38,12_21,32
39,12_22,12
40,12_23,8
41,12_3,60
42,12_4,72
43,12_5,78
44,12_6,66
45,12_7,75
46,12_8,72
47,12_9,240
48,13_0,11
49,13_1,7
50,13_10,21
51,13_11,17
52,13_12,13
53,13_13,20
54,13_14,11
55,13_15,29
56,13_16,19
57,13_17,14
58,13_18,11
59,13_19,15
60,13_2,5
61,13_20,15
62,13_21,4
63,13_22,8
64,13_23,7
65,13_3,6
66,13_4,4
67,13_5,4
68,13_6,8
69,13_7,6
70,13_8,4
71,13_9,14
72,14_0,11
73,14_1,3
74,14_10,37
75,14_11,81
76,14_12,84
77,14_13,77
78,14_14,76
79,14_15,69
80,14_16,74
81,14_17,74
82,14_18,76
83,14_19,82
84,14_2,10
85,14_20,71
86,14_21,100
87,14_22,55
88,14_23,64
89,14_3,4
90,14_4,5
91,14_5,1
92,14_6,6
93,14_7,7
94,14_8,5
95,14_9,3
96,15_0,77
97,15_1,73
98,15_10,321
99,15_11,275
100,15_12,241
101,15_13,290
102,15_14,308
103,15_15,353
104,15_16,298
105,15_17,331
106,15_18,276
107,15_19,249
108,15_2,71
109,15_20,196
110,15_21,187
111,15_22,181
112,15_23,138
113,15_3,65
114,15_4,57
115,15_5,75
116,15_6,51
117,15_7,82
118,15_8,75
119,15_9,219
120,16_0,91
121,16_1,82
122,16_10,378
123,16_11,293
124,16_12,237
125,16_13,234
126,16_14,318
127,16_15,322
128,16_16,327
129,16_17,302
130,16_18,323
131,16_19,211
132,16_2,90
133,16_20,171
134,16_21,115
135,16_22,111
136,16_23,100
137,16_3,98
138,16_4,107
139,16_5,85
140,16_6,92
141,16_7,86
142,16_8,96
143,16_9,242
144,17_0,87
145,17_1,93
146,17_10,360
147,17_11,309
148,17_12,229
149,17_13,232
150,17_14,279
151,17_15,280
152,17_16,277
153,17_17,323
154,17_18,266
155,17_19,216
156,17_2,92
157,17_20,175
158,17_21,189
159,17_22,144
160,17_23,136
161,17_3,82
162,17_4,97
163,17_5,81
164,17_6,96
165,17_7,101
166,17_8,87
167,17_9,261
168,18_0,133
169,18_1,137
170,18_10,328
171,18_11,316
172,18_12,248
173,18_13,252
174,18_14,291
175,18_15,276
176,18_16,316
177,18_17,290
178,18_18,236
179,18_19,194
180,18_2,142
181,18_20,113
182,18_21,81
183,18_22,76
184,18_23,92
185,18_3,83
186,18_4,68
187,18_5,63
188,18_6,72
189,18_7,87
190,18_8,97
191,18_9,258
