,day_time,out_degree
0,11_0,0
1,11_1,0
2,11_10,0
3,11_11,0
4,11_12,0
5,11_13,0
6,11_14,0
7,11_15,0
8,11_16,0
9,11_17,0
10,11_18,0
11,11_19,0
12,11_2,0
13,11_20,0
14,11_21,0
15,11_22,0
16,11_23,5
17,11_3,0
18,11_4,0
19,11_5,0
20,11_6,0
21,11_7,0
22,11_8,0
23,11_9,0
24,12_0,55
25,12_1,39
26,12_10,265
27,12_11,299
28,12_12,303
29,12_13,278
30,12_14,341
31,12_15,333
32,12_16,326
33,12_17,326
34,12_18,292
35,12_19,176
36,12_2,35
37,12_20,94
38,12_21,69
39,12_22,47
40,12_23,50
41,12_3,33
42,12_4,42
43,12_5,38
44,12_6,52
45,12_7,38
46,12_8,61
47,12_9,183
48,13_0,26
49,13_1,37
50,13_10,67
51,13_11,83
52,13_12,90
53,13_13,94
54,13_14,94
55,13_15,96
56,13_16,93
57,13_17,106
58,13_18,72
59,13_19,53
60,13_2,30
61,13_20,58
62,13_21,45
63,13_22,30
64,13_23,38
65,13_3,26
66,13_4,36
67,13_5,34
68,13_6,40
69,13_7,40
70,13_8,43
71,13_9,54
72,14_0,29
73,14_1,39
74,14_10,58
75,14_11,58
76,14_12,77
77,14_13,69
78,14_14,78
79,14_15,85
80,14_16,89
81,14_17,84
82,14_18,73
83,14_19,54
84,14_2,26
85,14_20,55
86,14_21,33
87,14_22,37
88,14_23,46
89,14_3,33
90,14_4,31
91,14_5,24
92,14_6,37
93,14_7,25
94,14_8,44
95,14_9,51
96,15_0,32
97,15_1,24
98,15_10,295
99,15_11,280
100,15_12,309
101,15_13,306
102,15_14,320
103,15_15,346
104,15_16,332
105,15_17,343
106,15_18,284
107,15_19,197
108,15_2,27
109,15_20,121
110,15_21,82
111,15_22,56
112,15_23,56
113,15_3,26
114,15_4,31
115,15_5,22
116,15_6,34
117,15_7,42
118,15_8,46
119,15_9,176
120,16_0,57
121,16_1,37
122,16_10,322
123,16_11,315
124,16_12,334
125,16_13,296
126,16_14,348
127,16_15,319
128,16_16,328
129,16_17,334
130,16_18,280
131,16_19,194
132,16_2,43
133,16_20,136
134,16_21,71
135,16_22,71
136,16_23,50
137,16_3,41
138,16_4,32
139,16_5,40
140,16_6,41
141,16_7,37
142,16_8,52
143,16_9,178
144,17_0,55
145,17_1,57
146,17_10,301
147,17_11,282
148,17_12,286
149,17_13,308
150,17_14,298
151,17_15,356
152,17_16,367
153,17_17,327
154,17_18,280
155,17_19,186
156,17_2,44
157,17_20,125
158,17_21,96
159,17_22,73
160,17_23,45
161,17_3,44
162,17_4,54
163,17_5,45
164,17_6,37
165,17_7,47
166,17_8,72
167,17_9,193
168,18_0,40
169,18_1,40
170,18_10,302
171,18_11,334
172,18_12,316
173,18_13,294
174,18_14,302
175,18_15,315
176,18_16,312
177,18_17,309
178,18_18,239
179,18_19,141
180,18_2,35
181,18_20,98
182,18_21,51
183,18_22,46
184,18_23,37
185,18_3,36
186,18_4,44
187,18_5,43
188,18_6,39
189,18_7,55
190,18_8,70
191,18_9,178
