,day_time,uplink_length,downlink_length
1,11_22,45452,231615
1,11_23,6757266,7086997
1,12_0,30100809,15957916
1,12_1,20298168,5152613
1,12_10,75168,3395320
1,12_11,4314961,3475381
1,12_12,14305200,9586834
1,12_13,141188,1793175
1,12_14,1063520,4043323
1,12_15,1575121,5702326
1,12_16,1977958,5433155
1,12_17,14147720,8128935
1,12_18,2909527,15188722
1,12_19,28013132,15460777
1,12_2,5310470,1671058
1,12_20,8059094,15642905
1,12_21,27082819,16633758
1,12_22,22899317,14319556
1,12_23,20291432,10984775
1,12_3,17648051,14379554
1,12_4,9287809,11104796
1,12_5,25545780,15098293
1,12_6,23734971,13706492
1,12_7,10241341,14346246
1,12_8,5158748,8427533
1,12_9,2949990,6708421
1,13_0,7409282,1893071
1,13_1,16131243,13657272
1,13_10,17615145,4233714
1,13_11,2476153,2935421
1,13_12,13833096,5535554
1,13_13,13532747,12714475
1,13_14,19897064,7782355
1,13_15,28797284,19906284
1,13_16,7217671,6784753
1,13_17,7689887,23888622
1,13_18,5588646,34461095
1,13_19,11433745,21772769
1,13_2,13786396,9481706
1,13_20,11562858,27602125
1,13_21,22415379,9503464
1,13_22,26784061,19197893
1,13_23,9466844,6857194
1,13_3,16676828,12911126
1,13_4,15040037,12900452
1,13_5,39989303,16090847
1,13_6,419976,11068688
1,13_7,4176533,1902538
1,13_8,10389330,8467976
1,13_9,12819300,4608927
1,14_0,4511467,19413012
1,14_1,5324151,4559585
1,14_10,12826859,2679426
1,14_11,9732682,5335867
1,14_12,15463110,10630064
1,14_13,332871,1881639
1,14_14,3890263,7334288
1,14_15,9945900,6661437
1,14_16,21535702,27206232
1,14_17,12004335,2525674
1,14_18,7561181,12215163
1,14_19,11319735,12055027
1,14_2,19024677,16362712
1,14_20,16284130,8611970
1,14_21,19889118,14622797
1,14_22,39340020,23186484
1,14_23,7327600,11814879
1,14_3,20915127,25587853
1,14_4,2863611,14578619
1,14_5,14162236,13599623
1,14_6,19175361,16588393
1,14_7,26547985,11890481
1,14_8,21533369,25005889
1,14_9,6945453,2577756
1,15_0,2266279,15353713
1,15_1,43070360,21549895
1,15_10,1656678,2229697
1,15_11,804274,2573643
1,15_12,11256073,12465064
1,15_13,5857923,7862500
1,15_14,3313363,4891620
1,15_15,4281033,5953630
1,15_16,2280394,4212219
1,15_17,4795412,3592821
1,15_18,1452162,7657565
1,15_19,478074,2398653
1,15_2,12420319,17600484
1,15_20,5067321,9139767
1,15_21,9852836,7088128
1,15_22,10884914,5812008
1,15_23,30023633,12593606
1,15_3,10929545,11658872
1,15_4,1540265,14684767
1,15_5,11071651,17205674
1,15_6,27767272,14439019
1,15_7,14346321,41674355
1,15_8,15374855,15684328
1,15_9,1464749,2617584
1,16_0,11030232,6165708
1,16_1,33337657,7159176
1,16_10,829282,2157088
1,16_11,1182585,3643955
1,16_12,8481819,5188087
1,16_13,2507490,2420203
1,16_14,866215,4429160
1,16_15,1299314,3498414
1,16_16,463428,1936703
1,16_17,4899560,5539339
1,16_18,5955317,8320430
1,16_19,16045764,24442590
1,16_2,15034252,13592202
1,16_20,32267137,7328001
1,16_21,8947446,6137954
1,16_22,16067038,14548297
1,16_23,7076203,5085092
1,16_3,4165766,1705792
1,16_4,32672821,35100182
1,16_5,25038580,20325414
1,16_6,20294344,12585933
1,16_7,16580121,12915565
1,16_8,8473609,4772487
1,16_9,8785419,3778037
1,17_0,32086476,18583508
1,17_1,15311366,12431998
1,17_10,2210504,1564768
1,17_11,2221447,2581205
1,17_12,11637212,13897361
1,17_13,5420493,1841554
1,17_14,6777181,3120709
1,17_15,4113194,2645519
1,17_16,21809661,10295905
1,17_17,9860709,2564218
1,17_18,7253223,13770392
1,17_19,8230522,10480264
1,17_2,27996593,6949643
1,17_20,13603244,7610141
1,17_21,16787255,12144907
1,17_22,21825432,19514747
1,17_23,19702784,14250182
1,17_3,1139725,5497116
1,17_4,857232,2988714
1,17_5,1616706,5823246
1,17_6,18213313,3698835
1,17_7,14087197,10340428
1,17_8,19045946,13083387
1,17_9,11933281,2441038
1,18_0,17867896,16763164
1,18_1,5349633,4206568
1,18_10,5160351,3685111
1,18_11,7594123,5210510
1,18_12,8512155,23959677
1,18_13,6364951,5609898
1,18_14,990984,5922392
1,18_15,2450898,6111783
1,18_16,1021231,3285393
1,18_17,5351831,8107297
1,18_18,8975176,18115985
1,18_19,30196915,20844451
1,18_2,12839636,10508274
1,18_20,20923428,10607709
1,18_21,16845463,12493409
1,18_22,40797712,12507808
1,18_23,458362,1093057
1,18_3,1472052,4176474
1,18_4,8006932,6617161
1,18_5,13054155,31855154
1,18_6,20469432,12894297
1,18_7,20456483,14896543
1,18_8,11695644,12158591
1,18_9,9417611,11422192
1,11_0,0,0
1,11_1,0,0
1,11_2,0,0
1,11_3,0,0
1,11_4,0,0
1,11_5,0,0
1,11_6,0,0
1,11_7,0,0
1,11_8,0,0
1,11_9,0,0
1,11_10,0,0
1,11_11,0,0
1,11_12,0,0
1,11_13,0,0
1,11_14,0,0
1,11_15,0,0
1,11_16,0,0
1,11_17,0,0
1,11_18,0,0
1,11_19,0,0
1,11_20,0,0
1,11_21,0,0
