,day_time,uplink_length,downlink_length,sum_flow
0,11_23,132857,9565456,9698313
1,12_0,2684277,220006846,222691123
2,12_1,115744,3008451,3124195
3,12_10,1226908,7161134,8388042
4,12_11,1532509,2746752,4279261
5,12_12,2480250,6295336,8775586
6,12_13,312809,14603949,14916758
7,12_14,632383,6257078,6889461
8,12_15,622446,5274424,5896870
9,12_16,782559,8212821,8995380
10,12_17,289771,3383827,3673598
11,12_18,490145,4245933,4736078
12,12_19,339878,1888042,2227920
13,12_2,40459,8335338,8375797
14,12_20,151504,532320,683824
15,12_21,65084,317356,382440
16,12_22,18877,163037,181914
17,12_23,11655,12583,24238
18,12_3,29019,41382,70401
19,12_4,29198,43072,72270
20,12_5,18706,23779,42485
21,12_6,12505,13512,26017
22,12_7,13684,14652,28336
23,12_8,34062,61080,95142
24,12_9,1455600,2199554,3655154
25,13_0,11914,17590,29504
26,13_1,22592,834815,857407
27,13_10,53472,76145,129617
28,13_11,210897,143942,354839
29,13_12,12060,8998,21058
30,13_13,21489,14922,36411
31,13_14,267112,1009033,1276145
32,13_15,1037570,78445558,79483128
33,13_16,4957548,14485133,19442681
34,13_17,4125639,30428786,34554425
35,13_18,4090030,164106886,168196916
36,13_19,12477,12238,24715
37,13_2,227581,24721970,24949551
38,13_20,9235,16152,25387
39,13_21,9351,39442,48793
40,13_22,8069,38767,46836
41,13_23,9247,19555,28802
42,13_3,264721,42381308,42646029
43,13_4,248613,96276780,96525393
44,13_5,930672,2088391,3019063
45,13_6,2196804,3326146,5522950
46,13_7,34562,164972,199534
47,13_8,2562624,5115113,7677737
48,13_9,706274,63878554,64584828
49,14_0,12192,43361,55553
50,14_1,6303,7277,13580
51,14_10,74952,69362,144314
52,14_11,8270,10810,19080
53,14_12,9769,13388,23157
54,14_13,291471,119062,410533
55,14_14,1189247,3089607,4278854
56,14_15,76580,69209,145789
57,14_16,1668669,87469409,89138078
58,14_17,984158,1505517,2489675
59,14_18,1063365,3149656,4213021
60,14_19,1176154,1499885,2676039
61,14_2,57726,8270010,8327736
62,14_20,71801,38534,110335
63,14_21,23587,263286,286873
64,14_22,1297871,2579559,3877430
65,14_23,9759,18762,28521
66,14_3,6833,14541,21374
67,14_4,10922,19252,30174
68,14_5,6869,11461,18330
69,14_6,7274,13426,20700
70,14_7,9488,44083,53571
71,14_8,6374,8584,14958
72,14_9,18807,14798,33605
73,15_0,783580,538810,1322390
74,15_1,7184,34207,41391
75,15_10,1443585,4518678,5962263
76,15_11,871886,4188337,5060223
77,15_12,1091373,2008323,3099696
78,15_13,1779858,6231062,8010920
79,15_14,1054492,4990448,6044940
80,15_15,2606337,5455707,8062044
81,15_16,5100486,7211468,12311954
82,15_17,913209,2910045,3823254
83,15_18,854139,3044047,3898186
84,15_19,2399304,4712306,7111610
85,15_2,12333,19239,31572
86,15_20,348117,619429,967546
87,15_21,2200826,2433197,4634023
88,15_22,747242,65773952,66521194
89,15_23,1626588,70231665,71858253
90,15_3,6231,11649,17880
91,15_4,147322,16794368,16941690
92,15_5,287436,46501052,46788488
93,15_6,254775,49262333,49517108
94,15_7,63360,31037806,31101166
95,15_8,6453,10148,16601
96,15_9,1384786,3533348,4918134
97,16_0,325897,40524774,40850671
98,16_1,437465,1413057,1850522
99,16_10,1627035,3589356,5216391
100,16_11,1024849,5923369,6948218
101,16_12,102731,595515,698246
102,16_13,1308524,1560603,2869127
103,16_14,544717,2863616,3408333
104,16_15,875743,3846893,4722636
105,16_16,622045,3108812,3730857
106,16_17,2063194,12318160,14381354
107,16_18,1275526,12186115,13461641
108,16_19,718743,3802199,4520942
109,16_2,3446409,15453546,18899955
110,16_20,196815,1402921,1599736
111,16_21,122674,1815007,1937681
112,16_22,61462,938759,1000221
113,16_23,24283,271022,295305
114,16_3,1044385,310065002,311109387
115,16_4,6279,11932,18211
116,16_5,16474,1020781,1037255
117,16_6,420827,2910261,3331088
118,16_7,2136425,5237083,7373508
119,16_8,2157037,102830945,104987982
120,16_9,164813,692332,857145
121,17_0,13696,289377,303073
122,17_1,10401,287624,298025
123,17_10,1700522,5007779,6708301
124,17_11,3180115,6554280,9734395
125,17_12,1745691,2756602,4502293
126,17_13,637042,6587399,7224441
127,17_14,1670702,7047906,8718608
128,17_15,1738330,22328447,24066777
129,17_16,3093314,77895376,80988690
130,17_17,3310635,238529344,241839979
131,17_18,2649305,23851209,26500514
132,17_19,3782654,14829104,18611758
133,17_2,110860,16171901,16282761
134,17_20,5071041,22980363,28051404
135,17_21,2844318,16491422,19335740
136,17_22,1735527,313290359,315025886
137,17_23,1275137,3901669,5176806
138,17_3,245006,35704278,35949284
139,17_4,277516,49696985,49974501
140,17_5,1067637,41192575,42260212
141,17_6,97594,69605,167199
142,17_7,1325167,5467630,6792797
143,17_8,1401097,5732402,7133499
144,17_9,330473,11082059,11412532
145,18_0,611135,4679634,5290769
146,18_1,3216658,28304382,31521040
147,18_10,2210742,8085159,10295901
148,18_11,1567933,56641099,58209032
149,18_12,3626356,2894840,6521196
150,18_13,1711414,3959494,5670908
151,18_14,2428929,103913251,106342180
152,18_15,477103,6074107,6551210
153,18_16,649571,2595542,3245113
154,18_17,657755,5700784,6358539
155,18_18,654337,5629704,6284041
156,18_19,517600,2285460,2803060
157,18_2,1642138,180546034,182188172
158,18_20,2711348,8232783,10944131
159,18_21,2022435,19454229,21476664
160,18_22,1455544,34097509,35553053
161,18_23,1193752,3828622,5022374
162,18_3,2212633,93463016,95675649
163,18_4,463313,1214460,1677773
164,18_5,3831778,3332024,7163802
165,18_6,4050983,13143934,17194917
166,18_7,5330939,93928268,99259207
167,18_8,40412,330599,371011
168,18_9,966974,1548662,2515636
169,11-0,0,0,0
170,11-1,0,0,0
171,11-2,0,0,0
172,11-3,0,0,0
173,11-4,0,0,0
174,11-5,0,0,0
175,11-6,0,0,0
176,11-7,0,0,0
177,11-8,0,0,0
178,11-9,0,0,0
179,11-10,0,0,0
180,11-11,0,0,0
181,11-12,0,0,0
182,11-13,0,0,0
183,11-14,0,0,0
184,11-15,0,0,0
185,11-16,0,0,0
186,11-17,0,0,0
187,11-18,0,0,0
188,11-19,0,0,0
189,11-20,0,0,0
190,11-21,0,0,0
191,11-22,0,0,0
192,11-23,0,0,0
193,12-0,0,0,0
194,12-1,0,0,0
195,12-2,0,0,0
196,12-3,0,0,0
197,12-4,0,0,0
198,12-5,0,0,0
199,12-6,0,0,0
200,12-7,0,0,0
201,12-8,0,0,0
202,12-9,0,0,0
203,12-10,0,0,0
204,12-11,0,0,0
205,12-12,0,0,0
206,12-13,0,0,0
207,12-14,0,0,0
208,12-15,0,0,0
209,12-16,0,0,0
210,12-17,0,0,0
211,12-18,0,0,0
212,12-19,0,0,0
213,12-20,0,0,0
214,12-21,0,0,0
215,12-22,0,0,0
216,12-23,0,0,0
217,13-0,0,0,0
218,13-1,0,0,0
219,13-2,0,0,0
220,13-3,0,0,0
221,13-4,0,0,0
222,13-5,0,0,0
223,13-6,0,0,0
224,13-7,0,0,0
225,13-8,0,0,0
226,13-9,0,0,0
227,13-10,0,0,0
228,13-11,0,0,0
229,13-12,0,0,0
230,13-13,0,0,0
231,13-14,0,0,0
232,13-15,0,0,0
233,13-16,0,0,0
234,13-17,0,0,0
235,13-18,0,0,0
236,13-19,0,0,0
237,13-20,0,0,0
238,13-21,0,0,0
239,13-22,0,0,0
240,13-23,0,0,0
241,14-0,0,0,0
242,14-1,0,0,0
243,14-2,0,0,0
244,14-3,0,0,0
245,14-4,0,0,0
246,14-5,0,0,0
247,14-6,0,0,0
248,14-7,0,0,0
249,14-8,0,0,0
250,14-9,0,0,0
251,14-10,0,0,0
252,14-11,0,0,0
253,14-12,0,0,0
254,14-13,0,0,0
255,14-14,0,0,0
256,14-15,0,0,0
257,14-16,0,0,0
258,14-17,0,0,0
259,14-18,0,0,0
260,14-19,0,0,0
261,14-20,0,0,0
262,14-21,0,0,0
263,14-22,0,0,0
264,14-23,0,0,0
265,15-0,0,0,0
266,15-1,0,0,0
267,15-2,0,0,0
268,15-3,0,0,0
269,15-4,0,0,0
270,15-5,0,0,0
271,15-6,0,0,0
272,15-7,0,0,0
273,15-8,0,0,0
274,15-9,0,0,0
275,15-10,0,0,0
276,15-11,0,0,0
277,15-12,0,0,0
278,15-13,0,0,0
279,15-14,0,0,0
280,15-15,0,0,0
281,15-16,0,0,0
282,15-17,0,0,0
283,15-18,0,0,0
284,15-19,0,0,0
285,15-20,0,0,0
286,15-21,0,0,0
287,15-22,0,0,0
288,15-23,0,0,0
289,16-0,0,0,0
290,16-1,0,0,0
291,16-2,0,0,0
292,16-3,0,0,0
293,16-4,0,0,0
294,16-5,0,0,0
295,16-6,0,0,0
296,16-7,0,0,0
297,16-8,0,0,0
298,16-9,0,0,0
299,16-10,0,0,0
300,16-11,0,0,0
301,16-12,0,0,0
302,16-13,0,0,0
303,16-14,0,0,0
304,16-15,0,0,0
305,16-16,0,0,0
306,16-17,0,0,0
307,16-18,0,0,0
308,16-19,0,0,0
309,16-20,0,0,0
310,16-21,0,0,0
311,16-22,0,0,0
312,16-23,0,0,0
313,17-0,0,0,0
314,17-1,0,0,0
315,17-2,0,0,0
316,17-3,0,0,0
317,17-4,0,0,0
318,17-5,0,0,0
319,17-6,0,0,0
320,17-7,0,0,0
321,17-8,0,0,0
322,17-9,0,0,0
323,17-10,0,0,0
324,17-11,0,0,0
325,17-12,0,0,0
326,17-13,0,0,0
327,17-14,0,0,0
328,17-15,0,0,0
329,17-16,0,0,0
330,17-17,0,0,0
331,17-18,0,0,0
332,17-19,0,0,0
333,17-20,0,0,0
334,17-21,0,0,0
335,17-22,0,0,0
336,17-23,0,0,0
337,18-0,0,0,0
338,18-1,0,0,0
339,18-2,0,0,0
340,18-3,0,0,0
341,18-4,0,0,0
342,18-5,0,0,0
343,18-6,0,0,0
344,18-7,0,0,0
345,18-8,0,0,0
346,18-9,0,0,0
347,18-10,0,0,0
348,18-11,0,0,0
349,18-12,0,0,0
350,18-13,0,0,0
351,18-14,0,0,0
352,18-15,0,0,0
353,18-16,0,0,0
354,18-17,0,0,0
355,18-18,0,0,0
356,18-19,0,0,0
357,18-20,0,0,0
358,18-21,0,0,0
359,18-22,0,0,0
360,18-23,0,0,0
