,day_time,uplink_length,downlink_length,sum_flow
0,11_23,922,17093,18015
1,12_0,54197,1298062,1352259
2,12_1,19902,384948,404850
3,12_10,375626,2424157,2799783
4,12_11,3293771,688663,3982434
5,12_12,509809,52772,562581
6,12_13,87848,947508,1035356
7,12_14,675892,1000373,1676265
8,12_15,1078095,609220,1687315
9,12_16,2930961,444492,3375453
10,12_17,391646,1559901,1951547
11,12_18,2784448,1671275,4455723
12,12_19,283717,942168,1225885
13,12_2,39543,745622,785165
14,12_20,103341,2768600,2871941
15,12_21,3801,54975,58776
16,12_22,88746,2238106,2326852
17,12_23,70844,1639563,1710407
18,12_3,91022,2001141,2092163
19,12_4,68274,1834641,1902915
20,12_5,105397,2571639,2677036
21,12_6,19292,359442,378734
22,12_7,55119,1315155,1370274
23,12_8,36470,557423,593893
24,12_9,100355,2213736,2314091
25,13_0,55570,1305646,1361216
26,13_1,20017,374207,394224
27,13_10,539072,34894,573966
28,13_11,93268,1301631,1394899
29,13_12,2065,7392,9457
30,13_13,53242,1276005,1329247
31,13_14,103848,1272493,1376341
32,13_15,137280,39570,176850
33,13_16,7159026,2246486,9405512
34,13_17,36659,954425,991084
35,13_18,21056,393515,414571
36,13_19,35356,926455,961811
37,13_2,35214,930207,965421
38,13_20,72801,1664402,1737203
39,13_21,1324,3700,5024
40,13_22,19294,364123,383417
41,13_23,121434,3133688,3255122
42,13_3,2544,47204,49748
43,13_4,38163,746006,784169
44,13_5,21743,421790,443533
45,13_6,102222,2746523,2848745
46,13_7,67612,1841822,1909434
47,13_8,3980,60868,64848
48,13_9,1267,18325,19592
49,14_0,1611,19557,21168
50,14_1,38414,977738,1016152
51,14_10,58423,1336169,1394592
52,14_11,55801,1322561,1378362
53,14_12,20939,393586,414525
54,14_13,52892,1275034,1327926
55,14_14,34982,915578,950560
56,14_15,86728,2200313,2287041
57,14_16,39504,745861,785365
58,14_17,35049,934868,969917
59,14_18,35590,941084,976674
60,14_19,19526,379013,398539
61,14_2,121048,3122811,3243859
62,14_20,2756,9856,12612
63,14_21,54507,1294591,1349098
64,14_22,20606,386146,406752
65,14_23,128463,3147297,3275760
66,14_3,2448,18269,20717
67,14_4,2299,22021,24320
68,14_5,73690,1671850,1745540
69,14_6,35211,930207,965418
70,14_7,20216,381216,401432
71,14_8,1757,15805,17562
72,14_9,87075,2201545,2288620
73,15_0,35971,951961,987932
74,15_1,1610,19557,21167
75,15_10,1783262,2367769,4151031
76,15_11,406939,516001,922940
77,15_12,86627,2220185,2306812
78,15_13,1306168,946010,2252178
79,15_14,545060,2034642,2579702
80,15_15,968277,1023854,1992131
81,15_16,56941,378564,435505
82,15_17,236869,948269,1185138
83,15_18,543390,943579,1486969
84,15_19,285564,925543,1211107
85,15_2,54920,1315113,1370033
86,15_20,21003,412942,433945
87,15_21,34932,925481,960413
88,15_22,55586,1337191,1392777
89,15_23,73904,1706681,1780585
90,15_3,89412,1996410,2085822
91,15_4,69540,1852966,1922506
92,15_5,2101,17037,19138
