,day_time,uplink_length,downlink_length,sum_flow
0,12_0,18984,21084,40068
1,12_1,11020,11168,22188
2,12_10,8776,4704,13480
3,12_11,4488,1048,5536
4,12_12,328,280,608
5,12_15,8448,10364,18812
6,12_17,2244,524,2768
7,12_18,2244,524,2768
8,12_19,328,280,608
9,12_2,2244,524,2768
10,12_20,8776,10644,19420
11,12_21,6420,1396,7816
12,12_23,10692,10872,21564
13,12_4,8448,10364,18812
14,12_5,2244,524,2768
15,12_7,19140,21252,40392
16,12_8,2088,436,2524
17,12_9,12936,9640,22576
18,13_0,2088,436,2524
19,13_10,4192,872,5064
20,13_11,2096,436,2532
21,13_12,328,280,608
22,13_13,10552,10800,21352
23,13_14,328,280,608
24,13_15,2252,524,2776
25,13_17,8456,10348,18804
26,13_18,328,280,608
27,13_19,2096,436,2532
28,13_21,2252,524,2776
29,13_22,328,280,608
30,13_23,328,280,608
31,13_4,328,280,608
32,13_5,2244,524,2768
33,13_7,328,280,608
34,13_8,8456,6396,14852
35,14_0,8456,10348,18804
36,14_1,8456,10348,18804
37,14_10,44,0,44
38,14_11,4245,872,5117
39,14_12,4504,1048,5552
40,14_14,8456,10364,18820
41,14_16,2579,803,3382
42,14_17,2580,804,3384
43,14_19,328,280,608
44,14_20,4348,960,5308
45,14_21,8456,10380,18836
46,14_22,328,280,608
47,14_23,328,280,608
48,14_7,8456,2372,10828
49,14_8,16021,11792,27813
50,14_9,2252,524,2776
51,15_0,8456,10332,18788
52,15_10,6444,1396,7840
53,15_11,8456,13852,22308
54,15_12,328,280,608
55,15_13,2096,436,2532
56,15_14,19008,17212,36220
57,15_15,328,280,608
58,15_17,4676,1240,5916
59,15_18,48,243,291
60,15_2,8784,10628,19412
61,15_20,328,280,608
62,15_23,2424,716,3140
63,15_4,656,560,1216
64,15_5,8456,10348,18804
65,15_6,4348,960,5308
66,15_8,8784,10644,19428
67,15_9,8455,10363,18818
68,16_0,8456,10348,18804
69,16_1,2096,436,2532
70,16_10,2252,524,2776
71,16_11,8502,10410,18912
72,16_12,4504,1048,5552
73,16_16,4348,960,5308
74,16_18,2252,524,2776
75,16_19,4504,1048,5552
76,16_2,8455,10379,18834
77,16_20,2096,436,2532
78,16_21,2298,524,2822
79,16_22,2252,524,2776
80,16_23,8784,10628,19412
81,16_4,328,280,608
82,16_6,2096,436,2532
83,16_7,8456,10364,18820
84,16_8,13769,11284,25053
85,17_0,2908,1084,3992
86,17_1,10552,10784,21336
87,17_10,8488,8656,17144
88,17_11,2096,436,2532
89,17_14,21104,21632,42736
90,17_15,2424,716,3140
91,17_16,2252,524,2776
92,17_19,4504,1048,5552
93,17_20,2096,436,2532
94,17_21,10708,10840,21548
95,17_22,328,280,608
96,17_23,2252,524,2776
97,17_3,12804,11308,24112
98,17_4,8784,10628,19412
99,17_5,2251,524,2775
100,17_6,328,280,608
101,17_8,2423,716,3139
102,17_9,2252,524,2776
103,18_1,2096,436,2532
104,18_11,11364,11448,22812
105,18_12,2096,436,2532
106,18_13,4348,960,5308
107,18_16,2252,524,2776
108,18_17,2096,436,2532
109,18_18,2096,436,2532
110,18_19,12804,11532,24336
111,18_2,2096,436,2532
112,18_20,328,280,608
113,18_23,2252,524,2776
114,18_3,2252,524,2776
115,18_5,10552,10784,21336
116,18_6,4348,960,5308
117,18_8,12804,11308,24112
118,11-0,0,0,0
119,11-1,0,0,0
120,11-2,0,0,0
121,11-3,0,0,0
122,11-4,0,0,0
123,11-5,0,0,0
124,11-6,0,0,0
125,11-7,0,0,0
126,11-8,0,0,0
127,11-9,0,0,0
128,11-10,0,0,0
129,11-11,0,0,0
130,11-12,0,0,0
131,11-13,0,0,0
132,11-14,0,0,0
133,11-15,0,0,0
134,11-16,0,0,0
135,11-17,0,0,0
136,11-18,0,0,0
137,11-19,0,0,0
138,11-20,0,0,0
139,11-21,0,0,0
140,11-22,0,0,0
141,11-23,0,0,0
142,12-0,0,0,0
143,12-1,0,0,0
144,12-2,0,0,0
145,12-3,0,0,0
146,12-4,0,0,0
