,day_time,uplink_length,downlink_length
1,11_23,3068,45868
1,12_0,63659,2228831
1,12_1,41793,621500
1,12_10,36666,419548
1,12_11,53725,673499
1,12_12,323348,10009384
1,12_13,227342,7083788
1,12_14,24248,373463
1,12_15,25461,394998
1,12_16,22484,350179
1,12_17,21351,331930
1,12_18,22116,342014
1,12_19,22023,342382
1,12_2,53746,1289511
1,12_20,24451,380027
1,12_21,22984,359468
1,12_22,23895,371850
1,12_23,22410,344739
1,12_3,38095,558372
1,12_4,40440,577735
1,12_5,28886,438892
1,12_6,38467,563167
1,12_7,37487,540127
1,12_8,42427,654975
1,12_9,142136,1383905
1,13_0,57320,1538127
1,13_1,34909,440825
1,13_10,75236,779056
1,13_11,149011,3426709
1,13_12,383139,12546292
1,13_13,64380,1253965
1,13_14,27027,432464
1,13_15,26524,424783
1,13_16,28108,449697
1,13_17,27556,441717
1,13_18,28302,452879
1,13_19,28038,448068
1,13_2,40788,982806
1,13_20,28405,450408
1,13_21,27133,434149
1,13_22,27832,444070
1,13_23,27094,433862
1,13_3,26038,361163
1,13_4,30239,401047
1,13_5,24363,374087
1,13_6,37656,535023
1,13_7,44999,669516
1,13_8,25723,389815
1,13_9,142709,1720839
1,14_0,26988,429395
1,14_1,27382,436302
1,14_10,34346,496683
1,14_11,32284,519674
1,14_12,35040,558763
1,14_13,31947,511108
1,14_14,33718,533908
1,14_15,32635,519607
1,14_16,34060,539460
1,14_17,34168,545934
1,14_18,32629,521615
1,14_19,33482,535349
1,14_2,27283,434833
1,14_20,33329,531740
1,14_21,32851,523882
1,14_22,33072,530601
1,14_23,33773,537868
1,14_3,27997,444699
1,14_4,26157,416055
1,14_5,27613,440052
1,14_6,26371,418886
1,14_7,28935,458450
1,14_8,28755,454674
1,14_9,28337,452126
1,15_0,33949,538083
1,15_1,33050,526082
1,15_10,24421,341202
1,15_11,21608,329709
1,15_12,24780,378297
1,15_13,21230,316152
1,15_14,,
1,15_15,17312,258570
1,15_16,19253,285385
1,15_17,18496,277623
1,15_18,19122,286726
1,15_19,20559,308592
1,15_2,33447,530818
1,15_20,22919,347738
1,15_21,22703,344881
1,15_22,21968,330772
1,15_23,21925,335580
1,15_3,31208,494065
1,15_4,21144,325228
1,15_5,21980,339034
1,15_6,21868,334227
1,15_7,22232,338928
1,15_8,21309,328129
1,15_9,20084,308500
1,16_0,59765,2075352
1,16_1,73934,719411
1,16_10,22909,262803
1,16_11,126512,1486458
1,16_12,36615,393284
1,16_13,42595,477731
1,16_14,20765,250090
1,16_15,230791,5636208
1,16_16,207065,3961136
1,16_17,65249,828438
1,16_18,15050,224341
1,16_19,14395,214529
1,16_2,142179,1711697
1,16_20,14414,201758
1,16_21,13741,202408
1,16_22,13934,205674
1,16_23,14707,213232
1,16_3,151364,1013219
1,16_4,62445,550039
1,16_5,12911,179920
1,16_6,75876,664489
1,16_7,22287,242761
1,16_8,21410,215490
1,16_9,23207,313039
1,17_0,14594,214962
1,17_1,14403,213290
1,17_10,17358,234559
1,17_11,15724,240770
1,17_12,15947,251003
1,17_13,17363,269884
1,17_14,13688,211076
1,17_15,14677,223083
1,17_16,14175,210351
1,17_17,13818,204748
1,17_18,13030,195288
1,17_19,14236,208898
1,17_2,13660,206024
1,17_20,13864,206223
1,17_21,13755,205697
1,17_22,14271,210969
1,17_23,14123,210523
1,17_3,13373,201304
1,17_4,13797,206184
1,17_5,13690,204504
1,17_6,12775,191573
1,17_7,15119,226463
1,17_8,13973,208227
1,17_9,13935,211204
1,18_0,13564,202077
1,18_1,14338,210023
1,18_10,18863,238688
1,18_11,19113,293803
1,18_12,19784,304472
1,18_13,19002,292807
1,18_14,18268,280473
1,18_15,18567,286221
1,18_16,19329,299972
1,18_17,19711,300962
1,18_18,15723,234127
1,18_19,15272,229333
1,18_2,13727,204413
1,18_20,15972,241105
1,18_21,16465,247715
1,18_22,16204,243598
1,18_23,15242,231893
1,18_3,13833,204744
1,18_4,13537,199850
1,18_5,14301,210707
1,18_6,13240,196482
1,18_7,14047,211097
1,18_8,14040,208961
1,18_9,14035,206645
1,11_0,0,0
1,11_1,0,0
1,11_2,0,0
1,11_3,0,0
1,11_4,0,0
1,11_5,0,0
1,11_6,0,0
1,11_7,0,0
1,11_8,0,0
1,11_9,0,0
1,11_10,0,0
1,11_11,0,0
1,11_12,0,0
1,11_13,0,0
1,11_14,0,0
1,11_15,0,0
1,11_16,0,0
1,11_17,0,0
1,11_18,0,0
1,11_19,0,0
1,11_20,0,0
1,11_21,0,0
1,11_22,0,0
