,day_time,uplink_length,downlink_length,sum_flow
0,11_23,418,1478,1896
1,12_0,5268,18550,23818
2,12_1,6615,23403,30018
3,12_10,6551,22840,29391
4,12_11,5346,18329,23675
5,12_12,6739,23484,30223
6,12_13,7033,24873,31906
7,12_14,6449,22715,29164
8,12_15,6058,21201,27259
9,12_16,6244,22497,28741
10,12_17,5965,21258,27223
11,12_18,5891,20961,26852
12,12_19,6887,24334,31221
13,12_2,5513,19037,24550
14,12_20,6607,22348,28955
15,12_21,6754,23636,30390
16,12_22,6767,23494,30261
17,12_23,7239,25847,33086
18,12_3,6747,23343,30090
19,12_4,6349,22006,28355
20,12_5,7430,25462,32892
21,12_6,6893,23890,30783
22,12_7,7052,24260,31312
23,12_8,7483,25591,33074
24,12_9,7255,25367,32622
25,13_0,6674,23076,29750
26,13_1,6150,21344,27494
27,13_10,6627,22495,29122
28,13_11,6376,22441,28817
29,13_12,7172,25112,32284
30,13_13,6873,23731,30604
31,13_14,7232,25545,32777
32,13_15,6588,22956,29544
33,13_16,7179,25419,32598
34,13_17,6695,23966,30661
35,13_18,7371,25785,33156
36,13_19,6210,21755,27965
37,13_2,6150,21338,27488
38,13_20,7059,24561,31620
39,13_21,7942,28100,36042
40,13_22,6203,21465,27668
41,13_23,7165,24827,31992
42,13_3,6349,21997,28346
43,13_4,7199,25553,32752
44,13_5,6389,22280,28669
45,13_6,6535,22821,29356
46,13_7,6396,22575,28971
47,13_8,5494,19186,24680
48,13_9,6199,21608,27807
49,14_0,6894,24623,31517
50,14_1,7212,25412,32624
51,14_10,6694,23204,29898
52,14_11,5931,20536,26467
53,14_12,6648,23373,30021
54,14_13,7637,27178,34815
55,14_14,6634,22786,29420
56,14_15,7079,24702,31781
57,14_16,7232,25549,32781
58,14_17,7384,25627,33011
59,14_18,6621,22937,29558
60,14_19,7710,27448,35158
61,14_2,6376,22447,28823
62,14_20,6521,22239,28760
63,14_21,7033,24874,31907
64,14_22,6396,22591,28987
65,14_23,7357,25179,32536
66,14_3,6801,24220,31021
67,14_4,6183,21309,27492
68,14_5,7716,26998,34714
69,14_6,6522,22974,29496
70,14_7,6601,22808,29409
71,14_8,5977,20345,26322
72,14_9,5301,18545,23846
73,15_0,6979,23991,30970
74,15_1,6688,23661,30349
75,15_10,6551,23060,29611
76,15_11,6008,20350,26358
77,15_12,6657,23292,29949
78,15_13,7690,27295,34985
79,15_14,6983,24664,31647
80,15_15,7644,25919,33563
81,15_16,6046,21199,27245
82,15_17,6237,22204,28441
83,15_18,6797,23803,30600
84,15_19,6129,21161,27290
85,15_2,5573,19474,25047
86,15_20,6761,23932,30693
87,15_21,6305,21776,28081
88,15_22,5009,17463,22472
89,15_23,7073,25160,32233
90,15_3,6104,21515,27619
91,15_4,6283,22031,28314
92,15_5,6900,24178,31078
93,15_6,8373,29437,37810
94,15_7,6197,21916,28113
95,15_8,6913,24025,30938
96,15_9,6721,23660,30381
97,16_0,4531,15543,20074
98,16_1,6973,24447,31420
99,16_10,7141,24765,31906
100,16_11,6928,24910,31838
101,16_12,6881,24789,31670
102,16_13,5927,20594,26521
103,16_14,5833,20855,26688
104,16_15,6754,23645,30399
105,16_16,6112,21611,27723
106,16_17,6900,24182,31082
107,16_18,5779,20442,26221
108,16_19,6642,23399,30041
109,16_2,6986,24293,31279
110,16_20,6144,21787,27931
111,16_21,6296,21876,28172
112,16_22,5195,18278,23473
113,16_23,6993,24593,31586
114,16_3,6821,24367,31188
115,16_4,6296,21883,28179
116,16_5,6502,22846,29348
117,16_6,6515,22674,29189
118,16_7,6947,24752,31699
119,16_8,7278,25387,32665
120,16_9,6001,21099,27100
121,17_0,6429,22578,29007
122,17_1,6840,23751,30591
123,17_10,7079,24695,31774
124,17_11,6688,23121,29809
125,17_12,4913,17395,22308
126,17_13,6263,21872,28135
127,17_14,6462,22543,29005
128,17_15,6091,21195,27286
129,17_16,6816,23681,30497
130,17_17,6800,23455,30255
131,17_18,6382,21996,28378
132,17_19,6504,22468,28972
133,17_2,7364,25486,32850
134,17_20,5341,18811,24152
