,day_time,uplink_length,downlink_length,sum_flow
0,11_23,3068,45868,48936
1,12_0,63659,2228831,2292490
2,12_1,41793,621500,663293
3,12_10,36666,419548,456214
4,12_11,53725,673499,727224
5,12_12,323348,10009384,10332732
6,12_13,227342,7083788,7311130
7,12_14,24248,373463,397711
8,12_15,25461,394998,420459
9,12_16,22484,350179,372663
10,12_17,21351,331930,353281
11,12_18,22116,342014,364130
12,12_19,22023,342382,364405
13,12_2,53746,1289511,1343257
14,12_20,24451,380027,404478
15,12_21,22984,359468,382452
16,12_22,23895,371850,395745
17,12_23,22410,344739,367149
18,12_3,38095,558372,596467
19,12_4,40440,577735,618175
20,12_5,28886,438892,467778
21,12_6,38467,563167,601634
22,12_7,37487,540127,577614
23,12_8,42427,654975,697402
24,12_9,142136,1383905,1526041
25,13_0,57320,1538127,1595447
26,13_1,34909,440825,475734
27,13_10,75236,779056,854292
28,13_11,149011,3426709,3575720
29,13_12,383139,12546292,12929431
30,13_13,64380,1253965,1318345
31,13_14,27027,432464,459491
32,13_15,26524,424783,451307
33,13_16,28108,449697,477805
34,13_17,27556,441717,469273
35,13_18,28302,452879,481181
36,13_19,28038,448068,476106
37,13_2,40788,982806,1023594
38,13_20,28405,450408,478813
39,13_21,27133,434149,461282
40,13_22,27832,444070,471902
41,13_23,27094,433862,460956
42,13_3,26038,361163,387201
43,13_4,30239,401047,431286
44,13_5,24363,374087,398450
45,13_6,37656,535023,572679
46,13_7,44999,669516,714515
47,13_8,25723,389815,415538
48,13_9,142709,1720839,1863548
49,14_0,26988,429395,456383
50,14_1,27382,436302,463684
51,14_10,34346,496683,531029
52,14_11,32284,519674,551958
53,14_12,35040,558763,593803
54,14_13,31947,511108,543055
55,14_14,33718,533908,567626
56,14_15,32635,519607,552242
57,14_16,34060,539460,573520
58,14_17,34168,545934,580102
59,14_18,32629,521615,554244
60,14_19,33482,535349,568831
61,14_2,27283,434833,462116
62,14_20,33329,531740,565069
63,14_21,32851,523882,556733
64,14_22,33072,530601,563673
65,14_23,33773,537868,571641
66,14_3,27997,444699,472696
67,14_4,26157,416055,442212
68,14_5,27613,440052,467665
69,14_6,26371,418886,445257
70,14_7,28935,458450,487385
71,14_8,28755,454674,483429
72,14_9,28337,452126,480463
73,15_0,33949,538083,572032
74,15_1,33050,526082,559132
75,15_10,24421,341202,365623
76,15_11,21608,329709,351317
77,15_12,24780,378297,403077
78,15_13,21230,316152,337382
79,15_14,18385,271868,290253
80,15_15,17312,258570,275882
81,15_16,19253,285385,304638
82,15_17,18496,277623,296119
83,15_18,19122,286726,305848
84,15_19,20559,308592,329151
85,15_2,33447,530818,564265
86,15_20,22919,347738,370657
87,15_21,22703,344881,367584
88,15_22,21968,330772,352740
89,15_23,21925,335580,357505
90,15_3,31208,494065,525273
91,15_4,21144,325228,346372
92,15_5,21980,339034,361014
93,15_6,21868,334227,356095
94,15_7,22232,338928,361160
95,15_8,21309,328129,349438
96,15_9,20084,308500,328584
97,16_0,59765,2075352,2135117
98,16_1,73934,719411,793345
99,16_10,22909,262803,285712
100,16_11,126512,1486458,1612970
101,16_12,36615,393284,429899
102,16_13,42595,477731,520326
103,16_14,20765,250090,270855
104,16_15,230791,5636208,5866999
105,16_16,207065,3961136,4168201
106,16_17,65249,828438,893687
107,16_18,15050,224341,239391
108,16_19,14395,214529,228924
109,16_2,142179,1711697,1853876
110,16_20,14414,201758,216172
111,16_21,13741,202408,216149
112,16_22,13934,205674,219608
113,16_23,14707,213232,227939
114,16_3,151364,1013219,1164583
115,16_4,62445,550039,612484
116,16_5,12911,179920,192831
117,16_6,75876,664489,740365
118,16_7,22287,242761,265048
119,16_8,21410,215490,236900
120,16_9,23207,313039,336246
121,17_0,14594,214962,229556
122,17_1,14403,213290,227693
123,17_10,17358,234559,251917
124,17_11,15724,240770,256494
125,17_12,15947,251003,266950
126,17_13,17363,269884,287247
127,17_14,13688,211076,224764
128,17_15,14677,223083,237760
129,17_16,14175,210351,224526
130,17_17,13818,204748,218566
131,17_18,13030,195288,208318
132,17_19,14236,208898,223134
133,17_2,13660,206024,219684
134,17_20,13864,206223,220087
135,17_21,13755,205697,219452
136,17_22,14271,210969,225240
137,17_23,14123,210523,224646
138,17_3,13373,201304,214677
139,17_4,13797,206184,219981
140,17_5,13690,204504,218194
141,17_6,12775,191573,204348
142,17_7,15119,226463,241582
143,17_8,13973,208227,222200
144,17_9,13935,211204,225139
145,18_0,13564,202077,215641
146,18_1,14338,210023,224361
147,18_10,18863,238688,257551
148,18_11,19113,293803,312916
149,18_12,19784,304472,324256
150,18_13,19002,292807,311809
151,18_14,18268,280473,298741
152,18_15,18567,286221,304788
153,18_16,19329,299972,319301
154,18_17,19711,300962,320673
155,18_18,15723,234127,249850
156,18_19,15272,229333,244605
157,18_2,13727,204413,218140
158,18_20,15972,241105,257077
159,18_21,16465,247715,264180
160,18_22,16204,243598,259802
161,18_23,15242,231893,247135
162,18_3,13833,204744,218577
163,18_4,13537,199850,213387
164,18_5,14301,210707,225008
165,18_6,13240,196482,209722
166,18_7,14047,211097,225144
167,18_8,14040,208961,223001
168,18_9,14035,206645,220680
169,11-0,0,0,0
170,11-1,0,0,0
171,11-2,0,0,0
172,11-3,0,0,0
173,11-4,0,0,0
174,11-5,0,0,0
175,11-6,0,0,0
176,11-7,0,0,0
177,11-8,0,0,0
178,11-9,0,0,0
179,11-10,0,0,0
180,11-11,0,0,0
181,11-12,0,0,0
182,11-13,0,0,0
183,11-14,0,0,0
184,11-15,0,0,0
185,11-16,0,0,0
186,11-17,0,0,0
187,11-18,0,0,0
188,11-19,0,0,0
189,11-20,0,0,0
190,11-21,0,0,0
191,11-22,0,0,0
192,11-23,0,0,0
193,12-0,0,0,0
194,12-1,0,0,0
195,12-2,0,0,0
196,12-3,0,0,0
197,12-4,0,0,0
198,12-5,0,0,0
199,12-6,0,0,0
200,12-7,0,0,0
201,12-8,0,0,0
202,12-9,0,0,0
203,12-10,0,0,0
204,12-11,0,0,0
205,12-12,0,0,0
206,12-13,0,0,0
207,12-14,0,0,0
208,12-15,0,0,0
209,12-16,0,0,0
210,12-17,0,0,0
211,12-18,0,0,0
212,12-19,0,0,0
213,12-20,0,0,0
214,12-21,0,0,0
215,12-22,0,0,0
216,12-23,0,0,0
217,13-0,0,0,0
218,13-1,0,0,0
219,13-2,0,0,0
220,13-3,0,0,0
221,13-4,0,0,0
222,13-5,0,0,0
223,13-6,0,0,0
224,13-7,0,0,0
225,13-8,0,0,0
226,13-9,0,0,0
227,13-10,0,0,0
228,13-11,0,0,0
229,13-12,0,0,0
230,13-13,0,0,0
231,13-14,0,0,0
232,13-15,0,0,0
233,13-16,0,0,0
234,13-17,0,0,0
235,13-18,0,0,0
236,13-19,0,0,0
237,13-20,0,0,0
238,13-21,0,0,0
239,13-22,0,0,0
240,13-23,0,0,0
241,14-0,0,0,0
242,14-1,0,0,0
243,14-2,0,0,0
244,14-3,0,0,0
245,14-4,0,0,0
246,14-5,0,0,0
247,14-6,0,0,0
248,14-7,0,0,0
249,14-8,0,0,0
250,14-9,0,0,0
251,14-10,0,0,0
252,14-11,0,0,0
253,14-12,0,0,0
254,14-13,0,0,0
255,14-14,0,0,0
256,14-15,0,0,0
257,14-16,0,0,0
258,14-17,0,0,0
259,14-18,0,0,0
260,14-19,0,0,0
261,14-20,0,0,0
262,14-21,0,0,0
263,14-22,0,0,0
264,14-23,0,0,0
265,15-0,0,0,0
266,15-1,0,0,0
267,15-2,0,0,0
268,15-3,0,0,0
269,15-4,0,0,0
270,15-5,0,0,0
271,15-6,0,0,0
272,15-7,0,0,0
273,15-8,0,0,0
274,15-9,0,0,0
275,15-10,0,0,0
276,15-11,0,0,0
277,15-12,0,0,0
278,15-13,0,0,0
279,15-14,0,0,0
280,15-15,0,0,0
281,15-16,0,0,0
282,15-17,0,0,0
283,15-18,0,0,0
284,15-19,0,0,0
285,15-20,0,0,0
286,15-21,0,0,0
287,15-22,0,0,0
288,15-23,0,0,0
289,16-0,0,0,0
290,16-1,0,0,0
291,16-2,0,0,0
292,16-3,0,0,0
293,16-4,0,0,0
294,16-5,0,0,0
295,16-6,0,0,0
296,16-7,0,0,0
297,16-8,0,0,0
298,16-9,0,0,0
299,16-10,0,0,0
300,16-11,0,0,0
301,16-12,0,0,0
302,16-13,0,0,0
303,16-14,0,0,0
304,16-15,0,0,0
305,16-16,0,0,0
306,16-17,0,0,0
307,16-18,0,0,0
308,16-19,0,0,0
309,16-20,0,0,0
310,16-21,0,0,0
311,16-22,0,0,0
312,16-23,0,0,0
313,17-0,0,0,0
314,17-1,0,0,0
315,17-2,0,0,0
316,17-3,0,0,0
317,17-4,0,0,0
318,17-5,0,0,0
319,17-6,0,0,0
320,17-7,0,0,0
321,17-8,0,0,0
322,17-9,0,0,0
323,17-10,0,0,0
324,17-11,0,0,0
325,17-12,0,0,0
326,17-13,0,0,0
327,17-14,0,0,0
328,17-15,0,0,0
329,17-16,0,0,0
330,17-17,0,0,0
331,17-18,0,0,0
332,17-19,0,0,0
333,17-20,0,0,0
334,17-21,0,0,0
335,17-22,0,0,0
336,17-23,0,0,0
337,18-0,0,0,0
338,18-1,0,0,0
339,18-2,0,0,0
340,18-3,0,0,0
341,18-4,0,0,0
342,18-5,0,0,0
343,18-6,0,0,0
344,18-7,0,0,0
345,18-8,0,0,0
346,18-9,0,0,0
347,18-10,0,0,0
348,18-11,0,0,0
349,18-12,0,0,0
350,18-13,0,0,0
351,18-14,0,0,0
352,18-15,0,0,0
353,18-16,0,0,0
354,18-17,0,0,0
355,18-18,0,0,0
356,18-19,0,0,0
357,18-20,0,0,0
358,18-21,0,0,0
359,18-22,0,0,0
360,18-23,0,0,0
