,day_time,uplink_length,downlink_length,sum_flow
0,12_0,0,0,0
1,12_1,0,0,0
2,12_10,5906,10806,16712
3,12_11,1377,7253,8630
4,12_12,0,0,0
5,12_13,363,2361,2724
6,12_14,363,2361,2724
7,12_15,363,2361,2724
8,12_16,0,0,0
9,12_17,363,2361,2724
10,12_18,653,2533,3186
11,12_19,657,2536,3193
12,12_2,0,0,0
13,12_20,0,0,0
14,12_21,0,0,0
15,12_22,0,0,0
16,12_23,0,0,0
17,12_3,0,0,0
18,12_4,0,0,0
19,12_5,0,0,0
20,12_6,0,0,0
21,12_7,0,0,0
22,12_8,726,4722,5448
23,12_9,1582,117,1699
24,13_11,642,2533,3175
25,13_13,0,0,0
26,13_14,363,2361,2724
27,13_15,3806,1197,5003
28,13_16,0,0,0
29,13_17,2540,957,3497
30,13_18,642,2533,3175
31,13_19,2810,7780,10590
32,13_20,363,2361,2724
33,13_21,0,0,0
34,13_22,0,0,0
35,13_4,0,0,0
36,13_9,363,2361,2724
37,14_10,363,2361,2724
38,14_12,0,0,0
39,14_13,0,0,0
40,14_14,0,0,0
41,14_17,0,0,0
42,14_21,0,0,0
43,14_6,0,0,0
44,14_7,363,2361,2724
45,14_8,0,0,0
46,15_0,0,0,0
47,15_10,2785,1509,4294
48,15_11,0,0,0
49,15_12,1933,3899,5832
50,15_13,0,0,0
51,15_14,1366,7253,8619
52,15_15,1068,2623,3691
53,15_16,0,0,0
54,15_17,707,264,971
55,15_18,2504,6390,8894
56,15_19,363,2361,2724
57,15_20,0,0,0
58,15_21,0,0,0
59,15_5,0,0,0
60,16_10,6828,12570,19398
61,16_11,8045,83556,91601
62,16_12,653,2533,3186
63,16_13,361,2359,2720
64,16_14,1772,2380,4152
65,16_15,8955,4990,13945
66,16_16,1087,7081,8168
67,16_17,0,0,0
68,16_18,361,2359,2720
69,16_19,1020,4897,5917
70,16_20,1018,4895,5913
71,16_21,363,2361,2724
72,16_22,0,0,0
73,16_5,0,0,0
74,16_8,0,0,0
75,16_9,0,0,0
76,17_0,645,2536,3181
77,17_10,0,0,0
78,17_11,361,2359,2720
79,17_12,0,0,0
80,17_13,726,4722,5448
81,17_14,726,4722,5448
82,17_15,724,4720,5444
83,17_16,363,2361,2724
84,17_17,363,2361,2724
85,17_18,363,2361,2724
86,17_19,642,2533,3175
87,17_2,363,2361,2724
88,17_20,0,0,0
89,17_21,1008,4897,5905
90,17_5,645,2536,3181
91,17_7,0,0,0
92,18_10,3045,23887,26932
93,18_11,204,111,315
94,18_12,0,0,0
95,18_13,1951,3917,5868
96,18_14,1087,7081,8168
97,18_15,726,4722,5448
98,18_16,0,0,0
99,18_17,292,174,466
100,18_18,0,0,0
101,18_19,363,2361,2724
102,18_20,724,4720,5444
103,18_22,2505,3159,5664
104,18_4,0,0,0
105,18_9,722,4718,5440
106,11-0,0,0,0
107,11-1,0,0,0
108,11-2,0,0,0
109,11-3,0,0,0
110,11-4,0,0,0
111,11-5,0,0,0
112,11-6,0,0,0
113,11-7,0,0,0
114,11-8,0,0,0
115,11-9,0,0,0
116,11-10,0,0,0
117,11-11,0,0,0
118,11-12,0,0,0
119,11-13,0,0,0
120,11-14,0,0,0
121,11-15,0,0,0
122,11-16,0,0,0
123,11-17,0,0,0
124,11-18,0,0,0
125,11-19,0,0,0
126,11-20,0,0,0
