,day_time,uplink_length,downlink_length,sum_flow
0,16_9,147,1081,1228
1,11_0,0,0,0
2,11_1,0,0,0
3,11_2,0,0,0
4,11_3,0,0,0
5,11_4,0,0,0
6,11_5,0,0,0
7,11_6,0,0,0
8,11_7,0,0,0
9,11_8,0,0,0
10,11_9,0,0,0
11,11_10,0,0,0
12,11_11,0,0,0
13,11_12,0,0,0
14,11_13,0,0,0
15,11_14,0,0,0
16,11_15,0,0,0
17,11_16,0,0,0
18,11_17,0,0,0
19,11_18,0,0,0
20,11_19,0,0,0
21,11_20,0,0,0
22,11_21,0,0,0
23,11_22,0,0,0
24,11_23,0,0,0
25,12_0,0,0,0
26,12_1,0,0,0
27,12_2,0,0,0
28,12_3,0,0,0
29,12_4,0,0,0
30,12_5,0,0,0
31,12_6,0,0,0
32,12_7,0,0,0
33,12_8,0,0,0
34,12_9,0,0,0
35,12_10,0,0,0
36,12_11,0,0,0
37,12_12,0,0,0
38,12_13,0,0,0
39,12_14,0,0,0
40,12_15,0,0,0
41,12_16,0,0,0
42,12_17,0,0,0
43,12_18,0,0,0
44,12_19,0,0,0
45,12_20,0,0,0
46,12_21,0,0,0
47,12_22,0,0,0
48,12_23,0,0,0
49,13_0,0,0,0
50,13_1,0,0,0
51,13_2,0,0,0
52,13_3,0,0,0
53,13_4,0,0,0
54,13_5,0,0,0
55,13_6,0,0,0
56,13_7,0,0,0
57,13_8,0,0,0
58,13_9,0,0,0
59,13_10,0,0,0
60,13_11,0,0,0
61,13_12,0,0,0
62,13_13,0,0,0
63,13_14,0,0,0
64,13_15,0,0,0
65,13_16,0,0,0
66,13_17,0,0,0
67,13_18,0,0,0
68,13_19,0,0,0
69,13_20,0,0,0
70,13_21,0,0,0
71,13_22,0,0,0
72,13_23,0,0,0
73,14_0,0,0,0
74,14_1,0,0,0
75,14_2,0,0,0
76,14_3,0,0,0
77,14_4,0,0,0
78,14_5,0,0,0
79,14_6,0,0,0
80,14_7,0,0,0
81,14_8,0,0,0
82,14_9,0,0,0
83,14_10,0,0,0
84,14_11,0,0,0
85,14_12,0,0,0
86,14_13,0,0,0
87,14_14,0,0,0
88,14_15,0,0,0
89,14_16,0,0,0
90,14_17,0,0,0
91,14_18,0,0,0
92,14_19,0,0,0
93,14_20,0,0,0
94,14_21,0,0,0
95,14_22,0,0,0
96,14_23,0,0,0
97,15_0,0,0,0
98,15_1,0,0,0
99,15_2,0,0,0
100,15_3,0,0,0
101,15_4,0,0,0
102,15_5,0,0,0
103,15_6,0,0,0
104,15_7,0,0,0
105,15_8,0,0,0
106,15_9,0,0,0
107,15_10,0,0,0
108,15_11,0,0,0
109,15_12,0,0,0
110,15_13,0,0,0
111,15_14,0,0,0
112,15_15,0,0,0
113,15_16,0,0,0
114,15_17,0,0,0
115,15_18,0,0,0
116,15_19,0,0,0
117,15_20,0,0,0
118,15_21,0,0,0
119,15_22,0,0,0
120,15_23,0,0,0
121,16_0,0,0,0
122,16_1,0,0,0
123,16_2,0,0,0
124,16_3,0,0,0
125,16_4,0,0,0
126,16_5,0,0,0
127,16_6,0,0,0
128,16_7,0,0,0
129,16_8,0,0,0
130,16_9,0,0,0
131,16_10,0,0,0
132,16_11,0,0,0
133,16_12,0,0,0
134,16_13,0,0,0
135,16_14,0,0,0
136,16_15,0,0,0
137,16_16,0,0,0
138,16_17,0,0,0
139,16_18,0,0,0
140,16_19,0,0,0
141,16_20,0,0,0
142,16_21,0,0,0
143,16_22,0,0,0
144,16_23,0,0,0
145,17_0,0,0,0
146,17_1,0,0,0
147,17_2,0,0,0
148,17_3,0,0,0
149,17_4,0,0,0
150,17_5,0,0,0
151,17_6,0,0,0
152,17_7,0,0,0
153,17_8,0,0,0
154,17_9,0,0,0
155,17_10,0,0,0
156,17_11,0,0,0
157,17_12,0,0,0
158,17_13,0,0,0
159,17_14,0,0,0
160,17_15,0,0,0
161,17_16,0,0,0
162,17_17,0,0,0
163,17_18,0,0,0
164,17_19,0,0,0
165,17_20,0,0,0
166,17_21,0,0,0
167,17_22,0,0,0
168,17_23,0,0,0
169,18_0,0,0,0
170,18_1,0,0,0
171,18_2,0,0,0
172,18_3,0,0,0
173,18_4,0,0,0
174,18_5,0,0,0
175,18_6,0,0,0
176,18_7,0,0,0
177,18_8,0,0,0
178,18_9,0,0,0
179,18_10,0,0,0
180,18_11,0,0,0
181,18_12,0,0,0
182,18_13,0,0,0
183,18_14,0,0,0
184,18_15,0,0,0
185,18_16,0,0,0
186,18_17,0,0,0
187,18_18,0,0,0
188,18_19,0,0,0
189,18_20,0,0,0
190,18_21,0,0,0
191,18_22,0,0,0
192,18_23,0,0,0
