,day_time,uplink_length,downlink_length
1,12_10,73963,458280
1,12_11,154049,912517
1,12_12,495604,1761849
1,12_13,145534,161317
1,12_14,308767,2199311
1,12_15,175747,1170794
1,12_16,219071,2208709
1,12_17,538945,2337900
1,12_18,618966,3033540
1,12_19,333238,2923794
1,12_20,206434,1107554
1,12_21,108198,830973
1,12_22,108742,683150
1,12_23,125019,448035
1,13_0,201535,408657
1,13_1,203587,905866
1,13_10,14072,518567
1,13_11,144132,442419
1,13_12,244630,584060
1,13_13,31871,834269
1,13_14,121962,207698
1,13_15,15916,998542
1,13_16,121393,495479
1,13_17,119001,823286
1,13_18,49510,1164728
1,13_19,17730,1434345
1,13_2,218177,310224
1,13_20,110268,62634
1,13_21,18956,80958
1,13_22,124355,73508
1,13_23,115926,696713
1,13_3,103707,972388
1,13_4,14792,149734
1,13_5,17533,285104
1,13_6,205713,587821
1,13_7,302829,728723
1,13_8,134617,518968
1,13_9,128043,588416
1,14_0,133639,1146430
1,14_1,306211,1468048
1,14_10,126080,1199253
1,14_11,14445,474905
1,14_12,123335,1181017
1,14_13,269412,1269495
1,14_14,103443,493877
1,14_15,120358,200036
1,14_16,12614,658010
1,14_17,10461,5196
1,14_18,10541,687232
1,14_19,56884,1064580
1,14_2,247955,683484
1,14_20,123855,1204019
1,14_21,368443,851271
1,14_22,36481,1235526
1,14_23,12872,1289931
1,14_3,130326,864197
1,14_4,231557,514454
1,14_5,113080,397644
1,14_6,127405,399387
1,14_7,38551,670085
1,14_8,117559,1667457
1,14_9,188864,261098
1,15_0,62427,938575
1,15_1,310593,1105297
1,15_10,42290,705265
1,15_11,14183,875686
1,15_12,17222,153348
1,15_13,26247,183808
1,15_14,19403,45362
1,15_15,172249,2392910
1,15_16,380873,1882855
1,15_17,323395,5260762
1,15_18,236129,1662791
1,15_19,897890,4403033
1,15_2,232403,1647268
1,15_20,111928,737025
1,15_21,306873,950023
1,15_22,13975,767857
1,15_23,22679,943084
1,15_3,23902,1109465
1,15_4,37395,996579
1,15_5,20399,664453
1,15_6,430293,656907
1,15_7,118418,739052
1,15_8,316629,987316
1,15_9,26836,366253
1,16_0,118092,1419920
1,16_1,16318,508386
1,16_10,535530,2665176
1,16_11,390817,3005692
1,16_12,606303,3225601
1,16_13,187495,858536
1,16_14,609580,1670190
1,16_15,226812,2958862
1,16_16,717127,22980045
1,16_17,618310,70818050
1,16_18,582267,2380894
1,16_19,616213,1979303
1,16_2,241419,1493729
1,16_20,19794,1331608
1,16_21,609063,12352086
1,16_22,177371,790240
1,16_23,33598,830883
1,16_3,7182,801608
1,16_4,17986,785415
1,16_5,139784,705539
1,16_6,38307,1367614
1,16_7,41768,1675796
1,16_8,20764,670331
1,16_9,330471,5656532
1,17_0,58250,1048270
1,17_1,148621,1226866
1,17_10,438005,7400452
1,17_11,392505,9829984
1,17_12,308584,3152504
1,17_13,474437,3011544
1,17_14,151743,897598
1,17_15,633692,10858988
1,17_16,637760,6410924
1,17_17,227188,1783701
1,17_18,685520,2537537
1,17_19,277220,3073384
1,17_2,342666,1573385
1,17_20,721981,6426468
1,17_21,59331,1152751
1,17_22,357959,3597999
1,17_23,237635,3487320
1,17_3,361345,1086926
1,17_4,264909,1303402
1,17_5,354573,1116528
1,17_6,438668,1514542
1,17_7,290749,1159117
1,17_8,11887,41156
1,17_9,411824,2428505
1,18_0,353114,394168
1,18_1,654505,1306449
1,18_10,413139,4689710
1,18_11,656668,3852172
1,18_12,773593,5764393
1,18_13,516768,3560628
1,18_14,418112,4485082
1,18_15,511170,4259649
1,18_16,391923,3900528
1,18_17,284019,3520844
1,18_18,351659,3321228
1,18_19,401124,3155179
1,18_2,494513,1685307
1,18_20,546785,4050174
1,18_21,137184,876566
1,18_22,162572,2859714
1,18_23,270670,3118094
1,18_3,154684,1324806
1,18_4,510416,1362393
1,18_5,16971,1439222
1,18_6,110303,720998
1,18_7,113357,732707
1,18_8,110209,75949
1,18_9,110824,486424
1,11_0,0,0
1,11_1,0,0
1,11_2,0,0
1,11_3,0,0
1,11_4,0,0
1,11_5,0,0
1,11_6,0,0
1,11_7,0,0
1,11_8,0,0
1,11_9,0,0
1,11_10,0,0
1,11_11,0,0
1,11_12,0,0
1,11_13,0,0
1,11_14,0,0
1,11_15,0,0
1,11_16,0,0
1,11_17,0,0
1,11_18,0,0
1,11_19,0,0
1,11_20,0,0
1,11_21,0,0
1,11_22,0,0
1,11_23,0,0
1,12_0,0,0
1,12_1,0,0
1,12_2,0,0
1,12_3,0,0
1,12_4,0,0
1,12_5,0,0
1,12_6,0,0
1,12_7,0,0
1,12_8,0,0
1,12_9,0,0
