,day_time,uplink_length,downlink_length,sum_flow
0,12_10,73963,458280,532243
1,12_11,154049,912517,1066566
2,12_12,495604,1761849,2257453
3,12_13,145534,161317,306851
4,12_14,308767,2199311,2508078
5,12_15,175747,1170794,1346541
6,12_16,219071,2208709,2427780
7,12_17,538945,2337900,2876845
8,12_18,618966,3033540,3652506
9,12_19,333238,2923794,3257032
10,12_20,206434,1107554,1313988
11,12_21,108198,830973,939171
12,12_22,108742,683150,791892
13,12_23,125019,448035,573054
14,13_0,201535,408657,610192
15,13_1,203587,905866,1109453
16,13_10,14072,518567,532639
17,13_11,144132,442419,586551
18,13_12,244630,584060,828690
19,13_13,31871,834269,866140
20,13_14,121962,207698,329660
21,13_15,15916,998542,1014458
22,13_16,121393,495479,616872
23,13_17,119001,823286,942287
24,13_18,49510,1164728,1214238
25,13_19,17730,1434345,1452075
26,13_2,218177,310224,528401
27,13_20,110268,62634,172902
28,13_21,18956,80958,99914
29,13_22,124355,73508,197863
30,13_23,115926,696713,812639
31,13_3,103707,972388,1076095
32,13_4,14792,149734,164526
33,13_5,17533,285104,302637
34,13_6,205713,587821,793534
35,13_7,302829,728723,1031552
36,13_8,134617,518968,653585
37,13_9,128043,588416,716459
38,14_0,133639,1146430,1280069
39,14_1,306211,1468048,1774259
40,14_10,126080,1199253,1325333
41,14_11,14445,474905,489350
42,14_12,123335,1181017,1304352
43,14_13,269412,1269495,1538907
44,14_14,103443,493877,597320
45,14_15,120358,200036,320394
46,14_16,12614,658010,670624
47,14_17,10461,5196,15657
48,14_18,10541,687232,697773
49,14_19,56884,1064580,1121464
50,14_2,247955,683484,931439
51,14_20,123855,1204019,1327874
52,14_21,368443,851271,1219714
53,14_22,36481,1235526,1272007
54,14_23,12872,1289931,1302803
55,14_3,130326,864197,994523
56,14_4,231557,514454,746011
57,14_5,113080,397644,510724
58,14_6,127405,399387,526792
59,14_7,38551,670085,708636
60,14_8,117559,1667457,1785016
61,14_9,188864,261098,449962
62,15_0,62427,938575,1001002
63,15_1,310593,1105297,1415890
64,15_10,42290,705265,747555
65,15_11,14183,875686,889869
66,15_12,17222,153348,170570
67,15_13,26247,183808,210055
68,15_14,19403,45362,64765
69,15_15,172249,2392910,2565159
70,15_16,380873,1882855,2263728
71,15_17,323395,5260762,5584157
72,15_18,236129,1662791,1898920
73,15_19,897890,4403033,5300923
74,15_2,232403,1647268,1879671
75,15_20,111928,737025,848953
76,15_21,306873,950023,1256896
77,15_22,13975,767857,781832
78,15_23,22679,943084,965763
79,15_3,23902,1109465,1133367
80,15_4,37395,996579,1033974
81,15_5,20399,664453,684852
82,15_6,430293,656907,1087200
83,15_7,118418,739052,857470
84,15_8,316629,987316,1303945
85,15_9,26836,366253,393089
86,16_0,118092,1419920,1538012
87,16_1,16318,508386,524704
88,16_10,535530,2665176,3200706
89,16_11,390817,3005692,3396509
90,16_12,606303,3225601,3831904
91,16_13,187495,858536,1046031
92,16_14,609580,1670190,2279770
93,16_15,226812,2958862,3185674
94,16_16,717127,22980045,23697172
95,16_17,618310,70818050,71436360
96,16_18,582267,2380894,2963161
97,16_19,616213,1979303,2595516
98,16_2,241419,1493729,1735148
99,16_20,19794,1331608,1351402
100,16_21,609063,12352086,12961149
101,16_22,177371,790240,967611
102,16_23,33598,830883,864481
103,16_3,7182,801608,808790
104,16_4,17986,785415,803401
105,16_5,139784,705539,845323
106,16_6,38307,1367614,1405921
107,16_7,41768,1675796,1717564
108,16_8,20764,670331,691095
109,16_9,330471,5656532,5987003
110,17_0,58250,1048270,1106520
111,17_1,148621,1226866,1375487
112,17_10,438005,7400452,7838457
113,17_11,392505,9829984,10222489
114,17_12,308584,3152504,3461088
115,17_13,474437,3011544,3485981
116,17_14,151743,897598,1049341
117,17_15,633692,10858988,11492680
118,17_16,637760,6410924,7048684
119,17_17,227188,1783701,2010889
120,17_18,685520,2537537,3223057
121,17_19,277220,3073384,3350604
122,17_2,342666,1573385,1916051
123,17_20,721981,6426468,7148449
124,17_21,59331,1152751,1212082
125,17_22,357959,3597999,3955958
126,17_23,237635,3487320,3724955
127,17_3,361345,1086926,1448271
128,17_4,264909,1303402,1568311
129,17_5,354573,1116528,1471101
130,17_6,438668,1514542,1953210
131,17_7,290749,1159117,1449866
132,17_8,11887,41156,53043
133,17_9,411824,2428505,2840329
134,18_0,353114,394168,747282
135,18_1,654505,1306449,1960954
136,18_10,413139,4689710,5102849
137,18_11,656668,3852172,4508840
138,18_12,773593,5764393,6537986
