,day_time,uplink_length,downlink_length
1,11_23,49981,24965123
1,12_0,467339,275168169
1,12_1,384744,131171385
1,12_10,481708,186110125
1,12_11,547810,224900794
1,12_12,378598,113946837
1,12_13,781425,289873881
1,12_14,498872,207366122
1,12_15,520195,249704805
1,12_16,563274,296908810
1,12_17,573900,261487079
1,12_18,608040,184476998
1,12_19,516323,195354583
1,12_2,454743,133209384
1,12_20,513911,266860681
1,12_21,466901,284869730
1,12_22,555247,302178156
1,12_23,357166,116380071
1,12_3,537583,286349934
1,12_4,667796,268527066
1,12_5,534121,243545681
1,12_6,580760,215288273
1,12_7,484087,138819921
1,12_8,383381,142576072
1,12_9,,
1,13_0,303247,72849396
1,13_1,559058,381857412
1,13_10,556803,222028923
1,13_11,576245,405181595
1,13_12,525293,265951958
1,13_13,594212,272642589
1,13_14,572783,258695998
1,13_15,531245,229174543
1,13_16,498719,300297365
1,13_17,594796,264437824
1,13_18,506667,267492244
1,13_19,630429,294803064
1,13_2,580491,190166586
1,13_20,553091,225025157
1,13_21,584798,344435549
1,13_22,513018,162156757
1,13_23,541579,170691839
1,13_3,583852,275515367
1,13_4,644476,362348407
1,13_5,555520,204540877
1,13_6,619222,269970446
1,13_7,482783,175180696
1,13_8,623656,302218011
1,13_9,529954,244199356
1,14_0,648700,245223777
1,14_1,627038,228663148
1,14_10,545758,260756150
1,14_11,600091,321181649
1,14_12,630674,236882120
1,14_13,542529,313936107
1,14_14,645844,242086168
1,14_15,614996,270591280
1,14_16,544013,268327734
1,14_17,607322,271147595
1,14_18,504818,233591586
1,14_19,244590,78061994
1,14_2,622669,247522303
1,14_20,480431,250396068
1,14_21,477938,218480617
1,14_22,550445,343376075
1,14_23,399628,125506471
1,14_3,639843,285796802
1,14_4,238232,14271346
1,14_5,638243,254883933
1,14_6,577608,274329291
1,14_7,606591,239109202
1,14_8,299664,29988015
1,14_9,925538,349550977
1,15_0,671179,288135989
1,15_1,624099,278343035
1,15_10,671179,288135989
1,15_11,473336,181776082
1,15_12,535864,267996136
1,15_13,280013,26263333
1,15_14,619659,178577665
1,15_15,480599,145188061
1,15_16,510168,184409985
1,15_17,488477,157741983
1,15_18,557295,163331104
1,15_19,503526,163495051
1,15_2,559162,263627390
1,15_20,550789,221788832
1,15_21,631044,211068207
1,15_22,594587,250625840
1,15_23,576646,232995324
1,15_3,437158,129226910
1,15_4,579672,192841014
1,15_5,602285,260924722
1,15_6,545273,162560687
1,15_7,612427,301239386
1,15_8,486399,254180616
1,15_9,562623,321197480
1,16_0,629016,235195585
1,16_1,546067,206329145
1,16_10,521597,183864200
1,16_11,593430,153026617
1,16_12,561812,260348868
1,16_13,583737,275805631
1,16_14,591498,256331401
1,16_15,448096,189267855
1,16_16,451998,125755041
1,16_17,513272,144779528
1,16_18,493284,210523403
1,16_19,630829,246441304
1,16_2,466605,210211851
1,16_20,518007,283391531
1,16_21,495988,156811938
1,16_22,673155,279953972
1,16_23,564052,217831926
1,16_3,575608,180126166
1,16_4,637803,193140121
1,16_5,628873,239513252
1,16_6,592487,179481928
1,16_7,543723,189837537
1,16_8,622854,389081664
1,16_9,477973,170704264
1,17_0,599127,274948233
1,17_1,655972,253937729
1,17_10,,
1,17_11,420172,130939026
1,17_12,573547,175249117
1,17_13,558591,261492236
1,17_14,606884,240278915
1,17_15,482493,170411594
1,17_16,536598,238847518
1,17_17,509733,193713490
1,17_18,477920,248147447
1,17_19,329343,124952374
1,17_2,636542,260101934
1,17_20,490474,249989207
1,17_21,510120,178071811
1,17_22,458102,144364043
1,17_23,545976,194972786
1,17_3,630173,216157833
1,17_4,568940,220027355
1,17_5,376430,43136781
1,17_6,988608,374065557
1,17_7,636286,333077721
1,17_8,381807,170418807
1,17_9,636286,333077721
1,18_0,503818,187670013
1,18_1,526853,258027746
1,18_10,553849,175208878
1,18_11,641233,177121759
1,18_12,427305,114904278
1,18_13,515695,131094639
1,18_14,732367,189147109
1,18_15,657504,221981848
1,18_16,601118,208201797
1,18_17,381422,98808953
1,18_18,600243,217807261
1,18_19,599312,241345439
1,18_2,648069,169908420
1,18_20,520379,175522433
1,18_21,554748,222455369
1,18_22,562936,200840527
1,18_23,490972,221277635
1,18_3,651403,303019525
1,18_4,545676,190915250
1,18_5,590252,303273739
1,18_6,607128,203035354
1,18_7,338607,112055507
1,18_8,446071,151325784
1,18_9,650120,293241388
1,11_0,0,0
1,11_1,0,0
1,11_2,0,0
1,11_3,0,0
1,11_4,0,0
1,11_5,0,0
1,11_6,0,0
1,11_7,0,0
1,11_8,0,0
1,11_9,0,0
1,11_10,0,0
1,11_11,0,0
1,11_12,0,0
1,11_13,0,0
1,11_14,0,0
1,11_15,0,0
1,11_16,0,0
1,11_17,0,0
1,11_18,0,0
1,11_19,0,0
1,11_20,0,0
1,11_21,0,0
1,11_22,0,0
