,day_time,uplink_length,downlink_length,sum_flow
0,11_23,6486,12915,19401
1,12_0,70277,141901,212178
2,12_1,69349,138674,208023
3,12_10,47728,83373,131101
4,12_11,60843,114743,175586
5,12_12,66548,126699,193247
6,12_13,56074,108015,164089
7,12_14,64008,122579,186587
8,12_15,62573,119508,182081
9,12_16,62893,119797,182690
10,12_17,64787,122380,187167
11,12_18,68621,130849,199470
12,12_19,65936,129433,195369
13,12_2,72374,143650,216024
14,12_20,71760,141910,213670
15,12_21,69329,137788,207117
16,12_22,68261,134743,203004
17,12_23,72019,144002,216021
18,12_3,70654,141107,211761
19,12_4,72112,145570,217682
20,12_5,73889,149332,223221
21,12_6,72177,143986,216163
22,12_7,67898,134956,202854
23,12_8,71283,142153,213436
24,12_9,66460,130209,196669
25,13_0,69661,137837,207498
26,13_1,71521,140681,212202
27,13_10,69671,138653,208324
28,13_11,66391,130838,197229
29,13_12,68925,138250,207175
30,13_13,71329,141871,213200
31,13_14,68469,134470,202939
32,13_15,69731,138229,207960
33,13_16,72325,144510,216835
34,13_17,70100,137241,207341
35,13_18,68594,137570,206164
36,13_19,65977,130744,196721
37,13_2,72209,140833,213042
38,13_20,68891,135106,203997
39,13_21,75201,148119,223320
40,13_22,68411,135768,204179
41,13_23,68847,135921,204768
42,13_3,73459,145513,218972
43,13_4,67630,135197,202827
44,13_5,73888,144817,218705
45,13_6,66306,130667,196973
46,13_7,71350,142619,213969
47,13_8,69771,138941,208712
48,13_9,74937,149110,224047
49,14_0,75502,149824,225326
50,14_1,67615,133117,200732
51,14_10,72787,144654,217441
52,14_11,71254,141581,212835
53,14_12,74020,147864,221884
54,14_13,71606,141026,212632
55,14_14,70855,139497,210352
56,14_15,75339,148775,224114
57,14_16,73163,146151,219314
58,14_17,73173,145429,218602
59,14_18,69132,138605,207737
60,14_19,72465,143192,215657
61,14_2,73324,146490,219814
62,14_20,72282,142170,214452
63,14_21,68595,135686,204281
64,14_22,74570,148012,222582
65,14_23,67731,134549,202280
66,14_3,68382,136063,204445
67,14_4,68485,134579,203064
68,14_5,68364,135479,203843
69,14_6,71425,141432,212857
70,14_7,72401,143941,216342
71,14_8,68814,137950,206764
72,14_9,72694,144816,217510
73,15_0,68618,136443,205061
74,15_1,69921,138035,207956
75,15_10,62057,118658,180715
76,15_11,57384,109949,167333
77,15_12,63104,121345,184449
78,15_13,65240,125119,190359
79,15_14,61932,117215,179147
80,15_15,63324,122245,185569
81,15_16,55491,104397,159888
82,15_17,70616,138786,209402
83,15_18,82494,193489,275983
84,15_19,75113,148934,224047
85,15_2,68834,136986,205820
86,15_20,71869,205504,277373
87,15_21,67354,134008,201362
88,15_22,66681,133171,199852
89,15_23,72752,143416,216168
90,15_3,68114,135011,203125
91,15_4,73294,145681,218975
92,15_5,70853,139242,210095
93,15_6,71718,141822,213540
94,15_7,69596,139124,208720
95,15_8,72993,144277,217270
96,15_9,65021,127782,192803
97,16_0,70495,140099,210594
98,16_1,69058,139069,208127
99,16_10,63248,119480,182728
100,16_11,64665,125347,190012
101,16_12,65771,129689,195460
102,16_13,61984,121551,183535
103,16_14,70293,134403,204696
104,16_15,61666,117816,179482
105,16_16,68180,132882,201062
106,16_17,60953,118676,179629
107,16_18,64747,124895,189642
