,day_time,uplink_length,downlink_length,sum_flow
0,11_23,5972,163844,169816
1,12_0,45981,1779504,1825485
2,12_1,61077,1521282,1582359
3,12_10,49694,1341518,1391212
4,12_11,660592,1036285,1696877
5,12_12,48441,1224772,1273213
6,12_13,39747,1305877,1345624
7,12_14,1840039,1241297,3081336
8,12_15,4124997,1050658,5175655
9,12_16,840965,1340067,2181032
10,12_17,20475139,1131436,21606575
11,12_18,63967,1130327,1194294
12,12_19,1309297,1293142,2602439
13,12_2,50501,147558,198059
14,12_20,32403,1713795,1746198
15,12_21,49006,1177070,1226076
16,12_22,34664,1132043,1166707
17,12_23,41530,835570,877100
18,12_3,73522,955353,1028875
19,12_4,57731,1067791,1125522
20,12_5,81309,1434661,1515970
21,12_6,56335,1519692,1576027
22,12_7,34348,543881,578229
23,12_8,60687,1080134,1140821
24,12_9,296653,1050641,1347294
25,13_0,52621,1816205,1868826
26,13_1,86531,1483764,1570295
27,13_10,25182,1393944,1419126
28,13_11,182050,864701,1046751
29,13_12,500673,723840,1224513
30,13_13,71089,1427903,1498992
31,13_14,59161,932751,991912
32,13_15,58986,1666803,1725789
33,13_16,54144,1503645,1557789
34,13_17,58877,2616687,2675564
35,13_18,74762,1456105,1530867
36,13_19,69508,1395956,1465464
37,13_2,62489,1852865,1915354
38,13_20,62886,936581,999467
39,13_21,57324,1358418,1415742
40,13_22,44669,1166760,1211429
41,13_23,63836,1541658,1605494
42,13_3,35992,1298290,1334282
43,13_4,58898,912998,971896
44,13_5,33382,1001085,1034467
45,13_6,59835,1232867,1292702
46,13_7,48244,1925959,1974203
47,13_8,51573,1491795,1543368
48,13_9,53631,1373609,1427240
49,14_0,37269,2390059,2427328
50,14_1,63109,1243621,1306730
51,14_10,49097,879907,929004
52,14_11,58879,1811647,1870526
53,14_12,21058,1234506,1255564
54,14_13,472499,1605404,2077903
55,14_14,67549,1266409,1333958
56,14_15,44006,1613274,1657280
57,14_16,798491,1301620,2100111
58,14_17,33733509,1706192,35439701
59,14_18,41388,1452845,1494233
60,14_19,59745,2134918,2194663
61,14_2,75470,829392,904862
62,14_20,52867,1061262,1114129
63,14_21,6541158,1821694,8362852
64,14_22,568730,817662,1386392
65,14_23,41622,1172306,1213928
66,14_3,81659,1147966,1229625
67,14_4,52489,1204052,1256541
68,14_5,43186,1311979,1355165
69,14_6,33468,1222690,1256158
70,14_7,48805,1023140,1071945
71,14_8,46343,736015,782358
72,14_9,68469,1685943,1754412
73,15_0,60502,2094791,2155293
74,15_1,34986,827016,862002
75,15_10,40197503,1868564,42066067
76,15_11,42700,867391,910091
77,15_12,41336,916621,957957
78,15_13,248557,1724628,1973185
79,15_14,1083214,1601453,2684667
80,15_15,578611,1023356,1601967
81,15_16,850815,864049,1714864
82,15_17,13343525,1163508,14507033
83,15_18,79457,917627,997084
84,15_19,44703,1538054,1582757
85,15_2,79291,1133945,1213236
86,15_20,102910,1954111,2057021
87,15_21,1298653,2209265,3507918
88,15_22,23513,1087855,1111368
89,15_23,55530,1673820,1729350
90,15_3,74158,1121783,1195941
91,15_4,70291,1123004,1193295
92,15_5,69206,1578218,1647424
93,15_6,64518,1099361,1163879
94,15_7,65243,2271586,2336829
95,15_8,72577,1411698,1484275
96,15_9,622320,1658354,2280674
97,16_0,29180,1317248,1346428
98,16_1,43540,1027823,1071363
99,16_10,261236,1757769,2019005
100,16_11,416290,2077156,2493446
101,16_12,72472,1551045,1623517
102,16_13,65131,638198,703329
103,16_14,271068,938588,1209656
104,16_15,241185,976397,1217582
105,16_16,40787,1386160,1426947
106,16_17,11111438,935849,12047287
107,16_18,32772,660660,693432
108,16_19,318214,934231,1252445
109,16_2,49407,1782491,1831898
110,16_20,50533,749879,800412
111,16_21,43368,1590235,1633603
112,16_22,45144,1462226,1507370
113,16_23,84582,1012580,1097162
114,16_3,65093,948189,1013282
115,16_4,81084,997667,1078751
116,16_5,51016,1183272,1234288
117,16_6,42018,1315302,1357320
118,16_7,55265,1057377,1112642
119,16_8,53446,1487616,1541062
120,16_9,68089,1541687,1609776
121,17_0,67965,1240325,1308290
122,17_1,22863,945196,968059
123,17_10,4951292,718482,5669774
124,17_11,75885,1174305,1250190
125,17_12,70220,1271974,1342194
126,17_13,79500,1725789,1805289
127,17_14,1348501,1422367,2770868
128,17_15,71618,1784233,1855851
129,17_16,1079788,1073523,2153311
130,17_17,768599,1672347,2440946
131,17_18,78739,1157113,1235852
132,17_19,57422,1189462,1246884
133,17_2,48550,734484,783034
134,17_20,54657,445971,500628
135,17_21,81705,714213,795918
136,17_22,81182,1982156,2063338
137,17_23,64419,1112512,1176931
138,17_3,26392,655869,682261
139,17_4,57773,1483635,1541408
140,17_5,55436,764949,820385
141,17_6,70413,1410051,1480464
142,17_7,57830,616975,674805
143,17_8,69647,1366857,1436504
144,17_9,81600,1310690,1392290
145,18_0,63856,1089363,1153219
146,18_1,68635,1095305,1163940
147,18_10,1276222,848186,2124408
148,18_11,984336,1083612,2067948
149,18_12,57762,1405454,1463216
150,18_13,870318,1851407,2721725
151,18_14,43363,731107,774470
152,18_15,3235023,658142,3893165
153,18_16,1046573,917670,1964243
154,18_17,46258,1329321,1375579
155,18_18,51742,1332239,1383981
156,18_19,60060,1661158,1721218
157,18_2,77066,2017187,2094253
158,18_20,58514,1607545,1666059
159,18_21,47606,1197151,1244757
160,18_22,78476,1558693,1637169
161,18_23,34218,871551,905769
162,18_3,59390,1454575,1513965
163,18_4,96380,1352636,1449016
164,18_5,33449,685789,719238
165,18_6,56263,952817,1009080
166,18_7,45493,1722324,1767817
167,18_8,56601,641429,698030
168,18_9,326734,1557873,1884607
169,11-0,0,0,0
170,11-1,0,0,0
171,11-2,0,0,0
172,11-3,0,0,0
173,11-4,0,0,0
174,11-5,0,0,0
175,11-6,0,0,0
176,11-7,0,0,0
177,11-8,0,0,0
178,11-9,0,0,0
179,11-10,0,0,0
180,11-11,0,0,0
181,11-12,0,0,0
182,11-13,0,0,0
183,11-14,0,0,0
184,11-15,0,0,0
185,11-16,0,0,0
186,11-17,0,0,0
187,11-18,0,0,0
188,11-19,0,0,0
189,11-20,0,0,0
190,11-21,0,0,0
191,11-22,0,0,0
192,11-23,0,0,0
193,12-0,0,0,0
194,12-1,0,0,0
195,12-2,0,0,0
196,12-3,0,0,0
197,12-4,0,0,0
