,day_time,uplink_length,downlink_length
1,11_23,840,1066
1,12_0,9240,12109
1,12_1,6552,8801
1,12_10,43176,57670
1,12_11,50232,66277
1,12_12,50568,67643
1,12_13,46536,61271
1,12_14,56784,75446
1,12_15,55608,73503
1,12_16,54600,72297
1,12_17,54768,72141
1,12_18,48384,65189
1,12_19,29568,38672
1,12_2,5880,7583
1,12_20,15792,19915
1,12_21,11592,14980
1,12_22,7896,10116
1,12_23,8400,10876
1,12_3,5544,7055
1,12_4,7056,9078
1,12_5,6384,8109
1,12_6,8736,11094
1,12_7,6384,8254
1,12_8,10248,13005
1,12_9,30576,39667
1,13_0,4368,5664
1,13_1,6216,7997
1,13_10,11256,14648
1,13_11,13944,18113
1,13_12,15120,19440
1,13_13,15792,20165
1,13_14,15792,20139
1,13_15,15960,20681
1,13_16,15456,20368
1,13_17,17808,23159
1,13_18,12096,15307
1,13_19,8904,11586
1,13_2,5040,6403
1,13_20,9744,12599
1,13_21,7560,9738
1,13_22,5040,6512
1,13_23,6384,8575
1,13_3,4368,5639
1,13_4,6048,7735
1,13_5,5712,7547
1,13_6,6720,9028
1,13_7,6720,8682
1,13_8,7224,9145
1,13_9,9072,11712
1,14_0,4872,6373
1,14_1,6552,8599
1,14_10,9744,12476
1,14_11,9744,12763
1,14_12,12936,16733
1,14_13,11592,14955
1,14_14,13104,17073
1,14_15,14280,18184
1,14_16,14952,18749
1,14_17,13944,18127
1,14_18,12264,15589
1,14_19,9072,11393
1,14_2,4368,5749
1,14_20,9240,11704
1,14_21,5544,6888
1,14_22,6216,8056
1,14_23,7728,9836
1,14_3,5544,7382
1,14_4,5208,6833
1,14_5,4032,5276
1,14_6,6216,8006
1,14_7,4200,5355
1,14_8,7392,9417
1,14_9,8568,11268
1,15_0,5208,6807
1,15_1,4032,5037
1,15_10,49056,65500
1,15_11,46536,61403
1,15_12,51240,68614
1,15_13,50904,68135
1,15_14,53256,70583
1,15_15,57792,77445
1,15_16,54936,74307
1,15_17,56952,75917
1,15_18,47040,62217
1,15_19,32592,43323
1,15_2,4536,5931
1,15_20,20328,26135
1,15_21,13776,18234
1,15_22,9240,12344
1,15_23,9408,12435
1,15_3,4368,5631
1,15_4,5208,6741
1,15_5,3696,4675
1,15_6,5544,7497
1,15_7,7056,8979
1,15_8,7728,9757
1,15_9,29568,38771
1,16_0,9576,12660
1,16_1,6216,8140
1,16_10,53760,70848
1,16_11,51912,69550
1,16_12,55608,73544
1,16_13,49056,65634
1,16_14,58128,77073
1,16_15,53256,70719
1,16_16,54768,72872
1,16_17,55776,74265
1,16_18,46368,61181
1,16_19,32424,42139
1,16_2,7224,9501
1,16_20,22848,29488
1,16_21,11928,15654
1,16_22,11760,15612
1,16_23,8400,11304
1,16_3,6720,9046
1,16_4,5376,7124
1,16_5,6720,8745
1,16_6,6888,8775
1,16_7,6216,8283
1,16_8,8736,11489
1,16_9,29736,39364
1,17_0,9240,12398
1,17_1,9576,12520
1,17_10,49896,66732
1,17_11,46032,62612
1,17_12,48048,63371
1,17_13,51072,68036
1,17_14,49560,66028
1,17_15,59640,79502
1,17_16,61488,81122
1,17_17,54600,72438
1,17_18,46872,62123
1,17_19,30912,41212
1,17_2,7392,9707
1,17_20,21000,27829
1,17_21,16128,21483
1,17_22,12096,16176
1,17_23,7560,10235
1,17_3,7392,9733
1,17_4,8904,11495
1,17_5,7224,9663
1,17_6,6216,8079
1,17_7,7896,10075
1,17_8,12096,15461
1,17_9,32424,42489
1,18_0,6720,8939
1,18_1,6720,8869
1,18_10,50232,67213
1,18_11,55608,73817
1,18_12,52416,68849
1,18_13,49056,65208
1,18_14,50400,66285
1,18_15,52080,70025
1,18_16,51912,68984
1,18_17,51408,68017
1,18_18,39984,52456
1,18_19,23520,30975
1,18_2,5880,7579
1,18_20,16464,21234
1,18_21,8568,10877
1,18_22,7560,9794
1,18_23,6216,7992
1,18_3,6048,7970
1,18_4,7224,9307
1,18_5,7224,9516
1,18_6,6552,8514
1,18_7,9240,12172
1,18_8,11760,14942
1,18_9,29904,39283
1,11_0,0,0
1,11_1,0,0
1,11_2,0,0
1,11_3,0,0
1,11_4,0,0
1,11_5,0,0
1,11_6,0,0
1,11_7,0,0
1,11_8,0,0
1,11_9,0,0
1,11_10,0,0
1,11_11,0,0
1,11_12,0,0
1,11_13,0,0
1,11_14,0,0
1,11_15,0,0
1,11_16,0,0
1,11_17,0,0
1,11_18,0,0
1,11_19,0,0
1,11_20,0,0
1,11_21,0,0
1,11_22,0,0
