,day_time,uplink_length,downlink_length,sum_flow
0,11_23,14018,13344,27362
1,12_0,50067,284669,334736
2,12_1,74342,324652,398994
3,12_10,1268107,2319638,3587745
4,12_11,1458775,23640031,25098806
5,12_12,624695,2401339,3026034
6,12_13,532677,1741621,2274298
7,12_14,581726,1897564,2479290
8,12_15,708433,14884884,15593317
9,12_16,797892,88910135,89708027
10,12_17,678028,51906508,52584536
11,12_18,756114,26831510,27587624
12,12_19,317954,3622778,3940732
13,12_2,140581,209347,349928
14,12_20,245479,2075319,2320798
15,12_21,160499,554833,715332
16,12_22,104246,577084,681330
17,12_23,72285,125563,197848
18,12_3,49926,226295,276221
19,12_4,54419,180091,234510
20,12_5,50888,241993,292881
21,12_6,47782,170967,218749
22,12_7,46188,180641,226829
23,12_8,119464,240331,359795
24,12_9,716655,2531135,3247790
25,13_0,61143,499075,560218
26,13_1,67127,206795,273922
27,13_10,233805,715024,948829
28,13_11,158876,632309,791185
29,13_12,219424,430599,650023
30,13_13,199905,665175,865080
31,13_14,236564,2179702,2416266
32,13_15,175040,538944,713984
33,13_16,168084,850790,1018874
34,13_17,164882,590056,754938
35,13_18,136208,615893,752101
36,13_19,132993,327090,460083
37,13_2,203695,348564,552259
38,13_20,149180,391889,541069
39,13_21,111030,722568,833598
40,13_22,108814,271191,380005
41,13_23,80091,242628,322719
42,13_3,39392,123849,163241
43,13_4,45195,211654,256849
44,13_5,56919,222057,278976
45,13_6,36363,339935,376298
46,13_7,57243,343594,400837
47,13_8,135561,604430,739991
48,13_9,215457,831150,1046607
49,14_0,47473,158282,205755
50,14_1,64554,297135,361689
51,14_10,179422,370962,550384
52,14_11,106025,722756,828781
53,14_12,141687,948212,1089899
54,14_13,151172,363659,514831
55,14_14,155913,214184,370097
56,14_15,124284,615486,739770
57,14_16,154375,516714,671089
58,14_17,130077,487270,617347
59,14_18,130110,887375,1017485
60,14_19,90230,556734,646964
61,14_2,193107,179037,372144
62,14_20,107589,378757,486346
