,day_time,uplink_length,downlink_length,sum_flow
0,12_11,0,0,0
1,12_13,547,184564,185111
2,12_14,3268,83118,86386
3,12_23,99,150,249
4,12_4,51,17153,17204
5,12_8,101,17285,17386
6,13_11,723,21105,21828
7,13_15,50,150,200
8,13_7,65,419,484
9,14_11,49,441,490
10,14_15,53,985,1038
11,14_17,0,0,0
12,14_18,149,18080,18229
13,14_9,50,150,200
14,15_11,1781,157237,159018
15,15_15,427,14235,14662
16,15_7,49,441,490
17,15_9,675,5833,6508
18,16_10,2511,194292,196803
19,16_11,425,45517,45942
20,16_13,113,16942,17055
21,16_14,1873,26035,27908
22,16_16,13208,428067,441275
23,16_18,2612,192242,194854
24,16_19,51,17180,17231
25,16_20,0,0,0
26,17_11,879,25850,26729
27,17_13,1475,76289,77764
28,17_17,6387,362272,368659
29,17_20,214,4306,4520
30,17_22,50,150,200
31,17_6,50,150,200
32,17_8,6638,267763,274401
33,18_12,312,22197,22509
34,18_14,15064,711635,726699
35,18_16,553,11906,12459
36,18_17,269,5595,5864
37,18_18,50,150,200
38,18_21,218,1848,2066
39,18_8,4742,205682,210424
40,18_9,101,12222,12323
41,11-0,0,0,0
42,11-1,0,0,0
43,11-2,0,0,0
44,11-3,0,0,0
45,11-4,0,0,0
46,11-5,0,0,0
47,11-6,0,0,0
48,11-7,0,0,0
49,11-8,0,0,0
50,11-9,0,0,0
51,11-10,0,0,0
52,11-11,0,0,0
53,11-12,0,0,0
54,11-13,0,0,0
55,11-14,0,0,0
56,11-15,0,0,0
57,11-16,0,0,0
58,11-17,0,0,0
59,11-18,0,0,0
60,11-19,0,0,0
61,11-20,0,0,0
62,11-21,0,0,0
63,11-22,0,0,0
64,11-23,0,0,0
65,12-0,0,0,0
66,12-1,0,0,0
67,12-2,0,0,0
68,12-3,0,0,0
69,12-4,0,0,0
70,12-5,0,0,0
71,12-6,0,0,0
72,12-7,0,0,0
73,12-8,0,0,0
74,12-9,0,0,0
75,12-10,0,0,0
76,12-11,0,0,0
77,12-12,0,0,0
78,12-13,0,0,0
79,12-14,0,0,0
80,12-15,0,0,0
81,12-16,0,0,0
82,12-17,0,0,0
83,12-18,0,0,0
84,12-19,0,0,0
85,12-20,0,0,0
86,12-21,0,0,0
87,12-22,0,0,0
88,12-23,0,0,0
89,13-0,0,0,0
90,13-1,0,0,0
91,13-2,0,0,0
92,13-3,0,0,0
93,13-4,0,0,0
94,13-5,0,0,0
95,13-6,0,0,0
96,13-7,0,0,0
97,13-8,0,0,0
98,13-9,0,0,0
99,13-10,0,0,0
100,13-11,0,0,0
101,13-12,0,0,0
102,13-13,0,0,0
103,13-14,0,0,0
104,13-15,0,0,0
105,13-16,0,0,0
106,13-17,0,0,0
