day_time,send_flow,receive_flow,sum_flow
06_04_01,2,0,2
06_04_02,4,0,4
06_04_03,4,0,4
06_04_04,4,0,4
06_04_05,4,0,4
06_04_06,4,0,4
06_04_07,4,3,7
06_04_08,4,13,17
06_04_09,4,467,471
06_11_19,523,389,912
05_31_08,0,24,24
05_31_11,0,252,252
06_01_05,0,2,2
06_01_11,0,35,35
06_01_13,0,33,33
06_02_10,0,42,42
06_02_12,0,22,22
06_02_14,0,204,204
06_02_16,0,17,17
06_03_10,0,761,761
06_03_13,0,164,164
06_03_16,0,92,92
06_03_18,0,155,155
06_05_16,0,175,175
06_05_20,0,23,23
06_06_11,0,207,207
06_06_17,0,121,121
06_06_19,0,38,38
06_07_09,0,29,29
06_07_11,0,6,6
06_08_09,0,2,2
06_08_11,0,3,3
06_09_11,0,6,6
06_10_09,0,325,325
06_10_12,0,51,51
06_10_15,0,63,63
06_11_10,0,383,383
06_11_13,0,80,80
06_11_16,0,126,126
06_11_21,0,6315,6315
06_12_12,0,70,70
06_12_14,0,162,162
06_13_12,0,44,44
06_12_00,0,1,1
06_03_11,0,158,158
06_06_10,0,374,374
06_06_15,0,123,123
06_10_13,0,125,125
06_05_12,0,122,122
06_06_09,0,374,374
06_05_11,0,239,239
06_05_15,0,172,172
06_05_10,0,550,550
06_05_14,0,214,214
06_05_17,0,141,141
06_05_18,0,137,137
06_05_19,0,150,150
06_05_13,0,133,133
06_06_13,0,57,57
05_31_09,0,435,435
05_31_10,0,595,595
06_04_16,0,116,116
06_03_09,0,618,618
06_12_18,0,135,135
05_31_13,0,140,140
06_13_09,0,824,824
06_12_19,0,95,95
06_13_10,0,2227,2227
06_02_13,0,26,26
06_13_14,0,8131,8131
06_02_11,0,39,39
06_13_22,0,5,5
06_03_14,0,184,184
06_13_11,0,202,202
05_31_21,0,18,18
06_03_12,0,55,55
06_13_19,0,44,44
06_01_15,0,20,20
06_04_12,0,84,84
06_03_20,0,67,67
06_04_13,0,97,97
06_03_19,0,72,72
06_05_21,0,14,14
06_03_15,0,154,154
06_04_15,0,166,166
06_11_18,0,199,199
06_04_21,0,27,27
06_05_00,0,4,4
06_05_08,0,24,24
06_05_09,0,500,500
06_13_13,0,113,113
05_31_12,0,106,106
06_13_16,0,58,58
06_13_20,0,51,51
06_13_21,0,29,29
05_31_15,0,165,165
05_31_18,0,164,164
05_31_14,0,135,135
05_31_16,0,274,274
05_31_19,0,65,65
06_13_18,0,68,68
06_04_10,0,660,660
06_04_11,0,175,175
06_04_14,0,202,202
06_06_14,0,100,100
06_06_12,0,32,32
06_06_18,0,105,105
06_06_16,0,73,73
06_12_09,0,294,294
06_12_10,0,371,371
06_11_22,0,37,37
06_04_17,0,87,87
06_04_18,0,504,504
06_10_08,0,293,293
06_11_09,0,333,333
06_10_10,0,217,217
06_01_19,0,14,14
06_02_17,0,26,26
06_13_15,0,2301,2301
06_13_17,0,60,60
06_12_16,0,154,154
06_12_15,0,145,145
06_12_13,0,197,197
06_12_11,0,220,220
06_04_20,0,37,37
06_11_08,0,54,54
06_12_20,0,27,27
05_31_05,0,2,2
06_13_07,0,14,14
06_12_22,0,31,31
06_12_21,0,28,28
06_06_20,0,33,33
06_03_17,0,105,105
06_11_15,0,130,130
06_11_12,0,54,54
06_11_11,0,190,190
06_11_14,0,182,182
06_04_19,0,234,234
06_11_20,0,1885,1885
06_10_16,0,50,50
06_01_12,0,45,45
05_31_17,0,130,130
06_01_14,0,26,26
06_03_21,0,8,8
06_04_23,0,2,2
06_07_13,0,1,1
06_08_10,0,2,2
06_07_14,0,9,9
06_10_14,0,87,87
06_09_12,0,11,11
06_01_18,0,6,6
06_12_17,0,131,131
06_12_07,0,10,10
06_13_08,0,16,16
06_03_08,0,35,35
06_10_07,0,32,32
06_01_16,0,19,19
06_01_09,0,23,23
06_03_22,0,1,1
06_04_22,0,15,15
06_10_17,0,60,60
06_11_17,0,169,169
06_06_08,0,13,13
06_10_11,0,50,50
06_01_20,0,11,11
06_10_06,0,16,16
06_02_09,0,19,19
05_31_20,0,41,41
06_07_12,0,6,6
06_12_08,0,12,12
06_01_10,0,72,72
06_10_18,0,40,40
06_06_07,0,5,5
06_09_13,0,16,16
06_10_20,0,3,3
06_02_15,0,21,21
06_08_18,0,14,14
06_02_18,0,7,7
06_06_21,0,6,6
06_01_17,0,4,4
06_09_09,0,8,8
06_05_23,0,6,6
