day_time,send_flow,receive_flow,sum_flow
06_04_01,1713,0,1713
06_04_02,3426,0,3426
06_04_03,3426,0,3426
06_04_04,2858,0,2858
06_04_05,3426,0,3426
06_04_06,3426,0,3426
06_04_07,10102,0,10102
06_04_08,526319,0,526319
06_04_09,7737875,0,7737875
06_11_19,906914,0,906914
05_31_08,1429750,0,1429750
05_31_11,2990143,0,2990143
06_01_05,869,0,869
06_01_11,454826,0,454826
06_01_13,254373,0,254373
06_02_10,76631,0,76631
06_02_12,785770,0,785770
06_02_14,218013,0,218013
06_02_16,663514,0,663514
06_03_10,12568517,0,12568517
06_03_13,1599069,0,1599069
06_03_16,4210965,0,4210965
06_03_18,1702107,0,1702107
06_05_16,3483006,0,3483006
06_05_20,25368,0,25368
06_06_11,3700649,0,3700649
06_06_17,4385691,0,4385691
06_06_19,283853,0,283853
06_07_09,175274,0,175274
06_07_11,11762,0,11762
06_08_09,869,0,869
06_08_11,869,0,869
06_09_11,8014,0,8014
06_10_09,2790392,0,2790392
06_10_12,1748177,0,1748177
06_10_15,1084342,0,1084342
06_11_10,5106597,0,5106597
06_11_13,1030937,0,1030937
06_11_16,2791445,0,2791445
06_11_21,1020161,0,1020161
06_12_12,370626,0,370626
06_12_14,1173940,0,1173940
06_13_12,95699,0,95699
06_12_00,62053,0,62053
06_03_11,4411877,0,4411877
06_06_10,4141000,0,4141000
06_06_15,2134294,0,2134294
06_10_13,1074637,0,1074637
06_05_12,1666588,0,1666588
06_06_09,6773175,0,6773175
06_05_11,3280184,0,3280184
06_05_15,3796456,0,3796456
06_05_10,8650192,0,8650192
06_05_14,5075430,0,5075430
06_05_17,3314837,0,3314837
06_05_18,2318498,0,2318498
06_05_19,748624,0,748624
06_05_13,2567222,0,2567222
06_06_13,714059,0,714059
05_31_09,3877076,0,3877076
05_31_10,12684607,0,12684607
06_04_16,2259730,0,2259730
06_03_09,10961438,0,10961438
06_12_18,333221,0,333221
05_31_13,2861604,0,2861604
06_13_09,6716425,0,6716425
06_12_19,990739,0,990739
06_13_10,4346456,0,4346456
06_02_13,291997,0,291997
06_13_14,2061710,0,2061710
06_02_11,117370,0,117370
06_13_22,98824,0,98824
06_03_14,2720027,0,2720027
06_13_11,20732399,0,20732399
05_31_21,56447,0,56447
06_03_12,1348660,0,1348660
06_13_19,2003762,0,2003762
06_01_15,100814,0,100814
06_04_12,3370953,0,3370953
06_03_20,168663,0,168663
06_04_13,1786139,0,1786139
06_03_19,3536151,0,3536151
06_05_21,32579,0,32579
06_03_15,2701629,0,2701629
06_04_15,2825581,0,2825581
06_11_18,4806179,0,4806179
06_04_21,492088,0,492088
06_05_00,10676,0,10676
06_05_08,529088,0,529088
06_05_09,9308985,0,9308985
06_13_13,1617517,0,1617517
05_31_12,1388252,0,1388252
06_13_16,1356294,0,1356294
06_13_20,175077,0,175077
06_13_21,45201,0,45201
05_31_15,4083325,0,4083325
05_31_18,3231209,0,3231209
05_31_14,1867685,0,1867685
05_31_16,4799953,0,4799953
05_31_19,742218,0,742218
06_13_18,2534553,0,2534553
06_04_10,29150282,0,29150282
06_04_11,4274354,0,4274354
06_04_14,2254483,0,2254483
06_06_14,889981,0,889981
06_06_12,1491331,0,1491331
06_06_18,1401483,0,1401483
06_06_16,1098361,0,1098361
06_12_09,8584968,0,8584968
06_12_10,6005859,0,6005859
06_11_22,166937,0,166937
06_04_17,2196062,0,2196062
06_04_18,4391478,0,4391478
06_10_08,5007749,0,5007749
06_11_09,6540686,0,6540686
06_10_10,1138589,0,1138589
06_01_19,25402,0,25402
06_02_17,67115,0,67115
06_13_15,2516924,0,2516924
06_13_17,320115,0,320115
06_12_16,1493214,0,1493214
06_12_15,5171816,0,5171816
06_12_13,3072036,0,3072036
06_12_11,2936925,0,2936925
06_04_20,1028774,0,1028774
06_11_08,118407,0,118407
06_12_20,47175,0,47175
