day_time,send_flow,receive_flow,sum_flow
5_30_0,0,0,0
5_30_1,0,0,0
5_30_10,0,0,0
5_30_11,0,0,0
5_30_12,0,0,0
5_30_13,0,0,0
5_30_14,0,0,0
5_30_15,0,0,0
5_30_16,0,0,0
5_30_17,0,0,0
5_30_18,0,0,0
5_30_19,0,0,0
5_30_2,0,0,0
5_30_20,0,0,0
5_30_21,0,0,0
5_30_22,0,0,0
5_30_23,0,0,0
5_30_3,0,0,0
5_30_4,0,0,0
5_30_5,0,0,0
5_30_6,0,0,0
5_30_7,0,0,0
5_30_8,0,0,0
5_30_9,0,0,0
5_31_0,0,0,0
5_31_1,0,0,0
5_31_10,10952498,6341735,17294233
5_31_11,22977052,11812952,34790004
5_31_12,2180169,1091374,3271543
5_31_13,8784685,4580337,13365022
5_31_14,17951252,7865965,25817217
5_31_15,17975729,9654900,27630629
5_31_16,9289656,4440133,13729789
5_31_17,1349217,10419,1359636
5_31_18,0,0,0
5_31_19,0,0,0
5_31_2,0,0,0
5_31_20,0,0,0
5_31_21,0,0,0
5_31_22,0,0,0
5_31_23,0,0,0
5_31_3,0,0,0
5_31_4,0,0,0
5_31_5,0,0,0
5_31_6,0,0,0
5_31_7,0,0,0
5_31_8,0,0,0
5_31_9,0,0,0
6_10_0,0,0,0
6_10_1,0,0,0
6_10_10,28121066,13195941,41317007
6_10_11,28677842,12639770,41317612
6_10_12,27032264,13106189,40138453
6_10_13,0,0,0
6_10_14,4563917,92427,4656344
6_10_15,0,0,0
6_10_16,1270789,24127,1294916
6_10_17,0,0,0
6_10_18,0,0,0
6_10_19,0,0,0
6_10_2,0,0,0
6_10_20,0,0,0
6_10_21,0,0,0
6_10_22,0,0,0
6_10_23,0,0,0
6_10_3,0,0,0
6_10_4,0,0,0
6_10_5,0,0,0
6_10_6,0,0,0
6_10_7,0,0,0
6_10_8,0,0,0
6_10_9,19671963,7766947,27438910
6_11_0,0,0,0
6_11_1,0,0,0
6_11_10,24249015,11529899,35778914
6_11_11,21079063,9893589,30972652
6_11_12,2886503,1124124,4010627
6_11_13,10370777,5226244,15597021
6_11_14,32920785,16687718,49608503
6_11_15,0,0,0
6_11_16,0,0,0
6_11_17,0,0,0
6_11_18,0,0,0
6_11_19,0,0,0
6_11_2,0,0,0
6_11_20,0,0,0
6_11_21,0,0,0
6_11_22,0,0,0
6_11_23,0,0,0
6_11_3,0,0,0
6_11_4,0,0,0
6_11_5,0,0,0
6_11_6,0,0,0
6_11_7,0,0,0
6_11_8,0,0,0
6_11_9,2945342,611099,3556441
6_12_0,0,0,0
6_12_1,0,0,0
6_12_10,18378063,10468354,28846417
6_12_11,24661865,11594733,36256598
6_12_12,1188071,533127,1721198
6_12_13,21626568,11391144,33017712
6_12_14,24460762,11546342,36007104
6_12_15,1368487,570485,1938972
6_12_16,0,0,0
6_12_17,1294063,17219,1311282
6_12_18,0,0,0
6_12_19,0,0,0
6_12_2,0,0,0
6_12_20,0,0,0
6_12_21,0,0,0
6_12_22,0,0,0
6_12_23,0,0,0
6_12_3,0,0,0
6_12_4,0,0,0
6_12_5,0,0,0
6_12_6,0,0,0
6_12_7,0,0,0
6_12_8,0,0,0
6_12_9,5741705,1329470,7071175
6_13_0,0,0,0
6_13_1,0,0,0
6_13_10,14844323,7489911,22334234
6_13_11,17596555,8303971,25900526
6_13_12,379152,162241,541393
6_13_13,8409858,4056065,12465923
6_13_14,5821044,2569290,8390334
6_13_15,13493454,6767122,20260576
6_13_16,9881388,5470153,15351541
6_13_17,1406057,18231,1424288
6_13_18,0,0,0
6_13_19,0,0,0
6_13_2,0,0,0
6_13_20,0,0,0
6_13_21,0,0,0
6_13_22,0,0,0
6_13_23,0,0,0
6_13_3,0,0,0
6_13_4,0,0,0
6_13_5,0,0,0
6_13_6,0,0,0
6_13_7,0,0,0
6_13_8,0,0,0
6_13_9,10037741,3895938,13933679
6_1_0,0,0,0
6_1_1,0,0,0
6_1_10,0,0,0
6_1_11,0,0,0
6_1_12,0,0,0
6_1_13,0,0,0
6_1_14,0,0,0
6_1_15,0,0,0
6_1_16,0,0,0
6_1_17,0,0,0
6_1_18,0,0,0
6_1_19,0,0,0
6_1_2,0,0,0
6_1_20,0,0,0
6_1_21,0,0,0
6_1_22,0,0,0
6_1_23,0,0,0
6_1_3,0,0,0
6_1_4,0,0,0
6_1_5,0,0,0
6_1_6,0,0,0
6_1_7,0,0,0
6_1_8,0,0,0
6_1_9,0,0,0
6_2_0,0,0,0
6_2_1,0,0,0
6_2_10,0,0,0
6_2_11,0,0,0
6_2_12,0,0,0
6_2_13,0,0,0
6_2_14,0,0,0
6_2_15,0,0,0
6_2_16,0,0,0
6_2_17,0,0,0
6_2_18,0,0,0
6_2_19,0,0,0
6_2_2,0,0,0
6_2_20,0,0,0
6_2_21,0,0,0
6_2_22,0,0,0
6_2_23,0,0,0
6_2_3,0,0,0
6_2_4,0,0,0
6_2_5,0,0,0
6_2_6,0,0,0
6_2_7,0,0,0
6_2_8,0,0,0
6_2_9,0,0,0
6_3_0,0,0,0
6_3_1,0,0,0
6_3_10,5667659,1739327,7406986
6_3_11,17873000,8711986,26584986
6_3_12,0,0,0
6_3_13,2519449,1015554,3535003
6_3_14,18756312,9486565,28242877
6_3_15,17249801,9639333,26889134
6_3_16,25860530,14794845,40655375
6_3_17,0,0,0
6_3_18,0,0,0
6_3_19,0,0,0
6_3_2,0,0,0
6_3_20,0,0,0
6_3_21,0,0,0
6_3_22,0,0,0
6_3_23,0,0,0
6_3_3,0,0,0
6_3_4,0,0,0
6_3_5,0,0,0
6_3_6,0,0,0
6_3_7,0,0,0
6_3_8,0,0,0
6_3_9,0,0,0
6_4_0,0,0,0
6_4_1,0,0,0
6_4_10,13036744,7151026,20187770
6_4_11,14881630,7932872,22814502
6_4_12,737164,404892,1142056
6_4_13,5517832,2959403,8477235
6_4_14,19269680,8957649,28227329
6_4_15,19414426,8277310,27691736
6_4_16,21522849,9224708,30747557
6_4_17,0,0,0
6_4_18,0,0,0
6_4_19,0,0,0
6_4_2,0,0,0
6_4_20,0,0,0
6_4_21,0,0,0
6_4_22,0,0,0
6_4_23,0,0,0
6_4_3,0,0,0
6_4_4,0,0,0
6_4_5,0,0,0
6_4_6,0,0,0
6_4_7,0,0,0
6_4_8,0,0,0
6_4_9,1089308,28187,1117495
6_5_0,0,0,0
6_5_1,0,0,0
6_5_10,16006939,6949190,22956129
6_5_11,24620924,11135183,35756107
6_5_12,20265153,10516407,30781560
6_5_13,12315045,6182338,18497383
6_5_14,29874797,11532724,41407521
6_5_15,0,0,0
6_5_16,0,0,0
6_5_17,1819512,50435,1869947
6_5_18,0,0,0
6_5_19,0,0,0
6_5_2,0,0,0
6_5_20,0,0,0
6_5_21,0,0,0
6_5_22,0,0,0
6_5_23,0,0,0
6_5_3,0,0,0
6_5_4,0,0,0
6_5_5,0,0,0
6_5_6,0,0,0
6_5_7,0,0,0
6_5_8,0,0,0
6_5_9,0,0,0
6_6_0,0,0,0
6_6_1,0,0,0
6_6_10,22589690,8540634,31130324
6_6_11,18254644,8259604,26514248
6_6_12,404416,237409,641825
6_6_13,7111708,2711272,9822980
6_6_14,18534160,8624001,27158161
6_6_15,15962611,7286861,23249472
6_6_16,19214578,9958901,29173479
6_6_17,0,0,0
6_6_18,0,0,0
6_6_19,0,0,0
6_6_2,0,0,0
6_6_20,0,0,0
6_6_21,0,0,0
6_6_22,0,0,0
6_6_23,0,0,0
6_6_3,0,0,0
6_6_4,0,0,0
6_6_5,0,0,0
6_6_6,0,0,0
6_6_7,0,0,0
6_6_8,0,0,0
6_6_9,2603225,23436,2626661
6_7_0,0,0,0
6_7_1,0,0,0
6_7_10,0,0,0
6_7_11,0,0,0
6_7_12,0,0,0
6_7_13,0,0,0
6_7_14,0,0,0
6_7_15,0,0,0
6_7_16,0,0,0
6_7_17,0,0,0
6_7_18,0,0,0
6_7_19,0,0,0
6_7_2,0,0,0
6_7_20,0,0,0
6_7_21,0,0,0
6_7_22,0,0,0
6_7_23,0,0,0
6_7_3,0,0,0
6_7_4,0,0,0
6_7_5,0,0,0
6_7_6,0,0,0
6_7_7,0,0,0
6_7_8,0,0,0
6_7_9,0,0,0
6_8_0,0,0,0
6_8_1,0,0,0
6_8_10,0,0,0
6_8_11,0,0,0
6_8_12,0,0,0
6_8_13,0,0,0
6_8_14,0,0,0
6_8_15,0,0,0
6_8_16,0,0,0
6_8_17,0,0,0
6_8_18,0,0,0
6_8_19,0,0,0
6_8_2,0,0,0
6_8_20,0,0,0
6_8_21,0,0,0
6_8_22,0,0,0
6_8_23,0,0,0
6_8_3,0,0,0
6_8_4,0,0,0
6_8_5,0,0,0
6_8_6,0,0,0
6_8_7,0,0,0
6_8_8,0,0,0
6_8_9,0,0,0
6_9_0,0,0,0
6_9_1,0,0,0
6_9_10,0,0,0
6_9_11,0,0,0
6_9_12,0,0,0
6_9_13,0,0,0
6_9_14,0,0,0
6_9_15,0,0,0
6_9_16,0,0,0
6_9_17,0,0,0
6_9_18,0,0,0
6_9_19,0,0,0
6_9_2,0,0,0
6_9_20,0,0,0
6_9_21,0,0,0
6_9_22,0,0,0
6_9_23,0,0,0
6_9_3,0,0,0
6_9_4,0,0,0
6_9_5,0,0,0
6_9_6,0,0,0
6_9_7,0,0,0
6_9_8,0,0,0
6_9_9,0,0,0
