dst,src,day_time,num
10.38.139.10,10.49.253.233,06_04_01,2
10.38.139.10,10.49.253.233,06_04_02,4
10.38.139.10,10.49.253.233,06_04_03,4
10.38.139.10,10.49.253.233,06_04_04,4
10.38.139.10,10.49.253.233,06_04_05,4
10.38.139.10,10.49.253.233,06_04_06,4
10.38.139.10,10.49.253.233,06_04_07,4
10.38.139.10,10.49.253.233,06_04_08,4
10.38.139.10,10.49.253.233,06_04_09,4
10.49.253.115,10.49.253.233,06_11_19,1
10.49.253.118,10.49.253.233,06_11_19,35
10.49.253.12,10.49.253.233,06_11_19,10
10.49.253.127,10.49.253.233,06_11_19,11
10.49.253.129,10.49.253.233,06_11_19,12
10.49.253.134,10.49.253.233,06_11_19,5
10.49.253.136,10.49.253.233,06_11_19,5
10.49.253.147,10.49.253.233,06_11_19,34
10.49.253.175,10.49.253.233,06_11_19,2
10.49.253.18,10.49.253.233,06_11_19,10
10.49.253.189,10.49.253.233,06_11_19,11
10.49.253.192,10.49.253.233,06_11_19,17
10.49.253.204,10.49.253.233,06_11_19,30
10.49.253.210,10.49.253.233,06_11_19,35
10.49.253.225,10.49.253.233,06_11_19,35
10.49.253.252,10.49.253.233,06_11_19,57
10.49.253.35,10.49.253.233,06_11_19,67
10.49.253.78,10.49.253.233,06_11_19,2
10.49.253.80,10.49.253.233,06_11_19,15
10.49.253.86,10.49.253.233,06_11_19,34
10.49.253.87,10.49.253.233,06_11_19,54
10.49.253.90,10.49.253.233,06_11_19,11
101.227.175.36,10.49.253.233,06_11_19,1
108.61.16.232,10.49.253.233,06_11_19,2
114.112.43.179,10.49.253.233,06_11_19,2
115.28.122.215,10.49.253.233,06_11_19,2
123.58.173.111,10.49.253.233,06_11_19,3
124.202.129.11,10.49.253.233,06_11_19,1
125.76.244.30,10.49.253.233,06_11_19,1
159.226.11.165,10.49.253.233,06_11_19,2
202.114.18.165,10.49.253.233,06_11_19,2
202.118.1.69,10.49.253.233,06_11_19,1
202.141.160.115,10.49.253.233,06_11_19,1
202.38.97.235,10.49.253.233,06_11_19,2
210.27.80.131,10.49.253.233,06_11_19,1
210.32.158.236,10.49.253.233,06_11_19,2
219.143.204.122,10.49.253.233,06_11_19,1
219.216.128.30,10.49.253.233,06_11_19,1
221.228.198.224,10.49.253.233,06_11_19,1
222.198.128.225,10.49.253.233,06_11_19,2
84.22.180.94,10.49.253.233,06_11_19,1
88.150.173.223,10.49.253.233,06_11_19,1
10.49.253.233,10.49.21.15,05_31_08,2
10.49.253.233,10.49.21.15,05_31_11,5
10.49.253.233,10.49.21.15,06_01_05,2
10.49.253.233,10.49.21.15,06_01_11,3
10.49.253.233,10.49.21.15,06_01_13,2
10.49.253.233,10.49.21.15,06_02_10,2
10.49.253.233,10.49.21.15,06_02_12,2
10.49.253.233,10.49.21.15,06_02_14,1
10.49.253.233,10.49.21.15,06_02_16,2
10.49.253.233,10.49.21.15,06_03_10,3
10.49.253.233,10.49.21.15,06_03_13,2
10.49.253.233,10.49.21.15,06_03_16,1
10.49.253.233,10.49.21.15,06_03_18,3
10.49.253.233,10.49.21.15,06_05_16,2
10.49.253.233,10.49.21.15,06_05_20,2
10.49.253.233,10.49.21.15,06_06_11,2
10.49.253.233,10.49.21.15,06_06_17,2
10.49.253.233,10.49.21.15,06_06_19,1
10.49.253.233,10.49.21.15,06_07_09,3
10.49.253.233,10.49.21.15,06_07_11,2
10.49.253.233,10.49.21.15,06_08_09,2
10.49.253.233,10.49.21.15,06_08_11,3
10.49.253.233,10.49.21.15,06_09_11,2
10.49.253.233,10.49.21.15,06_10_09,3
10.49.253.233,10.49.21.15,06_10_12,2
10.49.253.233,10.49.21.15,06_10_15,2
10.49.253.233,10.49.21.15,06_11_10,2
10.49.253.233,10.49.21.15,06_11_13,3
10.49.253.233,10.49.21.15,06_11_16,2
10.49.253.233,10.49.21.15,06_11_19,2
10.49.253.233,10.49.21.15,06_11_21,2
10.49.253.233,10.49.21.15,06_12_12,3
10.49.253.233,10.49.21.15,06_12_14,2
10.49.253.233,10.49.21.15,06_13_12,2
10.49.253.233,10.49.212.7,06_12_00,1
10.49.253.233,10.49.253.15,06_03_11,1
10.49.253.233,10.49.253.15,06_06_10,1
10.49.253.233,10.49.253.15,06_11_10,1
10.49.253.233,10.49.253.63,06_06_15,1
10.49.253.233,10.49.253.63,06_10_13,16
10.49.253.233,10.54.1.100,06_05_12,5
10.49.253.233,10.54.1.118,06_06_09,4
10.49.253.233,10.54.1.119,06_05_11,4
10.49.253.233,10.54.1.119,06_05_15,8
10.49.253.233,10.54.1.119,06_05_16,8
10.49.253.233,10.54.1.126,06_05_10,4
10.49.253.233,10.54.1.137,06_05_14,10
10.49.253.233,10.54.1.137,06_05_17,4
10.49.253.233,10.54.1.137,06_05_18,3
10.49.253.233,10.54.1.145,06_06_09,1
10.49.253.233,10.54.1.159,06_05_10,4
10.49.253.233,10.54.1.164,06_05_19,7
10.49.253.233,10.54.1.179,06_05_13,4
10.49.253.233,10.54.1.179,06_06_13,4
10.49.253.233,10.54.1.186,06_05_14,2
10.49.253.233,10.54.1.199,06_05_10,3
10.49.253.233,10.54.1.211,06_05_10,5
10.49.253.233,10.54.1.223,06_05_10,5
10.49.253.233,10.54.1.231,06_05_11,1
10.49.253.233,10.54.1.236,06_05_10,15
10.49.253.233,10.54.1.239,06_05_10,4
10.49.253.233,10.54.1.49,06_05_12,5
10.49.253.233,10.54.1.49,06_05_14,8
10.49.253.233,10.54.1.49,06_05_17,7
10.49.253.233,10.54.1.5,06_05_11,4
10.49.253.233,10.54.1.58,06_05_12,5
